tag,total,tag_true_rate
'diplomats',1,0.00240963855422
'dirty laundry',4,0.00963855421687
'dirty south',5,0.0120481927711
'dirty',1,0.00240963855422
'disco house',3,0.00722891566265
'disco influence',1,0.00240963855422
'disco',3,0.00722891566265
'dizzy',1,0.00240963855422
'dj dumbass',1,0.00240963855422
'dj premier',1,0.00240963855422
'dj prophet',5,0.0120481927711
'dj',2,0.00481927710843
'djb glastonbury 2011',1,0.00240963855422
'doomcore',1,0.00240963855422
'dope',1,0.00240963855422
'downbeat',1,0.00240963855422
'downtempo',11,0.0265060240964
'drake',3,0.00722891566265
'dream team',1,0.00240963855422
'dreampop',2,0.00481927710843
'dreamwave',1,0.00240963855422
'dreamy',8,0.0192771084337
'drinking',2,0.00481927710843
'drive-by truckers',1,0.00240963855422
'drone',1,0.00240963855422
'drugs',1,0.00240963855422
'drum and bass',2,0.00481927710843
'drums',1,0.00240963855422
'dsdsds',1,0.00240963855422
'dub',4,0.00963855421687
'dubstep remix filthy',1,0.00240963855422
'dubstep',6,0.0144578313253
'dup',1,0.00240963855422
'dupstep',1,0.00240963855422
'dutch',2,0.00481927710843
'earworm',1,0.00240963855422
'east coast rap',2,0.00481927710843
'easy',2,0.00481927710843
'ed banger',2,0.00481927710843
'edit',1,0.00240963855422
'effing awesome',1,0.00240963855422
'electro house',6,0.0144578313253
'electro pop',1,0.00240963855422
'electro swing',1,0.00240963855422
'electro',33,0.0795180722892
'electro-melancholy',1,0.00240963855422
'electro-pop',1,0.00240963855422
'electro-swing',1,0.00240963855422
'electroclash',2,0.00481927710843
'electronic indie',1,0.00240963855422
'electronic music',1,0.00240963855422
'electronic',117,0.281927710843
'electronica',37,0.089156626506
'electropop',19,0.0457831325301
'electrosexy',1,0.00240963855422
'electroswing',1,0.00240963855422
'eminem',2,0.00481927710843
'enak gila',1,0.00240963855422
'energetic',1,0.00240963855422
'england',1,0.00240963855422
'enigmatic',1,0.00240963855422
'epic',9,0.021686746988
'epicness',1,0.00240963855422
'ethereal',2,0.00481927710843
'excelente',1,0.00240963855422
'exogaze',1,0.00240963855422
'experimental',11,0.0265060240964
'f50 2011',1,0.00240963855422
'fav bass lines',1,0.00240963855422
'fav',3,0.00722891566265
'fave indie pop',1,0.00240963855422
'favourite cover',1,0.00240963855422
'favourite remixes',2,0.00481927710843
'favourites',1,0.00240963855422
'favs',1,0.00240963855422
'favs4265',2,0.00481927710843
'feel good songs',1,0.00240963855422
'feel good',1,0.00240963855422
'feist',1,0.00240963855422
'female singer',1,0.00240963855422
'female vocalist',26,0.0626506024096
'fidget house',1,0.00240963855422
'fifa 2010s',1,0.00240963855422
'fip',1,0.00240963855422
'fleet foxes',1,0.00240963855422
'fluorescent',1,0.00240963855422
'flute',1,0.00240963855422
'flya electronica groovy',1,0.00240963855422
'flya electronica',1,0.00240963855422
'foda',1,0.00240963855422
'folk rock',6,0.0144578313253
'folk',34,0.0819277108434
'folksy deliciousness',1,0.00240963855422
'for keeps',1,0.00240963855422
'foster the people',1,0.00240963855422
'fotomotor-work',1,0.00240963855422
'four tet remixes',1,0.00240963855422
'four tet',1,0.00240963855422
'francais',1,0.00240963855422
'francaisgdchill',1,0.00240963855422
'france',1,0.00240963855422
'freak folk',1,0.00240963855422
'fred falke remix',1,0.00240963855422
'fred falke',1,0.00240963855422
'freedom',2,0.00481927710843
'french house',3,0.00722891566265
'french touch',2,0.00481927710843
'french',13,0.0313253012048
'fresh',1,0.00240963855422
'fuck em billy',1,0.00240963855422
'fucking brilliant',1,0.00240963855422
'full stops',1,0.00240963855422
'fun',3,0.00722891566265
'funk rock',2,0.00481927710843
'funk',11,0.0265060240964
'funky prog house',1,0.00240963855422
'funky',5,0.0120481927711
'fusion',1,0.00240963855422
'g-eazy',1,0.00240963855422
'gabber',1,0.00240963855422
'gang starr',1,0.00240963855422
'gangsta rap',1,0.00240963855422
'garage rock',1,0.00240963855422
'garage-hop',1,0.00240963855422
'german',1,0.00240963855422
'getupanddance',1,0.00240963855422
'gh',1,0.00240963855422
'ghettotech',1,0.00240963855422
'glam rock',1,0.00240963855422
'golephish',1,0.00240963855422
'good hip hop',1,0.00240963855422
'good stuff',1,0.00240963855422
'good',1,0.00240963855422
'gossip girl soundtrack',1,0.00240963855422
'gossip girl',1,0.00240963855422
'got that feeling',1,0.00240963855422
'grafton primary',1,0.00240963855422
'great cover',1,0.00240963855422
'great coverversion',1,0.00240963855422
'great memories',1,0.00240963855422
'great remix',2,0.00481927710843
'great',1,0.00240963855422
'grime',1,0.00240963855422
'groovy',3,0.00722891566265
'grunge',1,0.00240963855422
'guitar',4,0.00963855421687
'gute laune',1,0.00240963855422
'gute stimme',1,0.00240963855422
'gypsy',2,0.00481927710843
'happy face',1,0.00240963855422
'happy',13,0.0313253012048
'hard rock',2,0.00481927710843
'hardcore techno',1,0.00240963855422
'hardcore',2,0.00481927710843
'hassanmcmillan',1,0.00240963855422
'haunting',1,0.00240963855422
'heart shivers',1,0.00240963855422
'heavy',1,0.00240963855422
'heisse scheibe',1,0.00240963855422
'herz an ohr',1,0.00240963855422
'high contrast',1,0.00240963855422
'hip hop',81,0.195180722892
'hip house',1,0.00240963855422
'hipster dance party',1,0.00240963855422
'home',1,0.00240963855422
'hope',1,0.00240963855422
'horns',1,0.00240963855422
'hospital',1,0.00240963855422
'hot shit',1,0.00240963855422
'hous',1,0.00240963855422
'house',31,0.0746987951807
'houston',1,0.00240963855422
'hypemachine',2,0.00481927710843
'hypnotic',1,0.00240963855422
'hypnotizing',1,0.00240963855422
'i like',1,0.00240963855422
'icelandic',1,0.00240963855422
'ill track',1,0.00240963855422
'indie dance',5,0.0120481927711
'indie electro',1,0.00240963855422
'indie electronic',3,0.00722891566265
'indie folk',8,0.0192771084337
'indie hip hop',1,0.00240963855422
'indie pop',44,0.106024096386
'indie rock',46,0.110843373494
'indie sample',1,0.00240963855422
'indie',129,0.310843373494
'indietronica',11,0.0265060240964
'inspectah deck',1,0.00240963855422
'inspirational',2,0.00481927710843
'instrumental',6,0.0144578313253
'interpol',1,0.00240963855422
'ion b radio',2,0.00481927710843
'iowan',1,0.00240963855422
'ipod',1,0.00240963855422
'irish',2,0.00481927710843
'italian',2,0.00481927710843
'japan',1,0.00240963855422
'jason schwartzman',1,0.00240963855422
'jay-z',2,0.00481927710843
'jazz hop',1,0.00240963855422
'jazz',1,0.00240963855422
'jazz-hop',1,0.00240963855422
'john legend',1,0.00240963855422
'john mayer',1,0.00240963855422
'johnny cash',1,0.00240963855422
'juddery bass',1,0.00240963855422
'juicy remix',1,0.00240963855422
'julian plenti',1,0.00240963855422
'k os',1,0.00240963855422
'k-os',1,0.00240963855422
'kansas city',1,0.00240963855422
'keep the fate',1,0.00240963855422
'kick-ass',1,0.00240963855422
'kickasstic',4,0.00963855421687
'kid cudi',1,0.00240963855422
'killa cam',1,0.00240963855422
'kings of convenience',2,0.00481927710843
'kings of leon',1,0.00240963855422
'kitsune',1,0.00240963855422
'krautrock',1,0.00240963855422
'la roux',1,0.00240963855422
'leapsandleeloo',1,0.00240963855422
'liebling',1,0.00240963855422
'life is easy',1,0.00240963855422
'liquid funk',1,0.00240963855422
'listen loud',1,0.00240963855422
'little lion man',1,0.00240963855422
'little miss sunshine',1,0.00240963855422
'live',1,0.00240963855422
'lizvelrene2009',1,0.00240963855422
'lo-fi',10,0.0240963855422
'lobhigio',1,0.00240963855422
'local',2,0.00481927710843
'lollapalooza 2009',1,0.00240963855422
'london',1,0.00240963855422
'los angeles',1,0.00240963855422
'lou reed',1,0.00240963855422
'lupe fiasco',1,0.00240963855422
'lykke li',1,0.00240963855422
'm70rock',1,0.00240963855422
'macbook air',1,0.00240963855422
'machinery',1,0.00240963855422
'makes me smile',2,0.00481927710843
'male vocal',1,0.00240963855422
'male vocalist',1,0.00240963855422
'male vocalists',9,0.021686746988
'male vocals',1,0.00240963855422
'mase',1,0.00240963855422
'mash up',2,0.00481927710843
'mash-up',10,0.0240963855422
'mash-ups',1,0.00240963855422
'mashup',31,0.0746987951807
'mashups',3,0.00722891566265
'masterpiece',1,0.00240963855422
'mateuszbestsongseva',1,0.00240963855422
'maurice',1,0.00240963855422
'mdv',1,0.00240963855422
'me',2,0.00481927710843
'mediocre song-great remix',1,0.00240963855422
'melancholy',4,0.00963855421687
'mellow',15,0.0361445783133
'melody maker',1,0.00240963855422
'memories',1,0.00240963855422
'mesmerizing',1,0.00240963855422
'metric',1,0.00240963855422
'mfnw',1,0.00240963855422
'mgmt',1,0.00240963855422
'mgmt:',1,0.00240963855422
'miguel',1,0.00240963855422
'miike snow',1,0.00240963855422
'mind-melting',1,0.00240963855422
'minimal',1,0.00240963855422
'minneapolis',1,0.00240963855422
'minnesota',2,0.00481927710843
'missingtoof',1,0.00240963855422
'missy elliot cover',1,0.00240963855422
'mixtape',1,0.00240963855422
'modest mouse',1,0.00240963855422
'monte carlo nightss',1,0.00240963855422
'mood:confident',1,0.00240963855422
'moonflowerlikes',1,0.00240963855422
'moonh8sun',3,0.00722891566265
'moosecore',1,0.00240963855422
'morning maniac music',1,0.00240963855422
'mother american night',1,0.00240963855422
'motivational',1,0.00240963855422
'motown',2,0.00481927710843
'movie',1,0.00240963855422
'mpsvd-luisterpaal-j',1,0.00240963855422
'mstrkrft',1,0.00240963855422
'mushy',1,0.00240963855422
'music',1,0.00240963855422
'musical poetry',1,0.00240963855422
'my best',1,0.00240963855422
