artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Ratatat,1436931314,6343,2bwhp,11,Poetry in an Empty Coke Can,254,Abrasive,electonric
Favela,1436934065,22,2c48j,3,Pilerats,258,Blinker,electonric
Hermitude,1436930896,428,2c9xp,5,Prefix Magazine,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix),electonric
TODD TERJE,1436930104,78,2ak6g,6,ERRANT,436,Alfonso Muskedunder (Deetron remix),electonric
M.E.S.H.,1436957782,16,2bxy2,7,Pilerats,316,Epithet (PAN 66),electonric
The KickDrums,1436960528,19,2c36a,3,The Wild Honey Pie,217,Better,electonric
Alina Baraz & Galimatias,1436952953,1438,2bk07,3,Pilerats,272,Unfold,electonric
Arca,1436957774,67,2bm6a,21,Pilerats,258,Vanity,electonric
AUTOBAHN,1436946703,16,2c7g1,11,Little Indie Blogs,260,Society,electonric
Klingande,1436950586,4,2cat0,1,SERIALGK,112,Riva (DJ Licious Remix),electonric
Hot Chip,1436944141,405,2c8za,5,gottadancedirty,375,Need You Now (Moonlight Matters remix),electonric
Daphni,1436945353,271,2c6r5,26,SERIALGK,339,Vikram,electonric
GRiZ,1436939367,6775,2c87x,6,1833 FM,267,Summer '97 feat. Muzzy Bearr,electonric
Ah Cama-Sotz,1436941297,0,2carg,1,Swan Fungus,283,And It Makes Me Susceptible To Pain...,electonric
Fareoh,1436934513,1187,2c8z5,6,Beautiful Buzzz,323,Fight For You (feat. Ethan Thompson),electonric
UZ,1436908877,13,2caja,1,Dancing Astronaut,237,Gladiator,electonric
Rival Consoles,1436906125,27,290bs,3,Indie UK,288,Recovery,electonric
UZ,1436908866,21,2caj7,1,Dancing Astronaut,207,Bubbles,electonric
UZ,1436908870,12,2caj8,1,Dancing Astronaut,220,Frontier,electonric
Obey City,1436900441,5,2caf6,1,Modular Magazine,193,Cloud Lust,electonric
Black Rabbit,1436898098,2,2caea,1,The Deli Magazine,149,Sayonara,electonric
Crayon Fields,1436898118,11,2c7ee,8,Slow Show,159,She's My Hero,electonric
Christian Rich,1436896145,54,2bx57,10,Okayafrica,265,"Compromise (Feat Sinead Harnett, Gold Link & Secaina Hudson)",electonric
Blackest Ever Black,1436899058,6,2ca8h,2,Tiny Mix Tapes,385,"Regis - Blood Witness (Original 12"" Mix)",electonric
Big Black Delta,1436918417,29,2c7my,3,Buzzbands.LA,215,It's Ok Final Mix,electonric
Polographia,1436924955,7,2cap8,1,acid stag,239,Rhythm (feat. Jordan Padilla),electonric
Majid Jordan,1436913309,3434,2c8tv,15,PASSIØN PARTY,249,My Love feat. Drake,electonric
Disclosure,1436915227,1214,2c5m5,22,strictlysocial,394,Holding On (Julio Bashmore's Elevated Mix),electonric
POOM,1436910601,73,25ae5,2,SHREM'S CAROUSEL OF ÜBER NERDINESS,193,Il n'y a pas d'Amour Heureux (POOM Cover),electonric
Oh Wonder,1436912093,6831,2c48m,21,J(am) of the Day,208,Landslide,electonric
Class Actress,1436911279,351,2c9yf,4,robot dance music,276,GFE (SNBRN Remix),electonric
Lane 8,1436910587,859,2c7mp,7,The Mahogany Blog,288,Undercover feat. Matthew Dear,electonric
Bellows,1436912078,0,2cakz,1,The Deli Magazine,123,Crayon Crush,electonric
BICEP,1436909752,15,2cak3,1,Last Gas Station,300,DYONE | ONLY LOVE CAN SET U-FREE (BICEP REMIX),electonric
james deen,1436909317,38,2bev3,3,Abduction Radiation,189,An Unwritten Love Letter To Summer Roberts,electonric
RAMZI,1436889396,8,2c5dx,3,Tiny Mix Tapes,176,princess of cups,electonric
Rene LaVice,1436894897,9,2cad6,1,Dancing Astronaut,301,Hotblooded,electonric
Trails and Ways,1436886892,2396,2b0wc,38,barrygruff,174,Say You Will,electonric
Trails and Ways,1436886958,1,2ca95,1,barrygruff,243,Heavy Sleeper,electonric
Maribou State,1436885556,335,2bct5,16,Decoder Magazine,223,Wallflower,electonric
FORTUNE,1436889023,4,2ca9n,1,Stereofox,154,Sometimes feat. IAMNOBODI,electonric
Roosevelt,1436882450,6,2ca7f,1,Nothing but hope and passion,90,Hold On,electonric
Axel Boman,1436876046,29,2c8ve,6,MOARRR,658,1979,electonric
Calvin Harris feat. Ellie Goulding,1436877323,41,2ca5q,1,Yaqui,255,Outside (Argüello & Mas Tropical Remix),electonric
Shura,1436894983,10,2cadm,1,Kick Kick Snare,347,White Light (Blonde's Acid Trip),electonric
Pan-Pot,1436894153,4,2cacx,1,Mixmag,434,Pina,electonric
LA PRIEST,1436891106,452,299a3,28,REDEFINE magazine,271,Oino,electonric
LA Priest,1436891103,211,2bx2w,11,REDEFINE magazine,223,Lady's In Trouble With The Law,electonric
Jose Padilla,1436893218,5,2cac8,1,Delicieuse Musique,383,Day One,electonric
LA PRIEST,1436891099,532,2b288,28,REDEFINE magazine,511,Party Zute / Learning To Love,electonric
Jesse Rose,1436891711,6,2cabe,1,THUMP,346,Touch 'N' Tease,electonric
Jose Padilla,1436893213,16,2bp4p,2,Delicieuse Musique,320,On The Road,electonric
Modjo,1436891017,4431,1rf0g,17,JayeL Audio Music,283,Lady (Kaytranada Remix),electonric
MADAM WEST,1436890513,2,2caan,1,No Smoking Media,309,Wade In The Water,electonric
Hellberg,1436890470,34,2caae,1,Dancing Astronaut,304,The Girl (Anevo Remix),electonric
Groove Armada,1436843650,139,2c990,2,Pilerats,195,Paris (andhim Remix) (Little Black Book),electonric
Moonbase Commander,1436846834,9,1zxgr,2,Happy,183,Tom Nook,electonric
Damn the Witch Siren,1436842764,12,2c95j,2,Tuned Up,189,Don't Go Away,electonric
100%,1436844523,0,2ca0k,1,Giant Scary Things,108,Exit,electonric
The Griswolds,1436835666,4843,2c6am,5,Write.Click.Cook.Listen ,224,If You Wanna Stay (The Rooftop Boys Remix),electonric
Lane 8,1436835657,3980,270x8,19,acid stag,354,Diamonds feat. Solomon Grey,electonric
Lane 8,1436835646,55,2c9fr,2,acid stag,242,Loving You feat. Lulu James,electonric
Lane 8,1436835662,276,2azta,11,acid stag,205,Ghost Feat. Patrick Baker,electonric
Lane 8,1436835641,3155,2bmpt,9,acid stag,287,Hot As You Want feat. Solomon Grey,electonric
Oh Wonder,1436866148,142,2c4jz,3,Just Music That I Like,258,White Blood,electonric
Sebastien Tellier,1436869869,159,2c0dd,6,MCL: Musique au Claire de Lune,409,Comment Revoir Oursinet ? (Darius Remix),electonric
Florian Kupfer,1436868470,10,2c659,5,SERIALGK,563,'Headpiece',electonric
Shaolin Colour Cult,1436867358,5,2ca36,1,Stamp The Wax,204,Shadow Moses,electonric
A.CHAL,1436863873,182,2c082,7,Pilerats,214,ROUND WHIPPIN,electonric
Throwing Snow,1436868466,31,2c7b2,4,SERIALGK,277,Clasp,electonric
Icona Pop,1436860810,1700,2bhde,8,Que Club,170,Emergency,electonric
Superpoze,1436858476,2,2ca1r,1,SERIALGK,265,Overseas (Sekuoia Rework),electonric
Guy J,1436854468,7,2ca1b,1,ACIDTED,421,Transitions (Loquai remix),electonric
FRAME,1436854482,5,2ca1d,1,Niche Music,240,In Vain,electonric
Jesse Rose,1436838555,9,2c9zv,1,Minted,240,Touch N Tease (Alex Gopher Remix) (AS005),electonric
PARA ONE,1436820984,412,2c26h,14,nialler9,252,Elevation,electonric
Jack Garratt,1436820563,5029,2c3mc,27,The Wild Honey Pie,225,Weathered,electonric
KOSMO KAT,1436815307,12,2c9ts,1,Abduction Radiation,202,Ur Q't Attitude,electonric
Thundercat,1436816959,4201,2by09,60,Et Musique Pour Tous,187,Them Changes,electonric
Kayper,1436815289,68,2bzn4,8,Modular Magazine,284,The Terminal (Feat. Janai),electonric
GRRL PAL,1436824569,35,2c6gb,7,The Autumn Roses,221,Vice,electonric
Vanilla,1436814030,23,2c9h6,2,One For The People,270,Little Lies,electonric
DPRM,1436811869,1,2c9rq,1,I Die: You Die ,384,God's Unwanted Children,electonric
Tep No,1436811874,4487,2bnb8,16,Play My Tape,236,Pacing,electonric
Cilia,1436832490,10,2c538,2,Wonky Sensitive,260,Wilder Than The Wind,electonric
Glass Vaults,1436835622,4,2c9z9,1,acid stag,299,Sojourn (Radio Edit),electonric
Georgi Kay,1436832497,6,2c9yv,1,Wonky Sensitive,207,Looking At You,electonric
Pawws,1436832506,112,2c8kk,6,Wonky Sensitive,180,All I Wanna Do (demo),electonric
Strange Talk,1436826077,47,2c3wv,9,acid stag,248,Something's Bout To Change,electonric
Jabberwocky,1436826930,861,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix),electonric
Thundercat,1436832455,8,2c9yk,1,SoulBounce,203,Lone Wolf And Cub (brandUn DeShay REMIX),electonric
