artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Passion Pusher,1415479767,5,27pee,1,Don't Need No Melody,225,Late Night White Wine,lofi
PORCHES.,1414780249,41,27hnb,1,Heart and Soul,167,Forgive feat. Greta Kline,lofi
CHAMP,1415295745,35,26xrf,3,Inthejunkyardmusic,176,This Isn't Real,lofi
Ezkiel,1413327616,10,276b9,1,Wake the Deaf,213,Yellow Leaves,lofi
Skirts,1414521168,5,27f8b,1,buffaBLOG,172,Pink Hair,lofi
S. Carey,1413266598,253,15qvg,14,Jonk Music,311,In The Stream,lofi
Komon,1413294136,2,275t7,1,Electrocorp ,370,Astir,lofi
Seeami,1412115728,8,26xnv,1,electric sound of joy,149,I Don't Find Ray Romano Funny,lofi
Miners,1400796941,1,24kvh,1,Happy,179,Soft Focus,lofi
MINERS,1400796937,1,24kvg,1,Happy,174,Faraway,lofi
SELA.,1400102100,21,24ewe,1,Soniscope,299,Heartbeat (feat. allie),lofi
EGA,1400569236,2,24hqq,1,Disquiet,233,Northward,lofi
Wet,1398099511,188,23yd0,5,The Music Ninja,188,Dreams (UNO Stereo Remix),lofi
Camellia Sinensis,1397050972,3,23qhh,1,Dots & Dashes,142,Nepal,lofi
Go Dugong,1398091340,4,2402q,1,Waxhole,262,Fallin' (Capibara Rmx),lofi
Jackie,1396711280,6,23mkr,1,Music You Wanna Listen To,340,Juice Party / Weekly14,lofi
Dreamsploitation,1396958180,4,23pcq,1,weird canada,309,Jupiter Flight,lofi
HUT,1407001330,7,25vxc,1,Vocododo,200,Dirty Money,lofi
Wilfried*,1409238658,2,269s8,1,WeWant2Wigoler,216,La Fete Du Foutre,lofi
Teen Mom,1405795761,17,25gg8,5,yvynyl,247,I'm In Love With His Dreams,lofi
HUT,1407001333,13,25vxd,1,Vocododo,232,Magic Mushrooms,lofi
PORCHES.,1403788083,8,257a2,1,Dingus,182,Myystic,lofi
Haunted Hearts,1405403870,34,25h18,11,the finest kiss,245,Johnny Jupiter,lofi
Lowpines,1402974030,19,24yvb,2,I Heart Moosiq,162,Talk Not,lofi
PORCHES.,1403022151,5,251zc,1,Speakers in Code,199,Fog Dog,lofi
Haunted Hearts,1401717628,7,24s5m,1,Fluxblog,181,Initiate Me,lofi
Porches.,1402679695,14,24c4w,2,Jonk Music,166,Leather,lofi
SELA.,1400102108,13,24ewf,1,Soniscope,293,Lost (feat. Noah),lofi
CHAMP,1393662510,11,22bwn,7,The Sound Of Confusion,148,Nothing,lofi
Burnside Eleven,1394099784,4,22yfq,1,Still in Rock,281,Serotonin Blues,lofi
Go Dugong,1392577623,24,21ka3,3,Inyourspeakers Media,273,Total Body Workout,lofi
CHAMP,1393059435,19,222c6,8,The Sound Of Confusion,156,Burnt Alive,lofi
BLACK ANTLERS,1390859507,10,222r3,1,Substance is meaningless ,176,LIFE MAGAZINE BY COLD CAVE,lofi
Jettison Tape,1390529711,21,220k9,1,The Joy of Violent Movement,131,Stumbling Art,lofi
Jackie,1390681283,17,221j8,1,Music You Wanna Listen To,268,Wrong Words / Weekly04,lofi
