artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Michael Jackson,1433618044,10,2bqsg,1,The French Shuffle,36,Baby Be Mine (Unchained Zebra Remix) (PREVIEW),funk
Holy Models,1433453397,1606,2bhs2,6,Et Musique Pour Tous,363,Lessons (Falcon Punch Remix),funk
The Revivalists,1433502061,54,1x28q,2,The Revue,194,When I'm Able,funk
Gedeon Luke And The People,1433956042,16,2bspf,1,Le Visiteur Music Blog,364,Echoes (OPOLOPO Boogie Bounce Remix),funk
Syl Johnson,1433956110,108,181d3,3,Gazfunk,140,Different Strokes,funk
Panama,1433909234,2345,2bk4n,8,City and Sound,232,Jungle,funk
Dam-Funk,1433939293,45,2brjb,3,Twistedsoul,493,Free,funk
20syl,1433886584,38,2bs6a,1,Cool Breezy,234,You Know,funk
Bibi Flash,1433886637,16,2bs6k,1,Soundfriend,219,Histoire d'1 Soir (Secousse edit),funk
Lee Fields & The Expressions,1433851260,12,2brs5,1,GRANDGOOD,172,Standing By Your Side (45 Edit),funk
Cool Sounds,1433858851,9,2brnv,2,electric sound of joy,163,Control,funk
Parliament,1433819239,1,2brmm,1,Burl Veneer's Music Tumblr,426,Extraction,funk
Skeewiff,1433847444,13,2brre,1,Secret Delivery,323,Gimme Some Soul,funk
Derrick Hodge,1433708927,16,2bjff,2,Okayplayer,359,"The World Is Yours"" feat. National Symphony Orchestra",funk
Maze,1433330467,5,2bnrp,1,Here comes the flood,829,Amsterdam Box Set (7/2/97 Paradiso),funk
STEVIE WONDER,1433343002,15,2bnwe,1,manalogue.,364,SUPERSTITION (JASON LAIDBACK),funk
General Crook,1433265735,17,2bnbx,1,Gazfunk,182,Do It For Me,funk
Mary Jane Girls,1433281411,28,2bmng,2,Disco Filter,351,'CANDI MAN' [80's Child Extend,funk
Sinkane,1433213714,1898,24y1z,31,JayeL Audio Music,197,Hold Tight,funk
Nohelani Cypriano,1433096058,5,2bm4m,1,Twistedsoul,201,Lihue (Athens of the North 007),funk
Moods,1433096129,22,2bm50,1,MCL: Musique au Claire de Lune,260,Frootful - Latin Strut (Moods Till Dawn Edit),funk
Judy Clay,1433091444,13,2bm3r,1,Funky16Corners,149,It Takes a Lotta Good Love,funk
NOHELANI CYPRIANO,1433096063,5,2bm4n,1,Twistedsoul,239,Playing With Fire,funk
THEESatisfaction,1434557792,90,298sv,8,newdust,228,EarthEE,funk
Tru Thoughts,1433453365,9,2bpxn,1,DIVE,224,Meant To Be feat. Azure,funk
Sylvester,1433425782,8,2bpej,1,The Lost Turntable,106,You Make Me Feel (Mighty Real) (Acappella),funk
Holy Models,1433427246,35,2bn6q,4,Oh Fancy!,315,Lessons (Mighty Mouse Remix),funk
Sylvester,1433425802,4,2bpem,1,The Lost Turntable,227,You Make Me Feel (Mighty Real) (Radio Version),funk
Sylvester,1433425816,9,2bpen,1,The Lost Turntable,408,"You Make Me Feel (Mighty Real) (12"" Ultimix)",funk
Busty And The Bass,1433400966,70,2befx,2,Abduction Radiation,292,The Real,funk
Sylvester,1433425776,3,2bpeh,1,The Lost Turntable,291,You Make Me Feel (Mighty Real) (Dub Version),funk
Prefunk,1433352962,27,2bp0n,1,The French Shuffle,440,Get Down (Club Mix),funk
Blossoms,1433359695,73,28y3c,10,EUPHORIA. Magazine,205,Cut Me And I'll Bleed,funk
20syl,1433254031,272,2b8q3,2,Delicieuse Musique,265,Dust Clouds,funk
Michael Jackson,1432799769,434,2bgnp,3,Abduction Radiation,313,Rock With You (Bill Wants Remix),funk
Kerekes Band,1432816174,7,2bjkv,1,MOARRR,192,Alfonso Muskedunder(Todd Terje cover),funk
Tyler Touché,1432691774,105,2aznf,7,The French Shuffle,230,Act of God (feat. Jason Gaffner),funk
Monophonics,1432755533,57,2bj9c,1,Caveman Sound,253,Promises (MyKill Remix),funk
Pulp Fusion,1432678608,5,2bhpx,1,monkeyboxing,90,I Got A Woman (Preview),funk
The Soul Immigrants,1432587366,21,2bh0h,1,monkeyboxing,264,Yard Of Hard (feat. Fred Wesley),funk
Pilocka Krach,1432649660,5,2bhac,1,Tonspion,289,03_Gitarre Spielen,funk
Marvin Gaye,1432574503,3513,2bdvz,12,Kick Kick Snare,274,Sexual Healing (SNBRN Remix),funk
FKJ,1432581358,1605,25s98,6,Never Radio,268,Learn To Fly feat. Jordan Rakei,funk
"Johnny ""Guitar"" Watson",1433008811,12,2bkxd,1,fyeahblackrockmusic,165,The Bear,funk
Midnight Star,1433080235,28,2bm1y,1,Errant,435,Midas Touch (Groove Motion Re-Edit),funk
Mark Ronson,1432926063,69,2bkk0,1,Oh My Rock,269,Uptown Funk (Broiler Remix),funk
FKJ,1432933214,1018,25s99,8,The Burning Ear,312,Open The Door,funk
Variations,1432899569,2,2bk95,1,Fried my little brain,340,BIG BELLY EP clips (PREVIEW),funk
Mc Dudu,1432914981,5,2bkem,1,Funk na Caixa,173,Pepeka Mal Criada (Porno Klan Remix) - na descrição !!!,funk
The Gene Dudley Group,1432860970,6,2bk4c,1,The Find,89,I've Changed/Inspector Norse preview,funk
Moses Hightower,1432899515,12,2bk8w,1,Rjominn,181,Snefill,funk
Bad Rabbits,1432816414,31,2bj8w,4,AFROPUNK - Sound Check,208,How High,funk
20syl,1432827370,1084,2bjs7,1,Ladywood ,221,Copycat feat Fashawn,funk
Slow Knights,1432689263,109,2avd2,3,D SQUARED,226,Candy Sugar Rush (Louis La Roche Remix),funk
mister T.,1432229473,35,2ah01,2,monkeyboxing,728,Big Day (Cold Busted),funk
Gramatik,1432303658,2679,1xtqk,10,Noonday Tune,233,You Don't Understand,funk
William DeVaughn,1432220860,3391,1zhpa,17,Silence Nogood,378,Be Thankful For What You Got (FKJ Remix),funk
"Johnny ""Guitar"" Watson",1432226951,13,2bf8b,1,fyeahblackrockmusic,305,A Real Mother for Ya,funk
Gramatik,1432168950,30,2bev5,1,Inyourspeakers Media,265,Corporate Demons Feat. Luxas,funk
NO ZU,1432135426,12,2b2cb,2,Ants in My Trance,137,Medusa Beat,funk
Gramatik,1432168983,1029,1k7bn,6,Inyourspeakers Media,275,01 Fist Up,funk
DJ Agent 86,1432119400,34,1jdk2,2,Vocododo,198,El Himno Ibiza (86's 'Gracias a Marlis' Disco-Funk Mix) (preview),funk
2000black,1432135357,10,2ay3s,2,FACT,212,Feminist Meetings,funk
Quincy Jones,1432564400,18,2bgv5,1,Le Visiteur Music Blog,373,Razzamatazz (Dr Packer Injection),funk
Sinkane,1432747745,89,288hk,11,Errant,340,New Name (Busy P Remix),funk
Indeep,1432564108,60,2bgsr,1,Your Music Radar,398,Last Night (Dr Packer's Acid Rub),funk
PRINCE & 3RDEYEGIRL,1432564183,2,2bgt4,1,The Revue,207,"U GOT THE LOOK (Live In Toronto - May 19, 2015)",funk
Tuxedo,1432482242,217,2bb3y,5,MCL: Musique au Claire de Lune,248,The Right Time (Jean Tonique Remix),funk
Light Of The World,1432485861,18,2bgm8,1,Frequenze Indipendenti,397,London Town (Friction Classic Extended Mix 2012) unmastered,funk
Beat Assaillant,1432400521,1881,2bgde,1,Delicieuse Musique,240,Hard Twelve (The Ante),funk
Gramatik,1432478124,47,2bgjw,1,Dancing Astronaut,238,Faraway (Instrumental),funk
20syl,1432305391,108,2bdrx,2,Waxhole,234,You Know,funk
Brothers Johnson,1432363751,33,2bg8n,1,HOLY SOUL,298,Strawberry Letter 23,funk
Jungle,1432203265,176,2b2qt,5,Le Visiteur Music Blog,284,The Heat (Creange Remix),funk
Jingo,1431968037,8,2bcy0,1,The Devil Has The Best Tuna,289,A.d.d. (Radio version),funk
Qdup,1431979242,6,2bd4y,1,monkeyboxing,233,Gotta Be Fresh (Qdup Twerkaholics Re - Rub),funk
The Floaters,1431956175,44,2bcq4,1,Delicieuse Musique,709,Float On,funk
Box of Wolves,1431964234,25,26ga6,2,Silence Nogood,277,Boy feat. Christa Vi (Cyclist Remix),funk
MR•CAR/\\ACK,1431929645,125,23pa4,2,Stereofox,203,aint loyal,funk
Morlack,1431883279,1,2bcbt,1,monkeyboxing,248,Um Bop Bop,funk
Seymour Bits,1431891327,7,2bcd8,1,Secret Delivery,154,Dustin' 2008,funk
