artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Tame Impala,1436797307,13058,2a1mf,89,MusikBlog,469,Let It Happen,rock
The Chap,1436804047,3,2c79d,2,Niche Music,126,Jammer,rock
Sleepy Hahas,1436790540,5,2bshr,2,The Vinyl District,244,Deep River,rock
Agent Fresco,1436794928,1,2bk8x,2,Rjominn,260,See Hell,rock
Melvins,1436789249,6,266yg,8,Nefarious Realm,205,Brass Cupcake,rock
Fox and The Law,1436790530,0,2c9hg,1,surviving the golden age,188,Dirty Hands,rock
Mainland,1436772975,51,2c37x,8,Anotherwhiskyformisterbukowski,230,Outcast,rock
Katy Perry,1436562521,21,2c8xr,1,Cause=Time,212,Roar (The Noise Noise Remix),rock
Blaire Alise & The Bombshells,1436565745,3,2c8yg,1,50thirdand3rd,212,Throwin' Away (The Good You Had),rock
Steelism,1436551317,4,2c8t8,1,No Country For New Nashville,193,The Serge,rock
Gorillaz,1436562433,38,2c8xf,1,Cause=Time,267,Feel Good Inc (Joe Maz & Adam Foster Remix),rock
The Glass Children,1436546549,3,2b8d1,2,Deadly Music!,209,Undone,rock
Yung,1436544013,56,2baaj,15,Niche Music,178,Blanket,rock
Lazlo Hollyfeld,1436542550,3,2c8ps,1,buffaBLOG,372,U.S. Deathsquads In Colombia,rock
Lila,1436539114,6,2c8nw,1,beehype,169,Strobo (single),rock
Yung,1436544017,17,2c86s,10,Niche Music,274,Burning Bodies,rock
Erkka,1436707278,21,2c991,1,Dancing Astronaut,272,untitled,rock
Evan Schoenfeld,1436722515,3,23yb7,2,Urbankill,228,Another Nights Sleep,rock
Daniel Pearson,1436612825,1,2c91m,1,GreenGo,241,As Deep As Love,rock
Mammút,1436690967,6,2c97m,1,Pan od Muzyki,325,Ströndin (Samaris remix),rock
Aphrodite's Child,1436578091,13,2c8zq,1,The MOCD,160,Aphrodite's Child - Air (Fulgeance Rework),rock
Lanes,1436610067,15,2c773,2,Escafandrista Musical,357,Anthemoessa,rock
They Might Be Giants,1436564984,1,2c8y9,1,Cover Me,126,"Caroline, No",rock
They Might Be Giants,1436564975,7,ajva,2,Cover Me,186,Savoy Truffle,rock
