artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Ashworth,1436539819,36,2byb0,4,NME,405,Cork,house
Skylar Spence,1436544915,1396,2bwjt,28,surviving the golden age,246,Can't You See,house
Ike Release,1436623662,15,2bse8,6,XLR8R,570,Dance Equations (SMRT001 clips),house
Jack J,1436626570,275,2bcfm,16,Decoder Magazine,400,"Thirstin' b/w Atmosphère 12"" - PREVIEW - FT029",house
Coucheron,1436612410,49,2c8x7,2,chillsoundsgoodmusic,206,Ruby,house
Avicii,1436622557,7261,2c6ye,7,Music You Wanna Listen To,289,Waiting For Love (Autograf Remix),house
Peking Duk,1436576431,135,2c8ed,4,Idolator,187,Say My Name (feat. Benjamin Joseph),house
SAFIA,1436591647,2137,2c4j9,12,adamNOTeve,231,Embracing Me,house
&ME,1436568139,8,2c82e,2,Modular Magazine,460,Trilogy Feat. Sabota,house
Bart B More,1436573668,10,2c8zf,1,The Jackplug,204,Share Your Love,house
Swedish House Mafia,1436562444,26,2c8xg,1,Cause=Time,219,One (Garmiani Remix),house
Zedd,1436562501,83,2c8xp,1,Cause=Time,242,Beautiful Now (Social Status Remix),house
Avicii,1436550272,142,2c8st,1,Dancing Astronaut,316,Waiting For Love (Sam Feldt Remix),house
Kyle Watson,1436462058,15,2c85p,1,TRNDMUSIK,336,Watermelons (Abby Jane Remix),house
Catz 'N Dogz,1436461096,19,2c85h,1,Last Gas Station,218,The Joy,house
The Chainsmokers,1436461067,69,2c85d,1,Dancing Astronaut,289,Good Intentions feat. Bully Songs (DallasK Remix),house
Waze & Odyssey,1436459766,14,2c850,1,ERRANT,368,Bounce,house
Christian Löffler,1436462891,46,2b3q0,3,Delicieuse Musique,400,Nordkap,house
Wuki,1436455771,11,2c83f,1,manalogue.,100,Lip Pop,house
Wuki,1436455775,10,2c83g,1,manalogue.,120,Lip Pop (Eyes Everywhere Remix),house
DJOKO,1436452536,9,2c81y,1,House of Lords,180,Certified Feelin (Fabio Lendrum Makes It Hot Remix),house
Art Department,1436452552,38,2apzw,5,House of Lords,466,Catch You By Surprise (&ME Terrace Dub),house
Avicii,1436527703,44,2c8j5,1,Music You Wanna Listen To,317,The Nights (Thomas La Salle Remix),house
Matrixxman,1436534902,4,2c8ky,1,Groove Magazine,303,Switchblade,house
Bxentric,1436521758,17,2c8h9,1,Harder Blogger Faster,452,Chrome (Nanda Records),house
The Mekanism,1436526434,18,2c582,3,tsugi,391,Lost Girl,house
Kompakt,1436504827,26,2bhcm,5,Northern Transmissions,291,The Orb Moonbuilding 2703 AD (Meltdown Edit),house
ISAAC TICHAUER,1436507825,19,2c8fh,1,ERRANT,477,Yesterday,house
Fingerpaint,1436469778,10,2c88x,1,ERRANT,371,Lunar (Cooper Saver Remix),house
Nadastrom,1436486834,7,2c8dm,1,Minted,203,06 Raphael's Word,house
Matrixxman,1436463745,7,2br8x,2,Inyourspeakers Media,274,HMU (Hit Me Up) (feat. Vin Sol),house
Matrixxman,1436463726,4,2c1nn,2,Inyourspeakers Media,253,Annika's Theme,house
Robert The Bruce,1436460127,5,2c853,1,Loud and Quiet,213,Wake,house
