mediaid,tags
wqxb,"[u'female vocalist', u'electronic', u'british', u'indie', u'indie pop', u'pop']"
v434,"[u'tofind', u'dreamy', u'indie', u'chillout', u'great', u'electronic', u'edit']"
ry1x,"[u'funk', u'my best', u'mellow', u'soulnetwork-co-uk', u'baby', u'soul', u'cocktails at sunset', u'ss', u'american', u'psychedelic soul']"
2ywv,"[u'indie', u'indie rock', u'alternative', u'indie pop', u'happy', u'rock', u'catchy', u'pop', u'dreamy', u'alternative rock']"
qsy1,"[u'mash-ups', u'mashup', u'house', u'rap', u'dance', u'dsdsds', u'hip hop', u'pop', u'mashups']"
v4va,"[u'fred falke', u'fred falke remix', u'remix', u'animals', u'2009', u'party', u'bass guitar']"
p6r0,"[u'techno', u'electronic', u'remix', u'mind-melting', u'missingtoof', u'female vocalist', u'swedish', u'atmosphere', u'avant garde', u'experimental']"
9726,"[u'classic rock', u'rock', u'60s', u'rolling stones', u'blues rock', u'guitar', u'm70rock', u'rock band', u'stones']"
rbgk,"[u'indie', u'electronic', u'french', u'indie pop', u'electronica', u'electro', u'france', u'pop rock', u'francais', u'alternative']"
rh43,"[u'house', u'progressive house', u'electronic', u'trance', u'chillout', u'catchy as hell', u'deadmau5', u'zone', u'sunny drive', u'funky prog house']"
34d8,"[u'indie', u'folk', u'singer-songwriter', u'beautiful', u'sufjan stevens', u'mellow', u'chicago', u'indie pop', u'indie folk', u'alternative']"
rram,[u'sooooooooo goooooodddd']
hcr9,"[u'dance', u'remix', u'electro', u'uplifting', u'electro pop', u'tune', u'pop', u'piano', u'australian', u'funky']"
1a4xq,"[u'hip hop', u'toronto', u'beautiful', u'canada', u'drake', u'indie sample', u'canadian', u'back and forth', u'hot shit', u'lykke li']"
ty42,"[u'dup', u'dupstep', u'electronic']"
ty1e,"[u'electronic', u'electro house', u'electro', u'acid']"
5q52,"[u'indie', u'alternative', u'singer-songwriter', u'indie pop', u'badly drawn boy', u'happy', u'pop', u'acoustic', u'indie rock', u'british']"
tzvn,"[u'happy', u'so cute', u'indie', u'scottish', u'singer/songwriter', u'chamber pop']"
tw2n,"[u'acoustic', u'indie', u'indie pop', u'mellow', u'folk', u'chillout', u'singer-songwriter', u'alternative', u'norwegian', u'beautiful']"
tvpf,"[u'indie rock', u'alternative', u'indie', u'julian plenti', u'i like', u'post-punk', u'2009', u'amazing', u'stargate universe', u'interpol']"
rb48,"[u'epic', u'movie', u'childhood', u'nostalgia', u'melancholy']"
tw6k,"[u'soul', u'motown', u'60s', u'female vocalist', u'oldies']"
tg8y,[]
scx3,[]
1cjz9,[]
tefc,"[u'acoustic', u'chillout', u'indie', u'folk', u'pop-folk', u'2009', u'alternative', u'mellow', u'beautiful', u'norwegian']"
texx,"[u'addictive', u'best of 2009', u'best song ever', u'epic', u'dizzy', u'delicious', u'reassuring', u'brilliant', u'lizvelrene2009', u'on the floor']"
5fwm,"[u'classic rock', u'rock', u'70s', u'singer-songwriter', u'lou reed', u'glam rock', u'alternative', u'new york', u'classic', u'oldies']"
mqap,"[u'indie', u'indie pop', u'happy', u'makes me smile', u'upbeat', u'catchy', u'rock', u'fun', u'indie rock', u'2009']"
symq,[]
rkfh,"[u'electronic', u'indie', u'pop', u'catchy', u'fun', u'indietronica', u'party', u'happy', u'electropop', u'awesome']"
ssda,"[u'electronic', u'indie', u'club', u'zierkafasza', u'spain', u'dance', u'catchy', u'revoir', u'synthpop', u'pop rock']"
mtkg,"[u'remix', u'pretty excellent remix', u'electropop', u'the city life', u'chromeo', u'shit i adore', u'fun', u'walkman music', u'very good', u'my life soundtrack']"
t6xv,[]
syn4,"[u'electronic', u'dance', u'electronica', u'electro', u'sunny', u'2009', u'universal', u'electro-melancholy', u'john legend']"
10tpe,[]
sh97,"[u'leapsandleeloo', u'bout', u'electronic', u'dreamwave']"
gzpz,"[u'electronic', u'house', u'dance', u'electronica', u'electro']"
qe9q,"[u'remix', u'banger', u'taraaa', u'amazing', u'happy face', u'funky', u'better than original', u'catchy']"
t7pw,"[u'blues rock', u'funk rock', u'rock', u'male vocalist', u'fip', u'blues', u'soul', u'heavy', u'radio nova', u'hard rock']"
stqx,"[u'indie', u'surf pop', u'summer', u'surf', u'california', u'indie rock', u'indie pop', u'happy', u'surf rock', u'whistling']"
c26m,"[u'macbook air', u'new soul', u'apple', u'female vocalist', u'easy', u'indie', u'makes me smile', u'hip hop', u'happy', u'yael naim']"
rknb,"[u'electronica', u'indietronica', u'japan', u'so fucking cool', u'electrosexy', u'ultimate sexellence', u'completely unique', u'electronic', u'experimental', u'00s']"
t9ws,"[u'piano', u'alternative', u'female vocalist', u'pop', u'regina spektor', u'singer-songwriter', u'indie', u'indie folk', u'hypnotizing', u'musical poetry']"
tb9n,"[u'indietronica', u'electronic', u'indie', u'indie rock', u'american', u'psychedelic', u'alternative', u'electronica', u'catchy', u'dance']"
14zc9,"[u'hip hop', u'indie', u'electronic', u'rap', u'g-eazy']"
qxfq,"[u'indie', u'electronic', u'synthpop', u'electro-pop', u'dance', u'2009', u'indie pop', u'electropop', u'electro', u'passion pit']"
t9ww,[]
jgex,"[u'rock', u'indie rock', u'alternative', u'indie', u'kings of leon', u'alternative rock', u'sexy', u'southern rock', u'sex on fire', u'awesome']"
t9w2,"[u'remix', u'underground hip hop', u'hip hop', u'four tet', u'electronic', u'four tet remixes', u'video game sounds', u'radio phantom zone', u'cover']"
t97p,[u'uswag']
t6f6,[u'groovy']
mswq,"[u'folk', u'indie', u'indie rock', u'fleet foxes', u'rock', u'indie folk', u'beautiful', u'alternative', u'mellow', u'00s']"
t6pv,"[u'pop', u'80s', u'dance', u'soul', u'funk']"
t6a3,"[u'electropop', u'electronic', u'synthpop', u'dance', u'indietronica', u'british', u'female vocalist']"
ssqz,"[u'mashup', u'cj milli', u'electronic']"
syn9,"[u'hip hop', u'mashup']"
ssy8,"[u'taproom remix', u'clap']"
kt7a,"[u'indie rock', u'male vocalists']"
jtsc,"[u'dance', u'indie', u'remixes', u'alternative', u'8-bit', u'electro', u'dance dance dance', u'death remix', u'electronica', u'surprisingly good']"
ssza,[u'a a']
1bp6,"[u'electronic', u'remix', u'dance', u'indie', u'electro', u'female vocalist', u'mstrkrft', u'canadian', u'remixes', u'metric']"
