mediaid,tags
pr7d,"[u'electro', u'electro house', u'remix', u'remixes', u'dopeness', u'assssssssid', u'tech house', u'electronica', u'electronic', u'hott']"
12ec5,"[u'dubstep', u'electronic', u'cover', u'great cover', u'grime']"
z7wd,"[u'folk', u'acoustic', u'singer-songwriter', u'swedish', u'indie rock', u'lo-fi', u'mood:confident', u'terrifilicious', u'zum-durch-den-ikea-poebeln', u'nu-folk']"
11aym,"[u'electronic', u'pop', u'dance', u'electropop', u'swedish', u'female vocalist', u'2010s', u'synthpop', u'bittersweet', u'robyn']"
10gjx,[u'progressive metal']
155za,"[u'hip hop', u'rap', u'electronic']"
1621k,"[u'mashup', u'electronic']"
15v9c,"[u'dubstep', u'skrillex', u'electronic']"
17nvy,"[u'electronic', u'alternative', u'alternative rock', u'electronica', u'trip hop', u'pop', u'experimental', u'indie', u'summer tune', u'best of 2011']"
1618f,"[u'bruno mars', u'break up songs', u'moving on', u'life goes on', u'exboyfriend', u'alternative hip hop', u'i can relate', u'angry', u'upbeat', u'my life soundtrack']"
11x0p,"[u'pop', u'dance', u'electronic', u'female vocalist']"
162dq,"[u'dubstep', u'electronic', u'breakcore', u'', u'electronica']"
1e85t,"[u'listen loud', u'bitch music', u'female vocalist', u'turquoise and coral', u'rocket shoes mixtapes', u'fave indie pop', u'electronic']"
1espe,"[u'drum and bass', u'electronica', u'2011', u'hospital']"
1dwf0,[]
1jgv0,"[u'flya electronica', u'flya electronica groovy']"
1g5hj,"[u'hip hop', u'rap', u'chicago', u'underground hip hop']"
1g60h,"[u'electro swing', u'swing hop', u'electroswing', u'swinghouse', u'electro-swing']"
1fg3p,[]
1d7tj,"[u'hip hop', u'rap', u'alternative rap', u'moosecore']"
16nnm,[u'dreamy']
18a02,[]
15562,"[u'indie', u'funk', u'pop', u'british', u'fusion', u'upbeat', u'dance', u'electronic', u'hip hop', u'electro']"
1ba1n,[]
12138,[]
11whf,"[u'new zealand', u'rap', u'hip hop', u'nz', u'samoanz', u'new york', u'sxsw 2009', u'need to rate']"
