mediaid,tags
2c12f,[]
2c09d,[]
2c3hh,[]
2bw9n,[]
2bxcb,[]
2c321,[]
2bz99,[]
2ba6t,[]
2bxjv,[]
1y3jj,[]
2b5pr,[]
2b54c,"[u'dreampop', u'electronic', u'indie', u'berkeley', u'male vocalists']"
2b9zs,[]
28h1t,[]
2aybj,[]
2c063,[]
23px8,"[u'rhythm and blues', u'hip hop', u'female vocalist', u'pop', u'soul']"
2azcr,[]
2bq1c,[]
2bzr3,[]
2c0y2,[]
23c5d,[]
2c08j,[]
2c0vf,[]
2bzxz,[]
2c0xq,[]
2c0ae,[]
2c1vt,[]
26mqp,[]
22ky1,[]
285hh,[]
239bn,[]
27x6p,[]
112sm,[]
26ngg,[]
26vjs,[]
23hn5,[]
26tvt,[]
26px0,[]
26tvp,[]
1g7c9,[]
205r0,[]
1gght,[]
236tz,[]
1kt18,[]
1m1ve,[]
1kbcn,[]
1gh6m,[]
1fg49,[]
1f4xt,[]
1bdk0,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
19jvd,"[u'dubstep', u'electronic', u'2011', u'electropop', u'bass', u'remix', u'fuck you', u'cheating', u'dance', u'dub']"
1h189,[]
1b8y2,[]
18cmr,[]
1dwf0,[]
12138,"[u'turntablism', u'electronic', u'hip hop', u'scratch', u'canadian', u'electro']"
12gk7,[]
121k0,[]
11zec,[]
12hca,[]
14c8p,[]
98wz,"[u'indie', u'beautiful', u'soundtrack', u'alternative', u'sad', u'melancholy', u'folk', u'gypsy', u'little miss sunshine', u'mellow']"
11fnw,"[u'hip hop', u'rap', u'chicago', u'underground hip hop']"
11akb,"[u'indie electronic', u'indie electro', u'breakfast', u'hope', u'summer', u'indie pop', u'ion b radio', u'top quality', u'indie', u'fav']"
10s43,[]
tbhd,[]
107z7,[]
wtrs,[]
w912,[]
x834,[]
vm5p,[]
trt6,"[u'electronic', u'indie', u'indie pop', u'mgmt:', u'rock', u'synthpop', u'indietronica', u'amerika', u'new york', u'buen humor']"
tg8y,[]
symq,[]
t6xv,[]
10tpe,[]
srm4,[]
sqqv,[]
