mediaid,tags
2c369,"[u'nu disco', u'electronic', u'indie', u'german']"
2c3b0,"[u'hip hop', u'rap', u'philly', u'meek mill']"
2c135,"[u'indie', u'rock', u'punk', u'hardcore', u'pop', u'singer-songwriter', u'alternative', u'alternative pop', u'american', u'synthpop']"
2c0ff,"[u'indie rock', u'electronic', u'indie', u'synthpop', u'australian']"
2c3tm,"[u'pop', u'electronic', u'swedish', u'female vocalist', u'dance']"
2c12f,[]
2c05m,[u'electronic']
2c48m,"[u'indie', u'electronic', u'chillout', u'need to scrobble', u'downtempo']"
2c09d,[]
2c2wx,"[u'moombahton', u'dubstep', u'electro house', u'electro', u'electronic', u'electronica']"
15sj5,"[u'house', u'nu-disco', u'hipster dance party', u'dance dance dance', u'getupanddance', u'upbeat', u'awesome']"
2bamw,"[u'electronic', u'synthpop', u'street punk', u'indie dance', u'punk', u'dance', u'electronica', u'indie', u'house', u'nu disco']"
2c3hh,[]
2a90h,"[u'hardcore', u'jd beatty', u'brett lane', u'2009', u'garage psychedelic', u'robby fronzo', u'5432fun', u'tempe', u'60s garage', u'shitcore']"
2c2fa,"[u'chillwave', u'electronic', u'lo-fi', u'psychedelic', u'electronica']"
2c1kb,"[u'experimental', u'electronic', u'indie', u'downtempo', u'kid a-esque']"
2b8vq,"[u'soul', u'electronic', u'cosmic dubstep', u'indie pop']"
2bw9n,[]
2bxam,"[u'pop', u'hip hop']"
22ksd,"[u'lo-fi', u'psychedelic', u'folk', u'experimental', u'garage rock', u'psychedelic rock']"
23383,[]
2bt0t,"[u'electronic', u'indie', u'psychedelic', u'alternative', u'indie pop']"
2bxcb,[]
2asey,[]
2c1g8,"[u'experimental', u'psychedelic', u'freak folk', u'indie', u'folk']"
2c321,[]
2c14y,"[u'house', u'progressive house', u'club', u'dance', u'electro house']"
2c09y,[u'electronic']
2c3ac,"[u'pop', u'electronic', u'swedish', u'female vocalist', u'dance']"
2c1d3,"[u'chillwave', u'electronic', u'lo-fi', u'psychedelic', u'electronica']"
2c24a,"[u'hip hop', u'rhythm and blues', u'rap', u'bitch house']"
2c41v,"[u'rap', u'hip hop', u'trap', u'rhythm and blues']"
2c367,"[u'hip hop', u'rap', u'underground hip hop', u'swag', u'new york']"
2c389,"[u'house', u'progressive house', u'electronic', u'swedish', u'dance']"
