acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mediaid,speechiness,tempo,time_signature,valence
0.279847,0.671289,260.93156,0.85681,0.002518,0.140305,-5.953,2c6s3,0.043386,124.13,4,0.641986
0.149139,0.574204,207.83288,0.808989,7e-06,0.129407,-5.787,2c8w1,0.056516,122.005,4,0.452391
0.039525,0.794323,255.98367,0.686996,0.400423,0.115282,-5.028,2ap7v,0.074603,100.253,4,0.782126
0.141492,0.461875,184.19229,0.719755,1e-06,0.051011,-3.851,2bw9n,0.058657,145.881,4,0.724503
0.109494,0.624011,248.43243,0.53584,0.000428,0.101641,-9.575,2c8tv,0.079936,119.088,4,0.134732
0.035085,0.77639,393.55011,0.714786,0.434071,0.240488,-7.304,2c5m5,0.057233,132.988,4,0.761437
0.517899,0.635403,236.20866,0.530428,4.6e-05,0.131742,-7.661,2c718,0.043154,128.943,4,0.193726
0.014761,0.678513,261.81819,0.824723,0.317604,0.110457,-5.59,2c2mh,0.030685,110.011,4,0.087987
0.667056,0.472919,236.13392,0.286182,0.009881,0.124858,-9.881,2c6q7,0.047138,128.067,4,0.073008
0.000817,0.503324,285.61333,0.530745,0.026956,0.1134,-8.024,1rmtg,0.027953,103.942,4,0.052856
0.836017,0.596538,245.94776,0.432168,0.780148,0.102743,-9.377,2b8vq,0.034462,124.0,4,0.054172
0.063649,0.371651,282.07955,0.893824,0.613055,0.32709,-4.79,yqkf,0.05056,111.985,3,0.245102
0.406728,0.369385,348.52,0.593632,0.003358,0.94468,-9.446,zjt7,0.038468,93.13,4,0.277332
0.105349,0.545162,241.98544,0.692551,0.001383,0.160322,-5.017,2ahss,0.033739,144.702,4,0.652058
0.067498,0.598827,264.33261,0.297961,0.000176,0.377454,-16.852,2c3mc,0.03843,112.035,4,0.338569
0.034435,0.380624,203.57918,0.439587,4e-06,0.118955,-5.539,2c3pf,0.079184,178.708,3,0.36933
0.000396,0.453219,209.83605,0.8026,0.665786,0.375668,-7.17,25hg1,0.077362,179.906,4,0.215423
0.82061,0.500994,318.53288,0.641029,0.888926,0.123118,-8.403,22ksd,0.024978,93.979,4,0.525479
0.116352,0.558349,217.86077,0.59029,0.273707,0.19073,-17.68,2asey,0.064023,125.985,4,0.178073
0.006064,0.630882,211.15184,0.823293,9.5e-05,0.18583,-4.465,2c1g8,0.055046,98.738,4,0.322712
0.00189,0.848845,253.92,0.76665,0.866494,0.091771,-5.332,2c14y,0.121638,125.002,4,0.347986
0.173386,0.656146,296.01351,0.71207,0.051319,0.375121,-9.232,2c09y,0.090481,85.996,4,0.406135
0.050248,0.706786,205.95147,0.566802,0.079419,0.106522,-8.608,2bwyg,0.158294,89.969,4,0.773655
0.016854,0.705117,246.22667,0.794125,9.7e-05,0.050346,-6.509,2bwjt,0.08788,122.027,4,0.804223
0.057944,0.670023,255.93333,0.57879,0.002458,0.090234,-7.763,2c369,0.029396,106.993,4,0.039458
0.026891,0.573067,242.00476,0.901463,0.433169,0.074051,-6.263,2c05m,0.032536,100.018,4,0.462247
0.022226,0.524211,246.27075,0.829252,3.6e-05,0.072373,-6.984,2c135,0.031169,142.124,4,0.434576
0.316538,0.726596,197.13333,0.59885,0.0,0.21927,-6.941,2c3b0,0.326636,167.909,3,0.380572
0.003815,0.750713,186.42998,0.328284,0.032523,0.098596,-13.006,2c09d,0.07819,107.916,4,0.361095
0.000329,0.538514,222.71955,0.509441,2.6e-05,0.193755,-15.164,2c0ff,0.045242,117.032,4,0.589566
0.000396,0.751729,192.18667,0.878165,0.034597,0.072636,-4.02,2c2wx,0.128545,111.979,4,0.15682
0.025332,0.783323,343.52898,0.776594,0.395538,0.691418,-2.807,26gx7,0.071726,102.008,4,0.214316
0.105349,0.545162,241.98544,0.692551,0.001383,0.160322,-5.017,2atnn,0.033739,144.702,4,0.652058
0.000433,0.483057,212.19007,0.716513,1.4e-05,0.093317,-4.802,2bfxf,0.05357,186.154,4,0.749845
0.053153,0.706045,256.06667,0.95771,0.004948,0.248661,-2.839,2avcn,0.053913,114.73,4,0.885426
0.561733,0.787449,250.8,0.497696,0.0,0.141647,-5.289,29adb,0.040427,120.384,4,0.522435
0.061412,0.594575,541.98667,0.888565,0.045059,0.145007,-6.219,20jvd,0.038504,135.995,4,0.536097
0.037146,0.547297,199.78667,0.460811,0.002309,0.67334,-7.33,24y1z,0.026515,71.512,4,0.597553
0.000849,0.63701,249.58122,0.803498,0.001358,0.079392,-5.874,29s5a,0.047998,92.992,4,0.786511
0.001957,0.625138,250.34667,0.947331,0.009323,0.140604,-3.25,25xk6,0.044983,102.014,4,0.556902
0.073038,0.807822,183.8,0.905906,0.017797,0.03985,-6.531,227j1,0.080154,127.975,4,0.424948
0.212727,0.574327,271.82612,0.712486,0.173897,0.158414,-6.6,2b5tf,0.044915,119.911,4,0.24706
0.012922,0.737845,196.48594,0.890193,3.7e-05,0.095964,-4.576,2aews,0.048105,125.002,4,0.621883
0.557119,0.42709,204.75955,0.405708,1e-05,0.103762,-9.254,228mk,0.046778,80.354,4,0.119182
0.378551,0.779454,291.81388,0.643212,0.040687,0.107214,-6.321,229ha,0.05089,100.001,4,0.66983
0.172408,0.587158,217.54667,0.833755,1.9e-05,0.108801,-5.295,2b1kk,0.126538,120.052,4,0.519122
0.017242,0.564796,212.92599,0.535492,0.267453,0.102715,-6.49,2b5et,0.027887,104.35,4,0.801066
0.219476,0.451357,204.28639,0.444299,0.137258,0.103926,-8.137,27nrm,0.02799,127.92,4,0.131603
0.000195,0.479967,223.20512,0.819433,0.026124,0.371469,-4.825,28ykp,0.044432,114.947,4,0.578387
0.004296,0.393512,307.73107,0.542867,0.838403,0.112439,-10.189,1hcvp,0.046927,169.419,4,0.674327
0.397265,0.625226,297.22667,0.728054,1.7e-05,0.103933,-9.312,30xf,0.029341,110.307,4,0.744548
0.000709,0.381658,258.86667,0.846116,0.867605,0.385515,-5.08,2bmqa,0.048199,157.029,4,0.429483
0.021088,0.701482,235.94544,0.740435,0.48651,0.103686,-5.259,2b9zs,0.041073,99.992,4,0.203846
0.190267,0.630378,348.74172,0.67124,0.752754,0.466318,-7.727,29q40,0.060168,96.478,4,0.141675
0.135713,0.632805,196.91955,0.713582,0.793298,0.137778,-6.875,20jv6,0.03033,124.006,4,0.644002
0.642453,0.633528,208.49333,0.680391,0.005662,0.072186,-8.532,k47r,0.03708,80.358,4,0.679933
0.028853,0.409892,187.73288,0.876298,0.777419,0.169146,-6.036,21rvk,0.03008,150.765,4,0.547018
0.887599,0.485344,262.0,0.13411,0.0,0.325927,-10.631,27msa,0.03304,96.502,4,0.279677
0.500355,0.540438,234.82667,0.328785,0.011176,0.111225,-10.266,27cmn,0.038651,138.01,4,0.511272
0.099201,0.571889,214.97556,0.741224,0.0,0.689706,-13.144,r65a,0.177907,81.577,4,0.714358
0.01571,0.783466,218.69887,0.843438,0.000128,0.186333,-7.517,1696z,0.30035,124.032,4,0.801618
0.627277,0.675337,229.81333,0.518776,0.218119,0.100191,-11.421,2b54c,0.082446,156.256,4,0.266459
0.163535,0.578168,217.53918,0.400351,0.001854,0.264323,-8.299,2b5pr,0.032802,113.478,5,0.366662
0.022929,0.743968,206.23261,0.404822,0.012178,0.110198,-8.439,2bzsd,0.073729,88.008,4,0.414375
0.00849,0.659736,383.68707,0.934301,0.88836,0.256122,-7.296,2bznk,0.035446,121.997,4,0.35971
0.035487,0.684511,283.95057,0.251684,3.2e-05,0.103982,-20.352,29w6h,0.0429,126.411,4,0.407648
0.902535,0.650268,61.11492,0.40466,0.0,0.7348,-21.544,265r5,0.81781,146.094,5,0.3544
0.053292,0.746525,205.22925,0.910871,0.0,0.070632,-2.992,2ba6t,0.057972,120.042,4,0.911364
0.024209,0.66756,291.14753,0.838783,0.804072,0.116912,-6.681,2b9xa,0.03956,122.029,4,0.386201
0.275461,0.291112,216.14667,0.634617,2.7e-05,0.3341,-6.846,2bbc8,0.037115,111.852,4,0.295202
0.025261,0.844174,370.28571,0.62357,0.454177,0.074975,-7.148,2c03e,0.054351,105.0,4,0.747732
0.008858,0.442871,304.6019,0.701808,0.0,0.086654,-7.169,229wz,0.027059,80.531,4,0.188995
0.103566,0.538299,312.56,0.777806,0.001663,0.200644,-7.513,23px8,0.057323,159.992,4,0.31033
0.02158,0.610457,176.49732,0.480975,1e-06,0.15649,-5.73,2c0vf,0.046021,84.001,4,0.667591
0.004591,0.616547,443.26526,0.758267,0.895845,0.10837,-7.733,2bzty,0.037004,110.991,4,0.439279
0.397972,0.767066,210.97134,0.781732,0.177895,0.087059,-6.31,2by5n,0.050128,118.205,4,0.915004
0.10661,0.654454,232.53855,0.76411,0.000625,0.270098,-5.34,2bzm1,0.027429,120.021,4,0.835775
0.251041,0.344997,245.01601,0.506074,0.221426,0.102235,-11.016,102c2,0.038186,73.838,4,0.597326
0.014809,0.41753,242.91156,0.581927,0.0,0.150996,-15.599,105xk,0.366352,101.766,5,0.504283
0.143358,0.507164,297.8,0.499851,0.170489,0.070468,-10.964,106x7,0.029625,78.987,4,0.302588
0.505474,0.122716,254.97333,0.446829,0.458736,0.088623,-11.167,1077k,0.033954,85.249,4,0.049159
0.000665,0.550178,189.69333,0.752621,8e-06,0.092074,-4.003,107fw,0.040682,139.048,4,0.839414
0.766856,0.703598,180.53288,0.320827,0.001351,0.369666,-10.927,108jg,0.486522,92.868,4,0.611822
0.809253,0.33067,246.46485,0.142864,0.094505,0.108458,-22.705,10hkx,0.034774,77.598,3,0.443002
0.001423,0.459168,211.04,0.708259,4e-06,0.485226,-6.167,10k0q,0.068147,108.952,4,0.578098
0.091676,0.737914,211.53288,0.782807,0.033112,0.103441,-9.486,10rst,0.161527,194.627,4,0.614181
0.007689,0.653571,249.38667,0.914582,0.522042,0.047523,-6.002,10spe,0.037011,119.953,4,0.556294
0.635174,0.207594,213.05424,0.977203,0.000186,0.98973,-3.081,110ex,0.34078,185.982,4,0.392309
0.076594,0.727258,390.69723,0.782385,0.365558,0.102487,-6.968,11akb,0.028789,128.994,4,0.78784
0.006354,0.608302,246.71955,0.69569,0.014795,0.085186,-13.973,11aym,0.039588,116.852,4,0.273227
0.115251,0.449118,200.45288,0.666323,0.0,0.434811,-9.43,11egv,0.378394,182.745,4,0.376103
0.48792,0.64659,209.37098,0.659015,0.000596,0.531436,-14.993,11f9p,0.247258,86.342,4,0.667213
0.925141,0.84175,160.41751,0.24758,0.000277,0.096785,-13.912,11nf2,0.070688,121.982,4,0.661585
0.002543,0.515901,223.90667,0.876463,0.003342,0.354627,-5.162,11sem,0.050254,154.934,4,0.565706
0.002568,0.64303,208.35197,0.862745,0.0,0.372882,-7.783,11whf,0.190141,87.973,4,0.494126
0.004272,0.859573,426.82621,0.712152,0.001831,0.171678,-4.901,120m5,0.172805,124.83,4,0.791105
0.064816,0.882338,238.2688,0.625439,0.0,0.065488,-6.064,12138,0.156701,130.065,4,0.649889
