artist,loved_count,mediaid,posted_count,sitename,time,title,loved
Lorde,6233,25mng,19,Salacious Sound,226,Tennis Court (Diplo's Andre Agassi Remix),False
Whitney Houston,3873,25mph,7,I Heart Moosiq,272,I Learned From The Best (Gryffin Remix),False
50 Cent,8893,25ngr,9,gottadancedirty,348,21 Questions (SNBRN Remix),False
Adventure Club,6839,25nq8,6,Chubby Beavers,312,Gold (Candyland & REVOKE Remix),False
Vic Mensa,1469,2cd4e,2,Different Kitchen,227,No Chill Feat. Skrillex X Jahlil Beats,False
Rihanna,2183,2bfw2,6,THUMP,308,Bitch Better Have My Money (Claude VonStroke Remix),False
Years and Years,5064,25nxt,14,Unrecorded,233,Breathe (Blu Cantrell cover),False
Vance Joy,11227,25mg3,2,Hillydilly,224,Mess Is Mine,False
Sum 41,9738,25hpx,8,I Heart Moosiq,253,In Too Deep (Kasum Remix,False
BANKS,19000,25mxa,51,Inyourspeakers Media,250,BEGGIN FOR THREAD,False
Flume feat. Kanye West,13451,25mjj,9,Vanscene,218,Insane (White Panda Vocal Edit),False
Day Wave,1485,2ca8d,16,Punch Magazine,272,Headcase,False
CRUISR,1460,2cc6v,8,Idolator,173,Throw Shade,False
John Newman,4478,2cd53,3,Caveman Sound,181,Come And Get It (Embody Remix),False
Icona Pop,2875,2cbsb,10,Indie Music Filter,192,First Time,False
The Drums,512,2caaq,6,acid stag,192,There Is Nothing Left (TOKiMONSTA Remix),False
Kurt Vile,2562,2ce4k,3,Indie Shuffle,299,Pretty Pimpin,False
Trouble Knows Me,1200,2ccaw,19,Buzzbands.LA,218,Trouble Knows Me (prod. by Madlib),False
Harrison Brome,1244,2carm,9,Free Indie,196,Midnight Island,False
SAFIA,3732,2c4j9,14,The Record Stache,231,Embracing Me,False
Dilly Dally,653,2caag,28,Escafandrista Musical,216,Desire,False
MR•CAR/\\ACK,412,2c9gy,3,HUNGRY DRUMS,244,"kehlani, jealous (carmack remix)",False
CHVRCHES,7552,2cbmq,40,Sounds Good To Me Too,238,Leave A Trace,False
filous,6106,2caey,2,CHROMEMUSIC,259,Better Off feat. Josh Roa & Bishøp,False
MGMT,5646,dqmq,68,Unpiano,303,Kids,False
Sonnengruss feat. Matt Kovac,9671,2ccaj,4,Vocododo,178,Day & Night (Deep Chills Remix),False
LAYLA,8191,246ew,10,manalogue.,206,SmokeStacks (DIMOND SAINTS Rework),False
NoMBe,14403,2a2ak,24,El Tino,217,California Girls,False
Lane 8,1456,2cbga,9,Y Este Finde Que,368,Loving You feat. Lulu James (Moon Boots Remix),False
Cloves,2284,2c9kx,24,Lie In The Sound,244,Don't You Wait,False
The Chainsmokers,4978,2cc8v,9,Write.Click.Cook.Listen ,211,Waterbed feat. Waterbed,False
Savannah Outen,3367,2cb89,9,CLICK AND LISTEN IT,222,Boys (Golden Coast Remix),False
The White Panda,12152,2cdd0,4,Cause=Time,195,Lean On To The Next One (Jay Z // Major Lazer & DJ Snake),False
Trails and Ways,2024,2c71y,9,Remy's Music & Film Blog,319,Downright feat. Harriet Brown (Falcon Punch Remix),False
Tribe Society,3429,2capy,7,Azltron,292,Pain Told Love (feat. Kiesza),False
MGMT,121,j29q,4,Rollo & Grady,284,Time To Pretend (DMoeFunk Club Mix),False
Santogold,3294,j2hh,11,Dancing Astronaut,278,Starstruck (Diplo Remix),False
Bikini,319,hb6c,9,Mp3 Medication,205,1234 (Feist Cover),False
MSTRKRFT,159,j4k4,3,Smetnjak,218,Bounce (High Powered Boys Remix),False
Ladytron,681,j34k,16,djnodj,288,Seventeen (Soulwax Mix),False
Lykke Li,1702,hs2v,21,Mixtape Riot,280,Little Bit (CSS Remix),False
Class Actress,2163,2c9yf,8,Electric Panda Music,276,GFE (SNBRN Remix),False
Sundara Karma,7149,2c9pg,9,blahblahblahscience,263,Flame (Roosevelt Remix),False
Lane 8,2357,2c7mp,7,The Mahogany Blog,288,Undercover feat. Matthew Dear,False
Mabel,1785,2ca1j,31,SoulBounce,230,Know Me Better,False
Jamie XX,1788,2c93r,11,THUMP,252,Loud Places (John Talabot Remix),False
CHINAH,4807,2c6q7,32,Musicgeeks,236,away from me,False
Sander Van Doorn,3356,2c2mh,3,ACIDTED,262,Ori Tali Ma (LVNDSCAPE Remix),False
CHVRCHES,8451,1zepg,38,surviving the golden age,318,The Mother We Share (Moon Boots Remix),False
Baby Bash,1320,2c74b,4,Kick Kick Snare,266,"Baby, I'm Back feat. Akon (Christofi Remix)",False
Disclosure,1311,2c5m5,22,strictlysocial,394,Holding On (Julio Bashmore's Elevated Mix),False
Laurel,3484,2c718,19,Kick Kick Snare,236,Blue Blood,False
Nicolas Jaar,1842,2c814,4,Planeta Pop,360,Tourists (Creange remix),False
Camel Power Club,3040,2c61e,3,Audio Aquarium,291,Laïka (Hannes Fischer Remix),False
Youth Lagoon,577,2ca75,1,Side One Track One,206,The Knower,False
Jack J,274,2c6q3,5,ERRANT,341,Thirstin',False
Hot Chip,1228,2c8za,5,gottadancedirty,375,Need You Now (Moonlight Matters remix),False
Mac Demarco,1239,2cagm,35,"Quick, Before It Melts.",167,I've Been Waiting For Her,False
Maximum Balloon feat Karen O & Tunde Adebimpe,3443,2c8mh,18,The Revue,371,LET IT GROW,False
Gordi,2822,2c6s3,18,art felicis,261,Can We Work It Out,False
Ought,907,2c6pn,36,Overblown Webzine,464,Beautiful Blue Sky,False
Thomas Jack,2592,2c8w1,2,Dancing Astronaut,208,Rivers,False
Giraffage & Viceroy,5701,2c8y2,13,Disco Filter,216,Impression Of You (feat. Patrick Baker),False
kiiara,5838,2c8bm,4,Dancing Astronaut,225,Gold (Hippie Sabotage Remix),False
GRiZ,7819,2c87x,7,Stereofox,267,Summer '97 feat. Muzzy Bearr,False
Ta-ku,4865,2c7sr,12,Casual Band Blogger,216,Down For You feat. Alina Baraz,False
Ratatat,17126,2ap7v,21,The Wandering Lamb,236,Cream on Chrome,False
MK feat Milly Pye,1538,2c5mc,5,Indie Shuffle,204,Bring Me To Life (Radio Edit),False
Majid Jordan,3967,2c8tv,18,Grooves 'N Jams,249,My Love feat. Drake,False
Flight Facilities,8553,26fc6,49,Silence Nogood,454,Two Bodies feat. Emma Louise (Extended Version),False
ZZ Ward,5556,2c6b3,13,MCL: Musique au Claire de Lune,192,LOVE 3X (RAC Mix),False
Atlas Genius,1954,2c0ff,8,Buzzbands.LA,249,Molecules,False
Dillon Francis,3123,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),False
KAPTAN,1793,2c05m,18,No Country For New Nashville,242,Anywhere We Go,False
Zimmer,2193,2c369,12,Absolute Bassline,256,Heartbreak Reputation (feat. Polina),False
Meek Mill,2007,2c3b0,1,House of Lords,199,R.I.C.O feat. Drake,False
flor,2642,2c135,13,Oh My Rock,246,warm blood,False
A$AP Rocky,4891,2c367,2,Dancing Astronaut,292,LSD (Shemce Remix),False
PHFAT & Al Bairre,227,2c3hh,1,Indie Shuffle,211,Caviar Dreams,False
pools,423,2a90h,3,Delicieuse Musique,129,☕ coffee in the morning ☕,False
I'lls,764,2c1kb,19,I Oh You,246,Keep,False
Doe Paoro,534,2b8vq,8,Northern Transmissions,246,The Wind (feat. Adam Rhodes),False
Lawrence Taylor,4763,2bw9n,8,Gobsmag,184,Bang Bang,False
One T & Cool T,1189,2bxam,6,The French Shuffle,232,The Magic Key (LeMarquis & FAB Remix),False
ZEDD feat. Selena Gomez,1879,2bxcb,3,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),False
Wolf Alice,2755,2asey,41,newmusic.cz,225,Bros,False
Oliver,8659,26gx7,13,JayeL Audio Music,344,Light Years Away,False
Tame Impala,793,2atnn,4,barrygruff,247,Cause I'm a Man,False
Toro y Moi,491,2c2fa,16,Noonday Tune,93,That Instead of This,False
Panda Bear,713,2c1g8,15,surviving the golden age,211,Crosswords (Pete Rock Remix),False
Wavves X Cloud Nothings,624,2c321,18,DIY,200,No Life For Me,False
Michael Calfan,1320,2c14y,6,Inyourspeakers Media,254,Mercy (Original Mix),False
BAILE,2097,2c09y,10,Indie Shuffle,296,Matter (feat. Felicia Douglass),False
Ty Dolla $ign,2214,2c24a,11,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,False
GIBBZmusic,1145,2c12f,15,CLICK AND LISTEN IT,211,I Found You,False
Robyn,4761,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),False
RL Grime,3649,25hg1,15,No Country For New Nashville,237,Core,False
Unknown Mortal Orchestra,541,2aade,8,Cause=Time,192,Multi-Love (20syl Remix),False
Amen Dunes,876,22ksd,47,Fuzzy Logic,319,Lonely Richard,False
Tame Impala,1047,2ahss,1,Indie Shuffle,243,Cause I'm A Man,False
Black Rebel Motorcycle Club,2677,zjt7,34,Shelter From the Norm,226,Beat The Devil's Tattoo,False
The Besnard Lakes,605,yqkf,110,scruffy the yak,282,Albatross,False
The Knocks,6782,1t7dh,7,aerial noise,276,The Feeling (Dave Edwards Remix),False
The Knocks,6380,1696z,20,Berkeley Place,219,Dancing With The DJ (Chiddy Bang Remix),False
HONNE,2035,2b5tf,14,Musicgeeks,272,Top To Toe,False
Matrimony,2340,29gay,9,Audio Aquarium,260,Giant (Ghosts Remix),False
Natalie Prass,736,27cmn,24,The Swollen Fox,213,Why Don't You Believe In Me,False
The Knocks,4008,2aews,10,JayeL Audio Music,197,Collect My Love feat. Alex Newell,False
Temples,1448,20jvd,49,We All Want Someone To Shout For,222,Mesmerise,False
Sinkane,1907,24y1z,31,JayeL Audio Music,197,Hold Tight,False
Unknown Mortal Orchestra,4784,2avcn,67,Loud and Quiet,257,Can't Keep Checking My Phone,False
Blue Hawaii,1474,27ams,15,What Else Is There?,264,Get Happy,False
Chet Faker,2817,2bwyg,23,Berkeley Place,206,Bend,False
Skylar Spence,1492,2bwjt,29,acid stag,246,Can't You See,False
Toro y Moi,1408,2btxp,8,acid stag,145,room for 1zone,False
The Chainsmokers,5269,2b9jx,6,EDM Girl,253,Let You Go (Steve James Remix),False
Unknown Mortal Orchestra,8153,29adb,86,Sunset in the Rearview,251,Multi-Love,False
Lapalux,3608,29q40,25,music is art,349,Don't Mean A Thing,False
Vaults,1549,27nrm,12,Little Indie Blogs,204,Poison,False
Toro Y Moi,1829,28ykp,43,KEXP Blog,222,Empty Nesters,False
ON AN ON,1558,2bnef,9,Planeta Pop,227,It's Not Over (The Twelves Remix),False
Lower Dens,2004,1hcvp,132,MUSIC BETWEEN FRIENDS,302,Brains,False
Damien Jurado,2023,20jv6,38,The Swollen Fox,198,Silver Timothy,False
Blitzen Trapper,2912,k47r,64,scruffy the yak,209,Black River Killer,False
The Knocks,4776,29s5a,19,JayeL Audio Music,250,Dancing With Myself,False
EMBRZ,9449,1y3jj,12,nialler9,284,Slow Down,False
American Authors,13856,229ha,8,I Heart Moosiq,292,Best Day Of My Life (Just A Gent Remix),False
Rudimental,14978,21hnn,6,EARMILK,305,Free (Cash Cash X Gazzo Remix),False
Mammút,143,229wz,14,MusikBlog,345,Salt,False
Tuxedo,436,2c1r6,6,The French Shuffle,238,Without Your Love,False
Soma,629,2c2et,5,Different Kitchen,198,Uncertain,False
Moullinex,873,2c03e,7,Y Este Finde Que,370,Take A Chance (Satin Jackets Remix),False
Lemon.,790,2c063,6,Different Kitchen,165,Better For You,False
Kelis,847,23px8,10,Indie Shuffle,315,'Runnin' (Machinedrum Remix),False
The Drums,410,265r5,2,KEXP Blog,290,I Can't Pretend,False
Janet Jackson,1025,2bzsd,12,Soul Motion,206,No Sleeep,False
•◊ Hopium ◊•,3814,2b5pr,9,Stereofox,218,Right Now,False
BebeRexha,2219,28h1t,4,Electric Panda Music,208,I'm Gonna Show You Crazy,False
Oh Wonder,3850,2b8z0,10,gottadancedirty,263,Midnight Moon (Melvv Remix),False
Astrid S,5295,2b9zs,3,JayeL Audio Music,235,2AM (Matoma Remix),False
TroyBoi,2929,2ba6s,2,Indie Shuffle,201,Do You feat. Armani White (Remix),False
Ishinohana,3215,2aybj,8,Electrocorp ,317,Lucía (John Talabot's Sunset edit),False
Tove Lo,6484,2b92r,4,JayeL Audio Music,278,Talking Body (Jax Jones Remix),False
Little Giants,5102,2c228,6,The French Shuffle,320,"Lately (Love, Love, Love) (Monsieur Adi Remix)",False
Favored Nations,2135,2by5n,8,Audio Drums,211,Always,False
"Astronauts, etc.",3838,2b54c,23,The Music Court,230,No Justice,False
Years and Years,9766,2b8xm,32,Spectrum Culture,254,Shine,False
diplo,8435,2baq6,18,Never Radio,285,Bitch Better Have My Money (Diplo & Grandtheft Remix)OFFICIAL,False
POWERS,9327,2ba6t,31,blahblahblahscience,205,Beat Of My Drum,False
Gigamesh,5422,2b9xa,9,The Jackplug,291,The Music,False
filous,12546,2bd2b,11,Sunset in the Rearview,198,How Hard I Try feat. James Hersey,False
Blackbear,6405,2b9ng,6,Stoney Roads,278,90210 feat. G-Eazy (Matt DiMona Remix),False
Flume,12198,2bk4b,23,Beautiful Buzzz,264,Some Minds feat. Andrew Wyatt,False
L'Orange & Jeremiah Jae,4632,2ax54,9,Lautstark,171,All I Need (feat. Gift Of Gab),False
Aayushi & Dillistone,6024,2bz99,6,Musicgeeks,237,Diamond Child,False
Major Lazer,9774,2bzkc,2,Never Radio,194,Too Original (KREAM Remix),False
Harrison Brome,2601,2bq1c,13,Poetry in an Empty Coke Can,218,Fill Your Brains (Master),False
Years & Years,4681,2c221,4,POP ON AND ON,240,King (Lash Remix),False
Iron & Wine and Ben Bridwell,2575,2bzr3,23,Cover Me,213,This Must Be The Place (Naive Melody),False
BECOME X Elohim,2226,2c0y2,16,First Ear,160,She Talks Too Much,False
Chance The Rapper,1479,296pt,2,Inyourspeakers Media,225,Sunday Candy Feat. The Social Experiment,False
Addal feat. Lisa May,3680,2c08j,6,Electric Panda Music,325,Morning In Love (Original Mix),False
HAERTS,2316,26by0,31,Indie Obsessive,258,Giving Up,False
Frankie Cosmos,190,22ky1,2,"Song, by Toad",93,My I Love You,False
Sean Nicholas Savage,323,22m21,11,Dots & Dashes,226,Naturally,False
Run The Jewels,4244,26khp,47,Too Much Love Magazine ,214,Oh My Darling Don't Cry,False
Röyksopp,4978,27mzc,10,music is art,396,Thank You,False
SZA feat. Chance The Rapper,7062,23c5d,42,The 405,216,Childs Play,False
Fatima,355,24te4,1,Don't Need No Melody,325,Biggest Joke Of All,False
Tanya Tagaq,156,24s65,12,Chicago Reader,169,Uja,False
Bombay Bicycle Club,4836,21kgk,29,SFCritic,191,Luna,False
Will Joseph Cook,2362,2c0vf,24,Queen Beetch,177,Beach,False
Shura,988,2bzty,10,DIY,443,White Light (Gabe Gurnsey Factory Floor Remix),False
Kendrick Lamar,7080,2c2a8,3,Music You Wanna Listen To,204,i (Carneyval & INSTRUM Remix),False
Lewis Del Mar,6910,2c0xq,14,Le Soundrivin,249,Loud(y),False
Saint Motel,2968,2c15e,9,Vocododo,280,My Type (Eau Claire Remix),False
Little Giants,8347,2aynk,10,Abduction Radiation,212,"Lately (Love, Love, Love)",False
The Weeknd,3304,2c298,5,THUMP,300,Can't Feel My Face (Keljet Edit),False
Wiz Khalifa Feat. Charlie Puth,5407,2azcr,5,EDM Girl,223,See You Again (Ale Mora Remix),False
ALESSIA,11779,2b0gs,22,J(am) of the Day,200,HERE,False
Sea Oleena,997,25z92,32,Just Music That I Like,311,If I'm,False
Steve Gunn,349,25e7m,14,Earbuddy,334,Milly's Garden,False
Starfoxxx,689,2651y,3,Electric Panda Music,309,Bae HD,False
Baauer,12646,27ehz,28,Pilerats,215,One Touch feat. AlunaGeorge & Rae Sremmurd,False
Maiday,5304,285hh,10,The 405,218,Wish You'd Met Me First,False
Allo Darlin',491,260dr,21,Berkeley Place,172,Romance And Adventure,False
Careful,249,1n80b,7,KEXP Blog,178,It's Funny,False
Aphex Twin,1078,26dqh,42,Wondering Sound,288,minipops 67 (120.2)(source Field Mix),False
Thrupence,2030,26w7s,23,Deftune,248,Silk,False
Goldroom,1008,23tcs,3,Poetry in an Empty Coke Can,279,Embrace (backstroke. Remix),False
The Knocks,2064,26n5b,5,JayeL Audio Music,297,Classic (DiscoTech Remix) - Big Beat,False
TĀLĀ,1563,26t41,40,Stamp The Wax,201,Alchemy,False
HAERTS,3024,20cjh,25,Cougar Microbes,320,Wings (Shlohmo Remix),False
Whilk and Misky,16143,27qph,12,Inyourspeakers Media,318,Babe I'm Yours,False
Kanye West vs. Sam Smith,14240,27x6p,11,Wake the Deaf,266,Tell Me I'm The Only One (Carlos Serrano Mix),False
Florence & The Machine,4796,27170,9,EDM Girl,263,You've Got The Love (Prince Fox Remix),False
Felix Jaehn feat. Chris Meid,4919,26tvp,11,JayeL Audio Music,248,One Last Time Remix,False
ODESZA,8426,26t7k,11,acid stag,198,Say My Name (feat. Zyra) (cln Remix),False
Clean Bandit & Jess Glynne,7353,26xhz,14,JayeL Audio Music,219,Real Love,False
Jaymes Young,6231,26x11,8,Ladywood ,250,I'll Be Good,False
GoldLink,1537,23hn5,7,Silence Nogood,164,Bedtime Story (Prod. Louie Lastic),False
Kings Of Convenience,2254,63cw,14,Indie Shuffle,235,Know How (featuring Feist),False
Dirty South,2336,26tye,7,Dancing Astronaut,274,Unbreakable (Elephante Remix),False
YOUNG & SICK,2321,26vkp,10,Salacious Sound,282,Breathe (Télépopmusik Cover),False
kp.,2411,26px0,9,I Heart Moosiq,241,where did you go,False
Yellerkin,2362,26rsp,33,Operation Every Band,261,Tools,False
FOYNES(nicholas basquiat),2128,26tvt,4,I Heart Moosiq,215,Protect (Feat. Antony & Cleopatera) (Foynes Remix),False
Aphex Twin,2015,26qkp,3,said the gramophone,322,Aisatsana,False
Jurassic 5,7406,24jdj,5,Musikfar,229,The Way We Do It,False
RAC,4175,26mpj,9,Chubby Beavers,265,Cheap Sunglasses feat. Matthew Koma (Two Friends Remix),False
alt-J,15919,261f8,57,The Devil Has The Best Tuna,216,Every Other Freckle,False
Joey Bada$$,5756,26vk9,16,Pilerats,237,Get Paid,False
T.I.,4838,26tj0,10,Different Kitchen,206,No Mediocre feat. Iggy Azalea (Grandtheft Remix),False
Mating Ritual,5519,26ngg,19,Audio Drums,188,Toxins,False
Jaymes Young,2740,26txn,5,Sunset in the Rearview,221,What Should I Do,False
TULA home,6584,26vjs,10,grinzao,226,Wicked Game,False
Cold War Kids,21228,26a2r,21,Never Radio,201,First,False
Ben Khan,4097,237kw,55,When The Gramophone Rings,198,Youth,False
The War On Drugs,12701,20xm4,139,Inyourspeakers Media,299,Red Eyes,False
Lorde,6151,26wg0,4,Earbuddy,233,Yellow Flicker Beat,False
James Bay,17145,23wf2,23,Spectrum Culture,261,Let It Go,False
Jaymes Young,18942,238f5,21,JayeL Audio Music,214,Habits Of My Heart (Sufjan Stevens Remake),False
thvn,1897,234rw,6,Sirens of Decay,230,toxic,False
M83,2528,1m0ab,52,Music For Ants,291,Graveyard Girl,False
Ben Howard,4778,1m1ef,5,Cover Lay Down,273,Call Me Maybe (Carly Rae Jepsen Cover),False
emma louise,3858,1m13r,12,Let's Not Get Carried Away,274,Boy,False
Thomas Jack,7338,205r0,10,Stoney Roads,539,Symphony (Original Mix),False
Saint Etienne,1617,1kze6,4,Vacay Wave,389,I've Got Your Music (Golden Filter Remix),False
The Twelves,1345,1m1d0,3,Revista Metrónomo,866,The Twelves | 08.05.2012,False
LIL KIDS,2409,1m1ve,5,Dingus,196,Nobodies,False
Ghost Beach,3869,1m0a7,26,KEXP Blog,208,Miracle,False
"Steve Aoki, Diplo & Deorro",4286,236tz,6,Dancing Astronaut,281,Freak (feat. Steve Bays),False
JUNGLE,6508,22m26,70,Abeano Music,180,Busy Earnin',False
THE NIGHT VI,3982,236d7,44,DrunkenWerewolf,225,Sienna,False
Haim,3808,236m2,15,the burning ear,359,If I Could Change Your Mind (The Knocks Remix),False
London Grammar,4814,23781,34,Twee Huizen Verder,346,Hey Now (Bonobo Remix),False
TOURIST,15791,22ejp,41,REDEFINE magazine,271,I Can't Keep Up (feat. Will Heard),False
SAFIA,9735,236kx,28,Site of Sound,266,"Paranoia, Ghosts & Other Sounds",False
Lykke Li,13522,2374v,45,Cougar Microbes,221,No Rest For The Wicked,False
Porter Robinson,7461,236gd,23,JayeL Audio Music,368,Sea Of Voices (RAC Mix),False
Ewok Fur,594,1ks44,3,guerolitomusic,161,moving to antarctica sounds quite ok,False
Flux Pavilion,1466,1krp8,7,Salacious Sound,317,Daydreamer feat. Example (Jack Beats Remix),False
Zella Day,3468,236fk,32,West Coast Fix,222,1965,False
D.VELOPED,6332,1f3cm,5,Sunset in the Rearview,261,My Dangerously Melodic Anthem,False
EMBRZ,9766,1z1vr,14,nialler9,322,Make Your Way,False
Edward Sharpe and the Magnetic Zeros,2544,205f7,10,The New LoFi,355,Life Is Hard (Teen Daze Remix),False
Eminem,5796,207bj,3,Earbuddy,265,Beautiful Pain feat. Sia,False
Josef Salvat,6550,204ky,28,josh is listening to,223,Every Night,False
Common,4975,2055a,19,The 405,230,I Want You (Kaytranada Edition),False
Yuna,3099,205p1,2,Earbuddy,214,Lights And Camera,False
Drake,9942,205dd,42,House of Lords,221,Come Thru (James Blake Version),False
Childish Gambino,3202,1kzn8,8,CHROMEMUSIC,141,Fuck Your Blog (feat. Flynt Flossy & Yung Humma),False
No Doubt,631,1ksgh,2,Inyourspeakers Media,264,Don't Speak,False
Project 46,1172,1ktar,3,aerial noise,316,The Rift (Original Mix),False
Kindness,3801,1k8g5,44,Genre Confused,217,House,False
Active Child,1934,1kqq6,16,Indiehere,183,Hanging On (GRVRBBRS Remix),False
Goldroom,12117,1m044,62,Buzzbands.LA,300,Fifteen (ft Chela),False
The Knocks,5152,1kzak,26,JayeL Audio Music,324,Learn To Fly,False
Mashup-Germany,7746,1g7r0,7,Silence Nogood,245,Top of the Pops 2011 (What The Fuck),False
Arion Dubstep,2111,1g5vx,1,Penned Madness,228,I'm Coming Home ( Diddy feat. Skylar Grey),False
Mike Posner,4523,1g53y,8,Pick Up The Headphones,204,Looks Like Sex,False
Swedish House Mafia,8061,1jphx,4,EARMILK,411,Greyhound (Original Mix),False
Gym Class Heroes feat. Neon Hitch,4985,1gh6m,3,the burning ear,316,Ass Back Home (Black Cards Remix),False
Birdy,6781,1fz31,13,The Morning After,309,1901 (Phoenix Cover),False
XV,1941,1ks0q,2,Et Musique Pour Tous,290,Pictures On My Wall,False
The Wanted,1080,1ks63,1,POP ON AND ON,342,Chasing The Sun (Mario Larrea Club Mix),False
Lana Del Rey,2117,1kr6z,25,Cougar Microbes,224,Blue Jeans feat. Azealia Banks (Smims&Belle Extended Remix),False
Viceroy & WhiteNoize,2495,1kt18,10,Silence Nogood,332,Only Takes (Original Mix),False
Florence and the Machine,1132,1ksjr,1,Free Breaks Blog,307,You Got The Love (The Bॐb Squad Breaks Mix),False
Kids These Days,1803,1ksca,3,Simply 7,221,Darling,False
Deadmau5,6927,1d055,4,Your Music Radar,285,Double Life Of Mau5e (Skrillex Mix),False
Ramona Falls,1740,1ksb9,3,The Music Ninja,220,Proof,False
Throttle,1580,1ks3x,4,REMIX86,300,Next Big Thing (Original Mix),False
Joel Zimmerman,2413,1krb0,5,Your Music Radar,431,Closer Rev.2,False
Summer Heart,1908,1ks5c,1,Hilly Dilly,246,I Wanted You To Stay On the Other (Side),False
Bob Marley,4202,1ks6g,2,The Music Ninja,306,Sun Is Shining (Smoke Out Dubstep Remix),False
Greg Laswell,2386,1ks5y,1,POP ON AND ON,228,Come Back Down (feat. Sara Bareilles),False
Foster the People,3214,1kr1b,14,All Things Go,366,Don't Stop (Oliver Remix),False
Amadou & Mariam,3040,1kbzc,6,the steely stylus,312,Je pense a toi,False
Felix Cartal,11522,1ksas,10,Chubby Beavers,201,Tonight (Original Mix) (feat. Maja Ivarsson from The Sounds),False
Hoodie Allen,10902,1kbc4,6,This Bonus Track,201,No Faith In Brooklyn (Feat. Jhameel),False
Avicii feat. Salem Al Fakir,5859,1kbcn,3,EARMILK,392,Silhouettes (Original Vocal Mix),False
"Avicii,David Guetta,Special Features,Max'C,Pete Sweat",3638,1fg49,2,aerial noise,369,Avicii Ft Guetta - Sunshine Special Features ( Pete Sweat - I Found U In Sunshine ),False
Grouplove,9045,1f4xw,12,EARMILK,245,Colours (Xaphoon Jones Remix),False
Overnight Celebrity Thrill,4870,1f4xt,1,AudioCred,241,Wiz Khalifa feat. Twista & Kanye West,False
Jay-Z & Kanye West,3840,1f4am,10,Cougar Microbes,275,Niggas In Paris (feat. T.I.) (Remix),False
BASTILLE,15016,1fbqe,13,JayeL Audio Music,188,What Would You Do? (City High Cover),False
Neko Case,11,1bgn6,1,Town Full of Losers,125,Misfire (Queen cover),False
Townes Van Zandt,19,qdje,3,Carnival Saloon,196,To Live Is To Fly,False
Emmylou Harris,11,122mx,3,Cover Lay Down,245,Millworker (James Taylor cover),False
Southeast Engine,11,1a055,3,Music Savage,307,Adeline of the Applachian Mountains,False
J. Cole,3378,1egj6,9,Avenge the Virgins,190,Nobody's Perfect (feat. Missy Elliott),False
Justice,5520,1eahn,34,Stoney Roads,271,Helix,False
The White Panda,21801,1ebcm,14,Silence Nogood,234,Midnight Life (Kanye West vs. M83),False
YONAS,2543,1dw12,1,Sunset in the Rearview,229,I Need A Dollar,False
T-Pain,4794,1e8a9,10,One A Day,281,5 O'clock (feat. Wiz Khalifa & Lily Allen),False
Ryan Adams,6,1bdk7,1,Cover Me,639,Dead Flowers (The Rolling Stones cover),False
David Guetta & Afrojack,5873,1dp5k,5,This Bonus Track,317,Lunar (Original Mix),False
Florence + The Machine,7720,1dwev,13,blahblahblahscience,333,What The Water Gave Me,False
Caitlin Rose,14,1bxj3,4,Teenage Kicks,208,Faithless Love,False
My Morning Jacket,10,1bx5q,1,Troubled Souls Unite,313,Movin Away (5.31.11),False
Ryan Adams,6,1bdkk,1,Cover Me,78,Caribbean Queen (Billy Ocean cover),False
Ryan Adams,7,1bem2,1,Largehearted Boy,319,Head Over Heels (Tears For Fears),False
William Elliott Whitmore,9,1berk,1,captain's dead,269,shotgun,False
Jason Isbell,4,1bemj,1,Berkeley Place,382,Hey Pocky Way (The Meters),False
William Elliott Whitmore,1,1bera,1,captain's dead,100,run johnny run,False
MGMT,6394,cr02,64,Indie Rock Cafe,230,Electric Feel,True
Lykke Li,922,gywz,26,the burning ear,203,"I'm Good, I'm Gone (Black Kids Remix)",True
Beck,653,hnkf,16,Turntable Kitchen,177,Gamma Ray,True
Ladyhawke,2565,hd6m,36,JayeL Audio Music,321,Paris Is Burning (Cut Copy Remix),True
Beck,231,hs1h,10,Radio Free Chicago,195,Modern Guilt,True
MGMT,1268,tqys,21,melophobe,409,Electric Feel (Aeroplane Remix),True
Ratatat,979,gz5r,16,The New Montreal,235,Falcon Jab,True
Keedz,2160,j3d2,8,Et Musique Pour Tous,205,Stand On The Word,True
Pnau,3317,hx94,36,Bizzies,365,Embrace feat. Ladyhawke (Fred Falke & Miami Horror remix),True
Flight Facilities,9624,2bzvm,12,Abduction Radiation,199,Heart Attack feat. Owl Eyes (Snakehips Remix),True
Duke Dumont,7432,2cjkk,10,Pilerats,206,Ocean Drive,True
GRiZ feat. Talib Kweli,4390,2cprk,7,gottadancedirty,283,For the Love (Autograf Remix),True
HINDS,928,2cdrg,37,Q Magazine,192,Chili Town,True
Ginuwine,1738,2cgm0,10,WEIRD by SEAPUNKGANG,143,Pony (Rustie Rmx),True
SPORTS,331,2che5,7,Going Solo,187,The Washing Machine,True
Pure Bathing Culture,1859,2ceh0,27,Indie30,226,Pray For Rain,True
octobersveryown,8918,2chn4,26,The Quietus,172,Drake ~ Back To Back Freestyle,True
