artist,loved_count,mediaid,posted_count,sitename,time,title,loved
The White Panda,1668,xp2g,2,Muzjiks,226,Stuntin' Like My Energy (Lil Wayne vs Keri Hilson),True
Yeah Yeah Yeahs,5765,xqjv,7,The Music Ninja,230,Maps (Acoustic/Strings Version),True
Flying Lotus,1282,j17x,9,Sunset in the Rearview,186,Robo Tussin feat. Lil Wayne.aif 15.41.55PM,True
Metric,2325,v55s,9,i (heart) music,187,Don't Think Twice It's Alright (Bob Dylan Cover),True
Lady Gaga,1151,x9q8,6,The World Forgot,364,Paparazzi (Redlight Remix),True
KiD CuDi,22349,y0rf,24,"The Good, The Bad, and The Unknown",146,Cudderisback (Feat. Vampire Weekend),True
Chiddy Bang,6714,sgnw,18,Listen Before You Buy,171,Truth (feat. Passion Pit),True
Anya Marina,10402,x3p9,14,New Music Collaborative,229,Whatever You Like (T.I. Cover),True
,1163,wtrs,2,The Music Ninja,202,99problems vs. phantom II,True
Florence + The Machine,38052,wm2h,154,djnodj,344,You've Got The Love (The XX Remix),True
RJD2,1175,wtrc,4,Rollo & Grady,208,All For U,True
Wale,388,wtpm,1,Hilly Dilly,208,Prescription,True
The Scare,465,wr2a,7,Winnie Cooper,465,Could Be Bad  (G.L.O.V.E.S Remix),True
Don Diablo vs Phoenix vs Jay Z,3370,w912,19,Electronix,205,99 Fences,True
Ishivu,533,w0mw,3,amix music,267,New Clear Head,True
DJDT,479,r80g,2,FMLY,208,Killers Remix Dude!,True
"Mos Def, Jim Jones & Black Keys",331,vm5p,2,earmilk,202,Hoochie Coo,True
Xaphoon Jones,6608,vf8f,5,Songs to Save,293,"I Wanna Know Now (Bob Marley, MGMT)",True
Phoenix,5174,qmdh,22,Friends From Far,459,Love Like a Sunset,True
John Mayer,2021,w0v7,6,Audio Muffin,180,Who Says,True
The Bloody Beetroots,803,w0s1,1,KEEPREAL,261,Warping  is Awesome (TOMY's edit),True
Jay-Z and Marvin Gaye,9416,vxyr,6,earmilk,260,Hello Brooklyn,True
Phoenix,13713,qp90,139,Ca Va Cool,198,1901,True
Kid Cudi,15492,vhfh,30,The New LoFi,295,Pursuit of Happiness (Feat. MGMT And Ratatat),True
dfp,721,1b63h,2,La detente generale,373,I want you Black-Dimitri From Paris super heavy funk brakes remix,True
Xaphoon Jones,11178,wbg3,12,EARMILK,200,"Testify (Radiohead, Kanye West)",True
Justice,927,vc74,8,Vacay Wave,318,We Are Your Friends (Barretso Remix),True
Miike Snow,12121,qc6a,79,8106,264,Animal,True
Vampire Weekend,5862,w7d5,79,Chromewaves,208,Horchata,True
Uffie,1281,w5r0,6,First up!,159,Pop the Glock (Mirwais Pop Remix),True
Casiotone For The Painfully Alone,470,qymc,4,Monstrous Media!,210,Hot Boyz (W/ Dear Nora),True
Arcade Fire,4793,8anb,71,Minored In Music,337,Wake Up,True
Rhymefest,1266,45vm,3,Some Songs Considered,227,Build Me Up (Feat. O.D.B.),True
Kanye West,1590,vbyy,5,EARMILK,318,Flashing Lights (High Contrast Remix),True
KiD CuDi ft. Ratatat,49,vkef,1,First up!,225,Pursuit of Happiness (Live Late Show with David Letterman 11th of September 2009),True
Jay-Z/Danger Mouse,1499,s2er,6,Silence Nogood,267,What More Can I Say,True
Electric Wire Hustle,6171,w4d2,26,Beaver on the Beats,269,They Don't Want,True
DJ Gizmo,168,w2er,1,The Animal Show,237,Keep On Till You Get Enough (Steve Miller Band vs. Michael Jackson),True
Peter Bjorn And John,6745,3m88,83,Indie Shuffle,276,Young Folks,True
Phoenix,2705,w1fs,9,Tunes I Dig,181,Everything Is Everything,True
The Hood Internet,6072,r3xt,23,popgoestheradio,198,Good Ol' Fashion Rump Shaker (Beastie Boys vs Matt & Kim),True
Kinetic Stereokids,354,tn1m,4,Obscure Sound,277,Twisted Thoughts,True
The Hood Internet,19683,rhqc,30,The Dadada Music Blog,215,Two Weeks Of Hip Hop (Dead Prez vs Grizzly Bear),True
Chromeo,1331,c53c,21,Trashbag Kids,269,Bonafied Lovin (YUKSEK remix),True
Miike Snow,4021,vz6m,19,Plain Or Pan?,221,Black & Blue,True
DJTOPCAT,706,w0s9,3,Tastes Like Caramel,230,Paper heartbeats-88bpm (master),True
KiD CuDi,4507,vfb3,6,Indie Shuffle,227,"Up, Up, And Away (The Wake And Bake Song)",True
Kid Cudi,5334,vq91,15,Sunset in the Rearview,267,Make Her Say (Sammy Bananas Remix),True
KiD CuDi,1732,veq4,2,Tympanogram,236,"G.O.O.D. Music, Soundtrack 2 My Life",True
Vampire Weekend,3368,kjm4,27,We All Want Someone To Shout For,243,Ottoman,True
Noah And The Whale,1828,mxq0,2,the OCMD,215,5 Years Time,True
Miike Snow,5275,t5nj,7,ilictronix,316,In Search Of,True
La Roux,11619,yrgg,61,THE VINYL VILLAIN,303,In For The Kill (Skream's Let's Get Ravey Remix),True
Justice,444,vm3w,2,tashed,362,Phantom Pt.2 (Freemasons Remix),True
Diplo,872,ty42,2,djnodj,368,Young Folks (Diplo Youngest Folks Remix),True
Belle & Sebastian,387,tzvn,4,Indie Rock Cafe,208,There's Too Much Love,True
Badly Drawn Boy,492,5q52,15,Music For Kids Who Can't Read Good,224,Once Around The Block,True
Julian Plenti,156,tvpf,3,The Pigeon Post,227,Only If You Run,True
The Rolling Stones,978,9726,7,Inyourspeakers Media,284,Gimme Shelter,True
Drake,7506,1a4xq,21,Totally Twitterpated,229,Little Bit (feat. Lykke Li),True
Pnau,12762,hcr9,42,Sunset in the Rearview,236,Baby (Breakbot Remix),True
Acid Girls,433,ty1e,2,the burning ear,219,Wake Up (feat. Frankmusik),True
Kings Of Convenience,558,tw2n,3,The Digital Outhouse,277,I Don't Know What I Can Save You From,True
The Supremes,282,tw6k,2,FMLY,177,where did our love go? (quarterbar redo),True
Johnny Cash,546,9rbd,6,THE VINYL VILLAIN,233,One,True
Fly Gypsy,483,vbpt,2,surviving the golden age,289,Reasons (feat. Kanye West),True
Chiddy Bang,15675,r6j7,49,SUCKA PANTS,193,Kids (Feat. MGMT),True
Obadiah Parker,1228,qbbg,9,CHROMEMUSIC,268,Hey Ya,True
Jay-Z,1408,vb36,1,earmilk,270,Already Home (feat. Kid Cudi),True
Band Of Horses,8295,bfyh,51,Chromewaves,217,No One's Gonna Love You,True
Ratatat,1415,gq27,38,JP's Blog,258,Shiller,True
Passion Pit,1803,v678,12,EARMILK,368,To Kingdom Come (Grum Vocal Mix),True
