loved,posted_count,loved_count,artist_index_mod,speechiness,loudness,tagsum,artist,title,sitename,mediaid,site_index_mod,tagsum_raw
TRUE,0.053811659,0.293016767,0,0,0.949238139,0.25,deadmau5,Some Chords (Original Mix),Intentional Independent Inspiration,11p39,0,2
TRUE,0.040358744,0.126161459,0.7,0,0.949238139,0.125,thewhitepanda,Drake & Diane (Drake // John Mellencamp),Silence Nogood,11px3,0.583333333,1
TRUE,0.031390135,0.240951804,1,0.050254,0.800271269,0.5,twodoorcinemaclub,"Eat That Up, It's Good For You",Indie Shuffle,11sem,0.47826087,4
TRUE,0.02690583,0.059619384,0,0.190141,0.724633499,0.375,daviddallas,Til Tomorrow,JayeL Audio Music,11whf,0,3
TRUE,0.013452915,0.097128267,0,0,0.949238139,0,bobasherroth,Fuck The Money,Hot Biscuits,11zec,0,0
TRUE,0.004484305,0.017635756,1,0.172805,0.807803301,0.625,outkast,Spottieottiedopaliscious,One A Day,120m5,0.75,5
TRUE,0,0.014161249,0,0.156701,0.774241025,0.25,atrak,O Let's Overdo It,First up!,12138,0,2
TRUE,0.004484305,0.058961333,1,0.100301,0.80200277,0.375,shwayze,Buzzin' (DJ Skeet Skeet & Cory Nitta Remix),Discobelle,121jz,1,3
TRUE,0,0.039719934,0,0,0.949238139,0,andre3000featnorahjones,Take off your cool,Avenge the Virgins,121k0,0,0
FALSE,0.00896861,0.00026322,0,0,0.949238139,0,emmylouharris,Millworker (James Taylor cover),Cover Lay Down,122mx,0,0
TRUE,0.040358744,0.149377484,0.7,0,0.949238139,0.125,thewhitepanda,The Next Starf*cker (Snoop & Dre meet Starfucker),Seattle in High Def,12bjt,0,1
TRUE,0.013452915,0.06504172,0,0.088265,0.79071915,0.375,ceelogreen,What Part Of Forever,the burning ear,12ewk,0,3
TRUE,0.004484305,0.087810271,0,0,0.949238139,0.25,drakecoldplay,"Forever La Vida (feat. Lil Wayne, Kanye West & Eminem)",Cause=Time,12gbs,0,2
TRUE,0.02690583,0.192124451,0.5,0,0.949238139,0,eminem,Love the Way You Lie (Feat. Rihanna),AWmusic,12gk7,1,0
TRUE,0.01793722,0.069990261,0,0,0.949238139,0.125,brandx,Chillin on the Plane L (M.I.A. x Wale x Lady Gaga),Vacay Wave,12gsj,0,1
TRUE,0.035874439,0.041404543,0,0,0.949238139,0,theophiluslondonvsvampireweekend,Give It Up Dad,CHROMEMUSIC,12hca,0,0
TRUE,0.031390135,0.127609171,1,0,0.949238139,0.375,oasis,Wonderwall (Questions Version),Pigeons and Planes,12kz0,0.75,3
TRUE,0,0.070095549,1,0,0.949238139,0.375,gangstarr,Work,Silence Nogood,12mkz,0.583333333,3
TRUE,0.080717489,0.093206286,0,0,0.949238139,0.125,fakeblood,I Think I Like It (Tommie Sunshine & Figure EC$TACY edit),Penned Madness,12nm7,0,1
TRUE,0.013452915,0.001395067,1,0.033679,0.649082304,0.625,keegandewitt,Hearts Beat Loud,guerolitomusic,13smw,0.5,5
TRUE,0.004484305,0.038166934,0,0,0.949238139,0.25,professorgreen,Just Be Good To Green (Joker Vocal Remix),Kick Kick Snare,13ymc,0,2
TRUE,0.004484305,0.018293806,0,0,0.949238139,0.5,wtf?!deadprez,It's Bigger Than Hip Hop (Sidney Samson Remix),earmilk,140t3,0,4
TRUE,0.00896861,0.032481377,0,0,0.949238139,0.25,poka,99 style,Delicieuse Musique,1410v,0,2
TRUE,0,0.090547761,0,0,0.949238139,0.375,timgunter,"Ghosts 'N Money feat. Deadmau5, Drake, Birdman and Lil Wayne",musical pairings @ eating/sf,14146,0,3
TRUE,0,0.018951857,0,0.042378,0.787054138,0.25,cassius, I 3 U So,Why FuKK When You Can Dance,143rp,0,2
TRUE,0.044843049,0.057434656,0,0,0.949238139,0,jayzvsthedapkings,99 Problems (Prince Ballard Royal Edit),Kick Kick Snare,14c8p,0,0
TRUE,0.004484305,0.032770919,1,0,0.949238139,0.875,waitwhat,i gotcha right moves (lupe fiasco vs. onerepublic),Sunset in the Rearview,14d3j,0.545454545,7
TRUE,0.00896861,0.070990498,1,0,0.949238139,0.875,waitwhat,got urself an electric gun (nas vs mgmt & justice),the burning ear,14fp8,0.777777778,7
TRUE,0.080717489,0.159406175,0,0,0.949238139,0.25,nasa,"Gifted feat. Kanye West, Santogold & Lykke Li",Audio Muffin,14zc9,0,2
TRUE,0.031390135,0.049195862,0,0,0.949238139,0.5,markronsonandthebusinessintl,The Bike Song (feat. Kyle Falconer & Spank Rock),AWmusic,15562,0,4
TRUE,0.179372197,0.361954147,0.4,0.033619,0.81752857,0.25,theknocks,Dancing With The Dj,SFCritic,15sj5,0.5,2
TRUE,0.02690583,0.203416599,0.7,0,0.949238139,0.125,thewhitepanda,Escape Day 'N' Nite (Kid Cudi // Tiesto),Silence Nogood,1621k,0.583333333,1
FALSE,0.085201794,0.167908189,0.4,0.30035,0.732309823,0,theknocks,Dancing With The DJ (Chiddy Bang Remix),Berkeley Place,1696z,0.5,0
TRUE,0.049327354,0.206864784,0,0.031718,0.371464851,0.375,cagetheelephant,Shake Me Down,Richmond Playlist,16hr5,0,3
TRUE,0.067264574,0.095917454,0,0.038787,0.592433337,0.125,galapaghost,Never Heard Nothin',the steely stylus,16nnm,0,1
TRUE,0.00896861,0.001447711,1,0,0.949238139,0.625,keegandewitt,Two Hearts (mp3),guerolitomusic,16s1w,0.5,5
TRUE,0.089686099,0.59443026,1,0,0.949238139,0.125,elliegoulding,Your Song (Blackmill Dubstep Remix),Silence Nogood,1753q,0.583333333,1
TRUE,0.071748879,0.249427496,0,0,0.949238139,0.125,skrillex,Cat Rats,aerial noise,176za,0,1
TRUE,0.313901345,0.690400358,0,0.031991,0.46404248,0.125,ofmonstersandmen,Little Talks,Meadow Music,179kx,0,1
TRUE,0.3632287,0.071964413,0,0,0.949238139,0,beachhouse,I Do Not Care For The Winter Sun,Chromewaves,17a3h,0,0
TRUE,0.00896861,0.197362533,0,0,0.949238139,0.125,afrojack,Replica (Daft Punk Vs. Yelle Vs. Katy Perry Vs. Bloc Party Vs. Major Lazer),This Bonus Track,17pca,0,1
TRUE,0,0.026085125,0,0.027189,0.762351379,0.25,hidetaketakayama,Sunset Song,Hilly Dilly,17pn7,0,2
TRUE,0.02690583,0.095917454,0.5,0.177321,0.732252107,0.125,hoodieallen,Dreams Up,The Smoking Section,18a02,0,1
TRUE,0.02690583,0.000500118,0,0,0.949238139,0.375,themoondoggies,Track 01,Austin Town Hall,18d25,0,3
TRUE,0.188340807,0.020373246,0,0.029389,0.717216899,0,odeath,Bugs,SUCKA PANTS,18kgj,0,0
TRUE,0.040358744,0.131557474,1,0.246728,0.800761861,0.5,lupefiasco,All Black Everything,Fuck yeah! Go team!,1993j,0,4
TRUE,0.040358744,0.001974152,1,0,0.949238139,0,thedevilwhale,9 Barracudas,The Wheel's Still In Spin,19ad0,0,0
TRUE,0.00896861,0.000579085,0,0,0.949238139,0.625,caitlinrose,Shanghai Cigarettes (LaundroMatinee.com session),My Old Kentucky Blog,19mrn,0,5
TRUE,0.139013453,0.008396726,1,0.033263,0.772422948,0.25,okkervilriver,Wake and Be Fine,Indie Rock Cafe,19p5w,1,2
FALSE,0.00896861,0.00026322,0,0,0.949238139,0.125,southeastengine,Adeline of the Applachian Mountains,Music Savage,1a055,0,1
TRUE,0.089686099,0.197546787,0.5,0,0.949238139,0.375,drake,Little Bit (feat. Lykke Li),Totally Twitterpated,1a4xq,0,3
TRUE,0.00896861,0.000552762,1,0.033263,0.772422948,0.25,okkervilriver,Wake And Be Fine,Salad Days Music,1a8tr,0,2
TRUE,0.044843049,0.001474033,0,0.0513,0.577859864,0.25,thefelicebrothers,Ponzi,The Key,1aajv,0,2
TRUE,0.058295964,0.320865468,1,0,0.949238139,0,xaphoonjones,The Jackson Pit,Oh My Rock,1ab7h,0.5,0
TRUE,0.01793722,0.242557448,0,0,0.949238139,0,ratatatvsmarvingaye,Ain't No Drugs High Enough The Jane Doze mashup),Cause=Time,1agk1,0,0
TRUE,0.022421525,0.114632413,0,0,0.949238139,0.375,fosterthepeople,Pumped Up Kicks (The Knocks Remix),the burning ear,1agyw,0.777777778,3
TRUE,0.035874439,0.002711168,0,0.045455,0.806014083,0,thosedarlins,Be Your Bro,Rollo & Grady,1aq2h,0,0
TRUE,0.013452915,0.001289779,0,0,0.949238139,0.25,jasonisbellthe400unit,Alabama Pines,ninebullets,1atc2,0,2
TRUE,0.00896861,0.07596536,0,0,0.949238139,0.125,theflavour,Sex on Fire ( Reggae Cover ),Schitz Popinov,1b0e2,0,1
TRUE,0.004484305,0.018951857,0,0,0.949238139,0.25,dfp,I want you Black-Dimitri From Paris super heavy funk brakes remix,La detente generale,1b63h,0,2
TRUE,0.02690583,0.007054302,1,0.026761,0.721285929,0.625,keegandewitt,Thunder Clatter,The Wounded Jukebox,1b7px,1,5
TRUE,0.058295964,0.001631965,0,0.033156,0.687175343,0.25,jolieholland,Gold and Yellow,This Is That Song,1b7zm,0,2
TRUE,0,7.90E-05,0,0.029459,0.616126053,0.25,richardbuckner,Traitor,Hyperbolium,1b90q,0,2
TRUE,0,0.000447474,0,0,0.949238139,0.125,anthonydacosta,Boots of Spanish Leather (Bob Dylan Cover),Cover Lay Down,1b93s,0,1
TRUE,0.053811659,0.594983022,1,0,0.949238139,0.375,kidcudi,Falling Star (R3K Remix),Indie Shuffle,1b9zx,0.47826087,3
TRUE,0,7.90E-05,0.5,0,0.949238139,0.25,jasonisbell,Psycho Killer (Talking Heads),Berkeley Place,1ba1n,0.5,2
TRUE,0,0.00013161,0.5,0,0.949238139,0.25,jasonisbell,Into the Mystic (Van Morrison),Berkeley Place,1ba1p,0.5,2
TRUE,0,7.90E-05,1,0.041269,0.682933164,0.375,ianmcferon,Good Morning (I'm Still Here),Richmond Playlist,1bbds,1,3
TRUE,0,0.000157932,1,0.031909,0.744834353,0.375,ianmcferon,Comfort In The Bottle,Richmond Playlist,1bbdw,1,3
TRUE,0,0.000184254,1,0.058128,0.620425949,0.375,ianmcferon,I'll Come Knockin',Richmond Playlist,1bbdx,1,3
TRUE,0.02690583,0.001474033,0,0.033745,0.753636154,0,theelected,Go For The Throat,Indie For Bunnies,1bbhp,0,0
TRUE,0.02690583,0.001131847,0.333333333,0.032284,0.496161838,0,williamelliottwhitmore,Everything Gets Gone,brooklynvegan,1bbvs,0,0
TRUE,0.004484305,0.087810271,0,0.131081,0.824858594,0.375,tinietempah,Till I'm Gone (Feat. Wiz Khalifa),First up!,1bc3v,0,3
FALSE,0,0.00013161,0,0,0.949238139,0.125,ryanadams,Dead Flowers (The Rolling Stones cover),Cover Me,1bdk7,0,1
