,artist,loved_count,mediaid,posted_count,sitename,time,title,loved
300,Arcade Fire,4772,8anb,71,Minored In Music,337,Wake Up,True
301,Phoenix,564,c520,4,AWmusic,221,One Time Too Many,True
302,Los Campesinos!,1022,e1e5,20,Gigantic,406,You! Me! Dancing!,True
303,Phoenix,1176,xfvr,4,EARMILK,247,1901 (Neon Steve Remix),True
304,Modest Mouse,7078,6ts0,30,The Music Ninja,208,Float On,True
305,Daft Punk,777,xfwv,1,ilictronix,344,Around the World (Sebastian Leger's Not To Be Released Remix),True
306,The Whitest Boy Alive,5818,p8k5,22,SLOANE RANGER,212,1517,True
307,Kanye West,25140,1cxw,23,Silence Nogood,315,Get Em High (Ratatat Remix),True
308,RJD2,940,t7ng,4,The MusicFile,297,Good Times Roll Pt 2,True
309,Birdman ft. Drake & Bun B,542,x834,1,First up!,252,Mo Milly (Feat. Drake And Bun B),True
310,Anya Marina,10389,x3p9,14,New Music Collaborative,229,Whatever You Like (T.I. Cover),True
311,Aesop Rock,3016,6k70,10,katarokkar,266,Daylight,True
312,Jay-Z/Danger Mouse,1500,s2er,6,Silence Nogood,267,What More Can I Say,True
313,dfp,720,1b63h,2,La detente generale,373,I want you Black-Dimitri From Paris super heavy funk brakes remix,True
314,Rhymefest,1266,45vm,3,Some Songs Considered,227,Build Me Up (Feat. O.D.B.),True
315,Uffie,1281,w5r0,6,First up!,159,Pop the Glock (Mirwais Pop Remix),True
316,Casiotone For The Painfully Alone,470,qymc,4,Monstrous Media!,210,Hot Boyz (W/ Dear Nora),True
317,Miike Snow,12103,qc6a,79,8106,264,Animal,True
318,Vampire Weekend,5854,w7d5,79,Chromewaves,208,Horchata,True
319,Justice,927,vc74,8,Vacay Wave,318,We Are Your Friends (Barretso Remix),True
320,Noah And The Whale,1828,mxq0,2,the OCMD,215,5 Years Time,True
321,Vampire Weekend,3363,kjm4,27,We All Want Someone To Shout For,243,Ottoman,True
322,KiD CuDi,1732,veq4,2,Tympanogram,236,"G.O.O.D. Music, Soundtrack 2 My Life",True
323,KiD CuDi ft. Ratatat,49,vkef,1,First up!,225,Pursuit of Happiness (Live Late Show with David Letterman 11th of September 2009),True
324,KiD CuDi,4511,vfb3,6,Indie Shuffle,227,"Up, Up, And Away (The Wake And Bake Song)",True
325,Justice,445,vm3w,2,tashed,362,Phantom Pt.2 (Freemasons Remix),True
326,La Roux,11606,yrgg,61,THE VINYL VILLAIN,303,In For The Kill (Skream's Let's Get Ravey Remix),True
327,Miike Snow,5274,t5nj,7,ilictronix,316,In Search Of,True
328,Kanye West,1589,vbyy,5,EARMILK,318,Flashing Lights (High Contrast Remix),True
329,Fly Gypsy,483,vbpt,2,surviving the golden age,289,Reasons (feat. Kanye West),True
330,Phoenix,2705,w1fs,9,Tunes I Dig,181,Everything Is Everything,True
331,Electric Wire Hustle,6169,w4d2,26,Beaver on the Beats,269,They Don't Want,True
332,Kinetic Stereokids,354,tn1m,4,Obscure Sound,277,Twisted Thoughts,True
333,Chromeo,1331,c53c,21,Trashbag Kids,269,Bonafied Lovin (YUKSEK remix),True
334,The Hood Internet,6072,r3xt,23,popgoestheradio,198,Good Ol' Fashion Rump Shaker (Beastie Boys vs Matt & Kim),True
335,DJTOPCAT,706,w0s9,3,Tastes Like Caramel,230,Paper heartbeats-88bpm (master),True
336,The Hood Internet,19650,rhqc,30,The Dadada Music Blog,215,Two Weeks Of Hip Hop (Dead Prez vs Grizzly Bear),True
337,Phoenix,5173,qmdh,22,Friends From Far,459,Love Like a Sunset,True
338,Miike Snow,4023,vz6m,19,Plain Or Pan?,221,Black & Blue,True
339,Discovery,5957,smgf,15,The Panic Manual,158,Swing Tree,True
340,Passion Pit,1800,v678,12,EARMILK,368,To Kingdom Come (Grum Vocal Mix),True
341,Peter Bjorn And John,6720,3m88,83,Indie Shuffle,276,Young Folks,True
342,The Bloody Beetroots,803,w0s1,1,KEEPREAL,261,Warping  is Awesome (TOMY's edit),True
343,John Mayer,2003,w0v7,6,Audio Muffin,180,Who Says,True
344,Ishivu,533,w0mw,3,amix music,267,New Clear Head,True
345,Jay-Z and Marvin Gaye,9421,vxyr,6,earmilk,260,Hello Brooklyn,True
346,"Mos Def, Jim Jones & Black Keys",331,vm5p,2,earmilk,202,Hoochie Coo,True
347,DJDT,479,r80g,2,FMLY,208,Killers Remix Dude!,True
348,Phoenix,13698,qp90,139,Ca Va Cool,198,1901,True
349,Xaphoon Jones,6605,vf8f,5,Songs to Save,293,"I Wanna Know Now (Bob Marley, MGMT)",True
350,Kid Cudi,5335,vq91,15,Sunset in the Rearview,267,Make Her Say (Sammy Bananas Remix),True
351,Kid Cudi,15386,vhfh,30,The New LoFi,295,Pursuit of Happiness (Feat. MGMT And Ratatat),True
352,Jay-Z,402,vaqp,2,earmilk,151,Hate f. Kanye West,True
353,Johnny Cash,546,9rbd,6,THE VINYL VILLAIN,233,One,True
354,"Drake Feat. Kanye West, Lil Wayne & Eminem",2418,v81m,8,Citizen Insane,359,Forever,True
355,Band Of Horses,8287,bfyh,51,Chromewaves,217,No One's Gonna Love You,True
356,Ratatat,1411,gq27,38,JP's Blog,258,Shiller,True
357,Obadiah Parker,1228,qbbg,9,CHROMEMUSIC,268,Hey Ya,True
358,Jay-Z,1409,vb36,1,earmilk,270,Already Home (feat. Kid Cudi),True
359,Chiddy Bang,15647,r6j7,49,SUCKA PANTS,193,Kids (Feat. MGMT),True
360,MGMT,423,trt6,1,Rollo & Grady,252,Hot Love Drama,True
361,Vampire Weekend,12814,q66h,28,Sunset in the Rearview,294,The Kids Don't Stand A Chance,True
362,Chester French,1502,td31,11,the burning ear,354,She Loves Everybody (Pance Party Remix),True
363,Ratatat,750,p8gq,6,The ill-ec-tro-nic,597,Mirando (Animal Collective remix),True
364,Eminem,1947,q92d,9,Squeegie,278,Crack A Bottle (DiscoTech Remix),True
365,The Bloody Beetroots,3782,t624,21,redthreat,153,4.AWESOME FEAT THE COOL KIDS,True
366,Santigold,1242,trz4,5,Et Musique Pour Tous,112,I'm a Lady (Benny Blanco Remix),True
367,Of Montreal,2462,ec8e,21,Music From Go to Whoa,231,Jimmy,True
368,Public Enemy,3782,tjvw,4,The Music Ninja,287,He Got Game,True
369,Ellie Goulding,16554,wqxb,32,The Music Ninja,199,Sleepyhead (feat. Starsmith) (Passion Pit Cover),True
370,The xx,3930,v434,24,Off the Radar,261,Shelter (Them Jeans Drum Edit),True
371,The Phenomenal Handclap Band,1018,ry1x,19,Tympanogram,254,Baby,True
372,The Spinto Band,975,2ywv,23,The Opening Acts,215,Oh Mandy,True
373,Super Mash Bros.,2635,qsy1,4,Mashup of the Week Podcast,117,I Fucking Bleed Purple And Gold,True
374,Miike Snow,523,v4va,2,the burning ear,525,Animal (Fred Falke Remix),True
375,Fever Ray,1118,p6r0,24,The 405,505,If I Had A Heart (Fuck Buttons Remix),True
376,Santogold,3678,j6kn,33,the culture of me,160,I'm A Lady (Diplo Mix Ft Amanda Blank),True
377,The Rolling Stones,950,9726,6,You Hear That?!?,284,Gimme Shelter,True
378,Pony Pony Run Run,1280,rbgk,11,Faronheit,193,Hey You,True
379,Deadmau5 & Kaskade,7979,rh43,18,ilictronix,335,I Remember (Radio Edit),True
380,Sufjan Stevens,4092,34d8,63,T S U R U R A D I O,363,Chicago,True
381,We Were Promised Jetpacks,2777,rram,31,The New LoFi,289,It's Thunder And It's Lightning,True
382,Pnau,12760,hcr9,42,Sunset in the Rearview,236,Baby (Breakbot Remix),True
383,Drake,7508,1a4xq,21,Totally Twitterpated,229,Little Bit (feat. Lykke Li),True
384,Diplo,872,ty42,2,djnodj,368,Young Folks (Diplo Youngest Folks Remix),True
385,Acid Girls,432,ty1e,2,the burning ear,219,Wake Up (feat. Frankmusik),True
386,Badly Drawn Boy,492,5q52,15,Music For Kids Who Can't Read Good,224,Once Around The Block,True
387,Belle & Sebastian,387,tzvn,4,Indie Rock Cafe,208,There's Too Much Love,True
388,Kings Of Convenience,558,tw2n,3,The Digital Outhouse,277,I Don't Know What I Can Save You From,True
389,Julian Plenti,156,tvpf,3,The Pigeon Post,227,Only If You Run,True
390,Arcade Fire,748,rb48,5,It All Started With Carbon Monoxide,99,Wake Up (alternate version),True
391,The Supremes,282,tw6k,2,FMLY,177,where did our love go? (quarterbar redo),True
392,Jay-Z & Beanie Sigel,2592,rhs4,5,djnodj,229,Glock Nines (Ratatat Remix),True
393,Deadmau5 vs 2livecrew,397,tg8y,3,Schitz Popinov,315,Moar Face (O-GOD edit),True
394,Boys Noize,3664,scx3,20,Salacious Sound,255,Jeffer,True
395,M83,3466,1cjz9,22,Indie Shuffle,303,We Own The Sky,True
396,Kings Of Convenience,1197,tefc,13,Pigeons and Planes,176,Mrs. Cold,True
397,Atlas Sound,654,texx,17,djnodj,239,Walkabout,True
398,Lou Reed,3360,5fwm,17,J(am) of the Day,253,Walk On The Wild Side,True
399,Matt & Kim,12768,mqap,84,Noonday Tune,171,Daylight,True
400,Wale,5818,t8q4,7,The Music Ninja,211,New Soul Feat. Yael Naim,True
401,Two Door Cinema Club,1317,r4gh,12,The Pop Cop,167,"Hands Off My Cash, Monty",True
402,Michael Jackson & Cookin' Soul,598,symq,1,Kickin' The Peanuts,182,I Want You Back feat. Lil Wayne,True
403,The Verve Vs. Jay-Z,8575,w7mw,12,A Pocket Full Of Seeds,304,Brush Your Bitter Sweet Shoulders Off,True
404,Passion Pit,8617,rkfh,66,Indie Shuffle,239,Little Secrets,True
405,Delorean,2234,ssda,32,All Things Go,279,Deli,True
406,Vampire Weekend,9115,mtkg,49,Dancing Astronaut,278,The Kids Don't Stand A Chance (Chromeo Remix),True
407,3oh!3 feat. KiD CuDi (Benny Blanco),849,t6xv,1,White Folks Get Crunk,197,Don't Trust Me (Remix) (Dirty),True
408,MSTRKRFT,12390,syn4,10,Indie Shuffle,194,Heartbreaker (feat. John Legend),True
409,Kid Cudi vs. The Postal Service,3864,10tpe,2,Muzjiks,275,Man On the Moon (Such Great Heights RMX),True
410,French Horn Rebellion,1258,sh97,10,POSTMUSIC,286,Beaches and Friends (Hey Champ Remix),True
411,Phoenix,2097,s486,27,The Indie Music Database,242,Lisztomania,True
412,Mylo,1399,gzpz,7,amix music,424,Paris Four Hundred (Etienne De Crécy Remix),True
413,Kid Cudi,4890,qe9q,19,Hejven,281,Dat New New (VIKING Remix),True
414,The Heavy,597,t7pw,7,omgdelicious!,184,Sixteen,True
415,The Drums,8096,stqx,123,Austin Town Hall,176,Let's Go Surfing,True
416,Yael Naim,3686,c26m,16,Bridging The Verse,225,New soul,True
417,Discovery,5109,rknb,40,music islands,242,Osaka Loop Line,True
418,Regina Spektor,115,t9ws,1,WeHeartMusic,214,Blue Lips,True
419,Daft Punk,1616,smtq,6,earmilk,322,Face to Face (Night Drugs Rework),True
420,The Knocks,775,skyq,10,Cities of the Plain,279,Can't Shake Your Love,True
421,MGMT,251,tb9n,1,The 405,225,Destrokk,True
422,N.A.S.A.,6057,14zc9,19,Audio Muffin,219,"Gifted feat. Kanye West, Santogold & Lykke Li",True
423,Passion Pit,4869,qxfq,62,The New LoFi,288,The Reeling,True
424,Alex Metric,307,t9ww,5,funkism,282,Shirley You Can't Be Serious,True
425,Kings Of Leon,3360,jgex,45,indie rocker revolution,204,Sex On Fire,True
426,Madvillain,1701,t9w2,14,Indie Shuffle,166,Money Folder (Four Tet Remix),True
427,MSTRKRFT feat. John Legend,11593,t97p,4,All Things Go,390,Heartbreaker (Wolfgang Gartner remix),True
428,Dan The Automator,525,t6f6,6,Sundtrak,311,Rapper's Delight (Van She Tech remix),True
429,Fleet Foxes,218,mswq,4,Misspeak Music,275,Mykonos,True
430,Michael Jackson,424,t6pv,1,Berkeley Place,241,Justice For Billie Jean (justice vs. michael jackson) DJ Schmolli,True
431,La Roux,357,t6a3,10,D SQUARED,333,Bulletproof (Larry Tee & Alexander Technique Blogula Remix),True
432,CJ Milli,88,ssqz,1,the burning ear,252,The People's Homecoming (Kanye,True
433,Super Mash Bros.,4681,syn9,1,FMLY,192,Livin The Dream (I'm On A Float),True
434,Passion Pit,2316,rtw7,7,melophobe,212,Let Your Love Grow Tall,True
435,Matt & Kim,757,ssy8,2,musical pairings @ eating/sf,227,Yeah Yeah (Flosstradamus Remix),True
436,Lights On,480,kt7a,6,5 Acts,261,John And Anne,True
437,White Lies,1717,jtsc,33,Indie Today,287,Death (Crystal Castles Remix),True
438,Röyksopp,3080,pdpr,28,JP's Blog,163,Happy Up Here,True
439,Wale,441,ssza,2,Berkeley Place,309,15 Rather Be With You (Vagina Is For Lovers) f. J Cole & Currensy (prod 9th Wonder),True
440,Metric,16196,1bp6,61,earmilk,320,Monster Hospital (MSTRKRFT Remix),True
441,Noisettes,3619,vdqj,15,Across The Kitchen Table,192,Never Forget You,True
442,Lupe Fiasco Feat. Matthew Santos,1291,sq55,1,Pigeons and Planes,275,Shining Down,True
443,Ra Ra Riot,2252,pg78,16,Berkeley Place,335,Ghost Under Rocks (Passion Pit Mix),True
444,Holy Fuck,1059,b6t2,45,djnodj,269,Lovely Allen,True
445,Generationals,6335,sk35,59,Austin Town Hall,200,"When They Fight, They Fight",True
446,Tatsu,106,spj8,1,We can be honest,147,Our House (prod HERBIE WEST),True
447,Phoenix,235,sphq,3,Harder Blogger Faster,210,Lisztomania (Star Guitar Remix),True
448,Florence + The Machine,10650,t5hf,27,Friends From Far,256,Cosmic Love,True
449,"Alphabeat, FrankMusik and Leon Jean-Marie",3379,hptp,20,Friends by Far,185,Digital Love,True
450,Sharam ft. KiD CuDi,216,srm4,5,Welikeit.indie,496,She Came Along (Reup Club),True
451,Discovery,3643,sqpk,40,Indieball,193,So Insane,True
452,Lemon Jelly,169,sqjv,1,Blog Rockin' Peet,439,His Majesty King Raam,True
453,Royksopp,505,ptrz,11,Mp3 Medication,328,Happy Up Here (Datassette Remix),True
454,Violent Femmes,2616,1faj,34,THE VINYL VILLAIN,145,Blister in the Sun,True
455,Phoenix,5513,rp9h,51,deepbeep,305,Lisztomania (Classixx Version),True
456,Saxon Shore,78,sq3a,2,Happy Days Are Here Again,396,Nothing Changes,True
457,Smashing Pumpkins,159,sqdg,1,Penned Madness,364,5B - 1979 (GlowTape!'s 2009 Remix),True
458,E-603,537,sr4e,4,The Animal Show,320,If You Wanna,True
459,Bedroom Walls,40,sps5,1,Knox Road,138,Somewhere In Newhall,True
460,The Gossip,180,sqnx,1,Mola Super Poco,256,For Keeps,True
461,The Flaming Lips,399,emqs,10,JP's Blog,399,Bohemian Rhapsody (Queen Cover),True
462,Grizzly Bear,9355,qp9f,118,said the gramophone,243,Two Weeks,True
463,Kings Of Leon vs Chew Fu,952,sqqv,1,White Folks Get Crunk,337,Use Somebody (CHEW FU Festival Fix),True
464,The Kills,1553,je9g,20,Friends by Far,352,Cheap and Cheerful (SebastiAn Remix),True
465,Santigold,847,sg2z,5,JayeL Audio Music,174,You'll Find A Way Player (feat. Andre 3000 & Bun B),True
466,Bloody Beetroots,128,spgz,1,KEEPREAL,317,Warp (Blaze Tripp Remix),True
467,The Knux,221,eq50,8,katarokkar,240,Cappuccino,True
468,Tatsu,76,spja,1,We can be honest,294,Semilla,True
469,E-603,1222,sr4g,1,The Animal Show,248,Hey Shorty,True
470,Phoenix,4258,be6z,16,JP's Blog,108,Playground Love (Air Cover),True
471,Frankmusik,1297,s8px,15,JayeL Audio Music,304,Confusion Girl (Don Diablo loves to slowdance remix),True
472,Frankmusik,672,n5pa,6,JayeL Audio Music,166,3 Little Words,True
473,Discovery,1137,smrx,12,This Bonus Track,187,Carby (Feat. Ezra Koenig of Vampire Weekend),True
