,artist,loved_count,mediaid,posted_count,sitename,time,title,loved
72,The Internet Music,3556,2c0ae,17,alltomorrowmusic,416,Girl feat. KAYTRANADA,True
73,COMPNY,1565,2bzm1,25,Little Indie Blogs,233,Gently Let You Down,True
74,Miguel feat. Wale,13442,239bn,8,Guilty Feet Have Got No Rhythm,314,Bennie and the Jets,True
75,Mitski,138,26mqp,13,Music Broke My Bones,205,Townie,True
76,Otis Redding,399,26eye,1,Yaqui,232,Sittin On The Dock Of The Bay (TEEMID Edit),True
77,In The Valley Below,4128,1rmtg,5,Indie Shuffle,287,Peaches,True
78,RÜFÜS / RÜFÜS DU SOL,6536,2c1vt,14,Audio Drums,239,You Were Right,True
79,"Kehlani, G-Eazy, IAMSU! and Lil B",2205,2bzxz,6,The Passion of the Weiss,235,Champion (Prod. by P-Lo),True
80,Eric Prydz,5897,1erev,5,One A Day,448,2Night (Original Mix),True
81,Neon Indian,17050,1ddwn,97,Vocododo,266,Polish Girl,True
82,Class Actress,2641,1e85t,43,Thought on Tracks,242,Weekend,True
83,Drake & Waka Flocka,1711,1e9hp,14,EARMILK,259,Round of Applause,True
84,Camo & Krooked,1964,1espe,3,AudioCred,250,Far Away,True
85,Peter and Kerry,2484,1espa,5,New Music Collaborative,220,Knees,True
86,The Rapture,3392,1epjs,18,Nashville Nights,388,How Deep Is Your Love (A-Trak Remix),True
87,Zeds Dead,20058,1e2kk,32,Muros de Absenta,184,Coffee Break,True
88,The Drums,2535,1e7j4,5,The Digital Outhouse,269,Days,True
89,"Nervo (Afrojack, Steve Aoki & Cheyenne Giles Edit)",5336,1dwf0,4,D SQUARED,436,We're All No One,True
90,Zeds Dead & Omar LinX,2361,1m1bd,9,White Folks Get Crunk,284,NO PRAYERS (KEYS N KRATES RMX),True
91,Mapei,25978,1zm6w,50,Faded Glamour,215,Don't Wait,True
92,Laidback Luke,3800,1kzfe,4,EARMILK,368,1234 Feat. Chuckie & Martin Solveig (Original Mix),True
93,Feist,788,1krzh,1,This Is That Song,281,Secret Heart,True
94,Kill Paris,4306,1ky0n,8,touchez francais,259,Keep Your Secrets in Midnight City,True
95,Ke$ha,1213,1gff0,9,Minneapolis Fucking Rocks,293,"Sleazy Remix 2.0 - Get Sleazier (feat. Lil Wayne, Wiz Khalifa, T.I. & André 3000)",True
96,Klangkarussell,14345,1jgv0,17,The Music Ninja,360,Sonnentanz,True
97,Charlotte Gainsbourg,1236,1g6nk,5,Faded Glamour,229,Out Of Touch,True
98,SkizTheRapper,693,1gght,7,The Jackplug,215,Shangri-La,True
99,Band of horses,389,bj2x,12,Draw Us Lines,189,the general specific,True
100,Dawes,165,10hkx,9,The Ruckus,246,When My Time Comes,True
101,Pretty Lights,4443,1m0jt,15,EARMILK,260,You Get High,True
102,Lupe Fiasco,2521,1g5hj,1,blahblahblahscience,406,"Super Cold (Raak Remix) (Feat. Ab-Liva, Asaad & Gilbere Forte)",True
103,the horrible crowes,1854,1g64b,1,The New LoFi,291,sugar,True
104,Young Jeezy,1649,1fz16,8,AudioCred,312,I Do (Featuring Jay-Z & Andre 3000 ) (No Tags),True
105,Odjbox,4507,1g60h,1,Music For Morons,190,Birmingham,True
106,Wale,4895,1ffz9,5,EARMILK,302,Ambition (feat. Meek Mill & Rick Ross),True
107,Saukrates,1879,1fg3p,2,The Music Ninja,170,Say I,True
108,The Roots,4073,1f5yf,37,AudioCred,272,Make My,True
109,LIPS,6403,1ffe4,10,EARMILK,244,Everything To Me (Adventure Club Dubstep Remix),True
110,Volta Bureau,2875,1etbs,8,Dancing Astronaut,300,Alley Cat,True
111,Madeon,3425,1f545,1,blahblahblahscience,104,Icarus,True
112,Hoodie Allen,2948,1d7tj,5,The Jackplug,196,Song For An Actress,True
113,Chromeo,3239,1dfpn,27,Et Musique Pour Tous,231,When the Night Falls (feat. Solange Knowles) (Mayer Hawthorne Cover),True
114,The Moondoggies,20,18d25,7,Austin Town Hall,164,Track 01,True
115,The Devil Whale,76,19ad0,10,The Wheel's Still In Spin,224,9 Barracudas,True
116,The Devil Whale,40,1bptt,11,Tough Customer // Wire,228,Standing Stones,True
117,William Elliott Whitmore,5,1berf,1,captain's dead,277,what u do,True
118,Those Darlins,104,1aq2h,9,Rollo & Grady,220,Be Your Bro,True
119,Howard Iceberg & The Titanics,1,1csa5,1,ninebullets,206,The Wrestler,True
120,Kid Cudi,22539,1b9zx,13,Indie Shuffle,164,Falling Star (R3K Remix),True
121,Galapaghost,3645,16nnm,16,the steely stylus,187,Never Heard Nothin',True
122,Chairlift,8374,kabk,49,The New LoFi,242,Bruises,True
123,Cage the Elephant,7853,16hr5,12,Richmond Playlist,212,Shake Me Down,True
124,Okkervil River,320,19p5w,32,Indie Rock Cafe,216,Wake and Be Fine,True
125,Jolie Holland,63,1b7zm,14,This Is That Song,197,Gold and Yellow,True
126,My Morning Jacket,98,yj17,4,Football and Music,182,Blue Moon,True
127,Friendly Fires,11980,ma8d,124,EARMILK,464,Paris (feat. Au Revoir Simone) (Aeroplane Remix),True
128,Ratatat,7808,4t74,43,TheMusic.FM,266,Seventeen Years,True
129,D.veloped,16128,1g7c9,12,djnodj,206,Bring Em Home (Edward Sharpe // T.I.),True
130,Richard Buckner,4,1b90q,1,Hyperbolium,138,Traitor,True
131,The Elected,57,1bbhp,7,Indie For Bunnies,232,Go For The Throat,True
132,William Elliott Whitmore,44,1bbvs,7,brooklynvegan,256,Everything Gets Gone,True
133,O'Death,774,18kgj,43,SUCKA PANTS,135,Bugs,True
134,Caitlin Rose,23,19mrn,3,My Old Kentucky Blog,198,Shanghai Cigarettes (LaundroMatinee.com session),True
135,Trampled By Turtles,1476,110ex,15,SUCKA PANTS,205,Wait So Long,True
136,Keegan DeWitt,56,16s1w,3,guerolitomusic,298,Two Hearts (mp3),True
137,Jason Isbell & The 400 Unit,50,1atc2,4,ninebullets,229,Alabama Pines,True
138,Ian McFeron,7,1bbdw,1,Richmond Playlist,210,Comfort In The Bottle,True
139,Hoodie Allen,3648,18a02,7,The Smoking Section,197,Dreams Up,True
140,Mark Ronson And The Business Intl,1869,15562,8,AWmusic,265,The Bike Song (feat. Kyle Falconer & Spank Rock),True
141,Okkervil River,22,1a8tr,3,Salad Days Music,206,Wake And Be Fine,True
142,Anthony Da Costa,18,1b93s,1,Cover Lay Down,336,Boots of Spanish Leather (Bob Dylan Cover),True
143,Keegan DeWitt,269,1b7px,7,The Wounded Jukebox,270,Thunder Clatter,True
144,The Felice Brothers,57,1aajv,11,The Key,305,Ponzi,True
145,Ian McFeron,8,1bbdx,1,Richmond Playlist,210,I'll Come Knockin',True
146,Tinie Tempah,3335,1bc3v,2,First up!,212,Till I'm Gone (Feat. Wiz Khalifa),True
147,Ian McFeron,4,1bbds,1,Richmond Playlist,171,Good Morning (I'm Still Here),True
148,Keegan DeWitt,54,13smw,4,guerolitomusic,287,Hearts Beat Loud,True
149,Jason Isbell,4,1ba1n,1,Berkeley Place,288,Psycho Killer (Talking Heads),True
150,Drive-By Truckers,14,vjep,2,Bottom of the Glass,302,Lookout Mountain,True
151,Jason Isbell,6,1ba1p,1,Berkeley Place,367,Into the Mystic (Van Morrison),True
152,The Flavour,2886,1b0e2,3,Schitz Popinov,176,Sex on Fire ( Reggae Cover ),True
153,The Heavy,3832,xbmh,11,"Safety, Fun & Learning",217,How You Like Me Now?,True
154,Lupe Fiasco,4997,1993j,10,Fuck yeah! Go team!,221,All Black Everything,True
155,Xaphoon Jones,12186,1ab7h,14,Oh My Rock,179,The Jackson Pit,True
156,Ratatat vs. Marvin Gaye,8067,1agk1,4,EARMILK,206,Ain't No Drugs High Enough The Jane Doze mashup),True
157,Afrojack,7499,17pca,3,This Bonus Track,480,Replica (Daft Punk Vs. Yelle Vs. Katy Perry Vs. Bloc Party Vs. Major Lazer),True
158,Of Monsters And Men,26215,179kx,71,Meadow Music,246,Little Talks,True
159,Foster The People,4356,1agyw,6,the burning ear,218,Pumped Up Kicks (The Knocks Remix),True
160,A-Trak,540,12138,1,First up!,220,O Let's Overdo It,True
161,David Dallas,2262,11whf,7,JayeL Audio Music,202,Til Tomorrow,True
162,Outkast,662,120m5,2,One A Day,359,Spottieottiedopaliscious,True
163,Shwayze,2240,121jz,2,Discobelle,237,Buzzin' (DJ Skeet Skeet & Cory Nitta Remix),True
164,Kings of Convenience,3304,tgsm,20,Delicieuse Musique,221,Boat Behind,True
165,Eminem,7295,12gk7,7,AWmusic,264,Love the Way You Lie (Feat. Rihanna),True
166,The White Panda,5657,12bjt,10,Seattle in High Def,170,The Next Starf*cker (Snoop & Dre meet Starfucker),True
167,Cee Lo Green,2472,12ewk,4,the burning ear,239,What Part Of Forever,True
168,Andre 3000 (Feat. Norah Jones),1510,121k0,1,Avenge the Virgins,157,Take off your cool,True
169,CocoRosie,420,hv6n,2,The New Montreal,181,Sunshine,True
170,Hidetake Takayama,993,17pn7,1,Hilly Dilly,340,Sunset Song,True
171,Beach House,2734,17a3h,82,Chromewaves,209,I Do Not Care For The Winter Sun,True
172,Ellie Goulding,22544,1753q,21,Silence Nogood,281,Your Song (Blackmill Dubstep Remix),True
173,Skrillex,9475,176za,17,aerial noise,305,Cat Rats,True
