,artist,loved_count,mediaid,posted_count,sitename,time,title,loved
312,Hoodie Allen,10875,1kbc4,6,This Bonus Track,201,No Faith In Brooklyn (Feat. Jhameel),False
313,Avicii feat. Salem Al Fakir,5845,1kbcn,3,EARMILK,392,Silhouettes (Original Vocal Mix),False
314,Amadou & Mariam,3038,1kbzc,6,the steely stylus,312,Je pense a toi,False
315,Felix Cartal,11523,1ksas,10,Chubby Beavers,201,Tonight (Original Mix) (feat. Maja Ivarsson from The Sounds),False
316,Greg Laswell,2387,1ks5y,1,POP ON AND ON,228,Come Back Down (feat. Sara Bareilles),False
317,Foster the People,3212,1kr1b,14,All Things Go,366,Don't Stop (Oliver Remix),False
318,Justice,5518,1eahn,34,Stoney Roads,271,Helix,False
319,Neon Indian,17050,1ddwn,97,Vocododo,266,Polish Girl,True
320,The White Panda,21365,1ebcm,14,Silence Nogood,234,Midnight Life (Kanye West vs. M83),False
321,T-Pain,4783,1e8a9,10,One A Day,281,5 O'clock (feat. Wiz Khalifa & Lily Allen),False
322,Chromeo,3239,1dfpn,27,Et Musique Pour Tous,231,When the Night Falls (feat. Solange Knowles) (Mayer Hawthorne Cover),True
323,Eric Prydz,5897,1erev,5,One A Day,448,2Night (Original Mix),True
324,J. Cole,3357,1egj6,9,Avenge the Virgins,190,Nobody's Perfect (feat. Missy Elliott),False
325,Santogold,3678,j6kn,33,the culture of me,160,I'm A Lady (Diplo Mix Ft Amanda Blank),False
326,YONAS,2543,1dw12,1,Sunset in the Rearview,229,I Need A Dollar,False
327,Florence + The Machine,7716,1dwev,13,blahblahblahscience,333,What The Water Gave Me,False
328,Ke$ha,1213,1gff0,9,Minneapolis Fucking Rocks,293,"Sleazy Remix 2.0 - Get Sleazier (feat. Lil Wayne, Wiz Khalifa, T.I. & André 3000)",True
329,Swedish House Mafia,8049,1jphx,4,EARMILK,411,Greyhound (Original Mix),False
330,the horrible crowes,1854,1g64b,1,The New LoFi,291,sugar,True
331,Wale,4895,1ffz9,5,EARMILK,302,Ambition (feat. Meek Mill & Rick Ross),True
332,Charlotte Gainsbourg,1236,1g6nk,5,Faded Glamour,229,Out Of Touch,True
333,Arion Dubstep,2112,1g5vx,1,Penned Madness,228,I'm Coming Home ( Diddy feat. Skylar Grey),False
334,Mashup-Germany,7740,1g7r0,7,Silence Nogood,245,Top of the Pops 2011 (What The Fuck),False
335,Birdy,6775,1fz31,13,The Morning After,309,1901 (Phoenix Cover),False
336,Mike Posner,4521,1g53y,8,Pick Up The Headphones,204,Looks Like Sex,False
337,Neko Case,11,1bgn6,1,Town Full of Losers,125,Misfire (Queen cover),False
338,Ryan Adams,7,1bem2,1,Largehearted Boy,319,Head Over Heels (Tears For Fears),False
339,Gym Class Heroes feat. Neon Hitch,4983,1gh6m,3,the burning ear,316,Ass Back Home (Black Cards Remix),False
340,The Rapture,3392,1epjs,18,Nashville Nights,388,How Deep Is Your Love (A-Trak Remix),True
341,Zeds Dead,20058,1e2kk,32,Muros de Absenta,184,Coffee Break,True
342,BASTILLE,15003,1fbqe,13,JayeL Audio Music,188,What Would You Do? (City High Cover),False
343,"Avicii,David Guetta,Special Features,Max'C,Pete Sweat",3639,1fg49,2,aerial noise,369,Avicii Ft Guetta - Sunshine Special Features ( Pete Sweat - I Found U In Sunshine ),False
344,Overnight Celebrity Thrill,4859,1f4xt,1,AudioCred,241,Wiz Khalifa feat. Twista & Kanye West,False
345,Jay-Z & Kanye West,3830,1f4am,10,Cougar Microbes,275,Niggas In Paris (feat. T.I.) (Remix),False
346,Volta Bureau,2875,1etbs,8,Dancing Astronaut,300,Alley Cat,True
347,Grouplove,9042,1f4xw,12,EARMILK,245,Colours (Xaphoon Jones Remix),False
348,Peter and Kerry,2484,1espa,5,New Music Collaborative,220,Knees,True
349,Drake & Waka Flocka,1711,1e9hp,14,EARMILK,259,Round of Applause,True
350,Howard Iceberg & The Titanics,1,1csa5,1,ninebullets,206,The Wrestler,True
351,David Guetta & Afrojack,5873,1dp5k,5,This Bonus Track,317,Lunar (Original Mix),False
352,The Devil Whale,40,1bptt,11,Tough Customer // Wire,228,Standing Stones,True
353,My Morning Jacket,10,1bx5q,1,Troubled Souls Unite,313,Movin Away (5.31.11),False
354,Ryan Adams,6,1bdkk,1,Cover Me,78,Caribbean Queen (Billy Ocean cover),False
355,William Elliott Whitmore,5,1berf,1,captain's dead,277,what u do,True
356,Caitlin Rose,14,1bxj3,4,Teenage Kicks,208,Faithless Love,False
357,Those Darlins,104,1aq2h,9,Rollo & Grady,220,Be Your Bro,True
358,William Elliott Whitmore,8,1berb,1,captain's dead,135,oh susanna,False
359,William Elliott Whitmore,4,1berc,1,captain's dead,182,diamond in my pocket,False
360,Ryan Adams,3,1bdkm,1,Cover Me,198,Brown Sugar (The Rolling Stones cover) (Band version),False
361,Joe Pug,4,1bdxz,1,Largehearted Boy,219,Speak Plainly Diana,False
362,Tinie Tempah,3335,1bc3v,2,First up!,212,Till I'm Gone (Feat. Wiz Khalifa),True
363,Ian McFeron,4,1bbds,1,Richmond Playlist,171,Good Morning (I'm Still Here),True
364,Ryan Adams,6,1bdk7,1,Cover Me,639,Dead Flowers (The Rolling Stones cover),False
365,William Elliott Whitmore,1,1bera,1,captain's dead,100,run johnny run,False
366,SebastiAn,1349,1bdm3,6,FYaCity,175,C.T.F.O. (feat. M.I.A),False
367,Santah,55,1awtf,4,Obscure Sound,267,White Noise Bed,False
368,Emmylou Harris,11,122mx,3,Cover Lay Down,245,Millworker (James Taylor cover),False
369,Townes Van Zandt,19,qdje,3,Carnival Saloon,196,To Live Is To Fly,False
370,Ian McFeron,8,1bbdx,1,Richmond Playlist,210,I'll Come Knockin',True
371,Keegan DeWitt,269,1b7px,7,The Wounded Jukebox,270,Thunder Clatter,True
372,Anthony Da Costa,18,1b93s,1,Cover Lay Down,336,Boots of Spanish Leather (Bob Dylan Cover),True
373,Ian McFeron,7,1bbdw,1,Richmond Playlist,210,Comfort In The Bottle,True
374,Jason Isbell & The 400 Unit,50,1atc2,4,ninebullets,229,Alabama Pines,True
375,O'Death,774,18kgj,43,SUCKA PANTS,135,Bugs,True
376,Keegan DeWitt,56,16s1w,3,guerolitomusic,298,Two Hearts (mp3),True
377,Ryan Adams,6,1bdk6,1,Cover Me,382,Lovesick Blues (Hank Williams cover),False
378,Ryan Adams,3,1bdkc,1,Cover Me,321,Sin City (The Flying Burrito Brothers cover),False
379,Southeast Engine,11,1a055,3,Music Savage,307,Adeline of the Applachian Mountains,False
380,William Elliott Whitmore,44,1bbvs,7,brooklynvegan,256,Everything Gets Gone,True
381,Caitlin Rose,23,19mrn,3,My Old Kentucky Blog,198,Shanghai Cigarettes (LaundroMatinee.com session),True
382,The Elected,57,1bbhp,7,Indie For Bunnies,232,Go For The Throat,True
383,Richard Buckner,4,1b90q,1,Hyperbolium,138,Traitor,True
384,Dawes,165,10hkx,9,The Ruckus,246,When My Time Comes,True
385,Band of horses,389,bj2x,12,Draw Us Lines,189,the general specific,True
386,The Devil Whale,76,19ad0,10,The Wheel's Still In Spin,224,9 Barracudas,True
387,The Moondoggies,20,18d25,7,Austin Town Hall,164,Track 01,True
388,William Elliott Whitmore,9,1berk,1,captain's dead,269,shotgun,False
389,Jason Isbell,4,1bemj,1,Berkeley Place,382,Hey Pocky Way (The Meters),False
390,Virginia Dare,6,1bdww,1,For The Sake Of The Song,225,How Does It Feel,False
391,Ryan Adams,3,1bdjx,1,Cover Me,231,Saturday Night Special (Lynyrd Skynyrd cover),False
392,Ryan Adams,15,1bdk4,1,Cover Me,194,Dead Leaves and Dirty Ground (The White Stripes cover),False
393,Ryan Adams,13,1bdke,1,Cover Me,108,Asleep (The Smiths cover),False
394,Okkervil River,87,1adc0,9,Heartache with Hard Work,265,Rider,False
395,Ryan Adams,7,1bdkb,1,Cover Me,407,Rocket Man (Elton John cover),False
396,Caitlin Rose,10,197sq,2,Largehearted Boy,131,Marie (Randy Newman),False
397,Jason Isbell,7,1bemh,1,Berkeley Place,365,Atlantic City (Springsteen),False
398,Jon Langford,11,1b7qh,6,Berkeley Place,257,Sentimental Marching Song,False
399,The Elected,6,1aavz,1,Everybody Taste,239,Go For The Throat,False
400,Peter Case,6,1achw,4,Largehearted Boy,246,Round Trip Stranger Blues,False
401,Monsters Of Folk,339,vmm7,13,surviving the golden age,174,Baby Boomer,False
402,Ryan Adams,9,1bdjd,3,Largehearted Boy,382,Expressway To Yr Skull %,False
403,Ryan Adams,40,tbe2,4,Cover Me,222,Like A Virgin (Madonna Cover),False
404,Ryan Adams,17,1bdjm,2,Fuzzy Logic,219,Sweet Home Alabama,False
405,Ryan Adams,12,1bdjc,1,Cover Me,123,Last Nite (The Strokes cover) (Solo Version),False
406,Ian McFeron,5,1bbdt,1,Richmond Playlist,243,Anna Behind The Veil,False
407,Ian McFeron,12,1bbdv,1,Richmond Playlist,316,Summer Nights,False
408,Ryan Adams,16,1bdjq,1,Cover Me,401,Helpless (Neil Young cover),False
409,Jeffrey Foucault,28,1bd94,4,Slowcoustic,293,Goners Most,False
410,Ryan Adams,9,1bdk5,1,Cover Me,441,A Song for You (Gram Parsons cover),False
411,Ryan Adams,6,1bdjp,1,Cover Me,402,Stella Blue (The Grateful Dead cover),False
412,Ryan Adams,3,1bdjv,1,Cover Me,195,You're Still on My Mind (Luke McDaniel cover),False
413,The Elected,141,1aasq,15,The Wheel's Still In Spin,212,Babyface,False
414,Ryan Adams,4,1bdjs,1,Cover Me,294,Hickory Wind (The Byrds cover),False
415,Ryan Adams,6,1bdjg,1,Cover Me,529,Come Down Easy (Spacemen 3 cover),False
416,Elliott BROOD,317,1b4px,17,Chromewaves,303,Northern Air,False
417,Richard Buckner,62,1b57r,22,My Aimz is True,313,Traitor,False
418,Ryan Adams,12,1bdjz,1,Cover Me,204,I Still Miss Someone (Johnny Cash cover),False
419,Ryan Adams,3,1bdka,1,Cover Me,171,Last Nite (The Strokes cover) (Band Version),False
420,Okkervil River,84,1bdj5,5,Captain Obvious,231,The Valley,False
421,Ryan Adams,13,1bdk2,1,Cover Me,280,Sweetest Decline (Beth Orton cover),False
422,Ryan Adams,4,1bdjt,1,Cover Me,245,Bitch (The Rolling Stones cover),False
423,The Moondoggies,166,17zay,19,The Music Ninja,349,What Took So Long,False
424,Ryan Adams,7,1bdjr,1,Cover Me,363,Wharf Rat (Grateful Dead cover),False
425,Ryan Adams,7,a1n6,2,Popdose,154,Two,False
426,Ryan Adams,3,1bdk0,1,Cover Me,495,Brown Sugar (The Rolling Stones cover) (Solo version),False
427,Ryan Adams,6,1bdjk,1,Cover Me,147,Disco Duck Rap (Rick Dees and His Cast of Idiots cover),False
428,My Morning Jacket,29,1bd4p,1,Berkeley Place,365,Careless Whisper (Wham!),False
429,Jason Isbell,4,1ba1q,1,Berkeley Place,195,Only Daddy That'll Walk the Line (Waylon Jennings cover) (Mike Dillon on vocals),False
430,Alejandro Escovedo,3,1b8v4,1,Largehearted Boy,446,Like A Hurricane,False
431,Pusha T,1057,1a63q,3,earmilk,183,Open Your Eyes,False
432,My Morning Jacket,3932,1akfa,70,Shelter From the Norm,439,Circuital,False
433,Ryan Adams,8,1b8vc,1,Largehearted Boy,119,Nervous Breakdown (Black Flag),False
434,Anthony Da Costa,5,1b93v,1,Cover Lay Down,310,I'm Looking Through You (Beatles cover),False
435,Okkervil River,423,1a8rj,42,Chromewaves,206,Wake and Be Fine,False
436,My Morning Jacket,200,1bbhr,6,Chromewaves,228,1373 Holdin On To Black Metal (Radio Edit),False
437,Emalkay,895,1b5pj,2,embee music,291,Fabrication (Extended Mix),False
438,Childish Gambino,18970,190q4,30,EARMILK,215,Freaks & Geeks,False
439,Austra,12527,18bt7,102,Audio Drums,270,Lose It,False
440,Jai Paul,10009,108jg,64,music is art,211,BTSTU,False
441,D.veloped,16128,1g7c9,12,djnodj,206,Bring Em Home (Edward Sharpe // T.I.),True
442,Afrojack,850,1b6qs,1,earmilk,259,Prututa,False
443,Alex Winston,1700,18c30,15,EARMILK,220,Locomotive,False
444,Benjamin Francis Leftwich,2420,14wvc,19,ShinyShinyNew,197,When You Were Young,False
445,Metric,12812,rppc,30,Off the Radar,263,Help I'm Alive (The Twelves Remix),False
446,Robyn,6499,19jvd,21,From a High Horse,296,Call Your Girlfriend (Feed Me Remix),False
447,Drive-By Truckers,14,vjep,2,Bottom of the Glass,302,Lookout Mountain,True
448,Okkervil River,320,19p5w,32,Indie Rock Cafe,216,Wake and Be Fine,True
449,Keegan DeWitt,54,13smw,4,guerolitomusic,287,Hearts Beat Loud,True
450,My Morning Jacket,98,yj17,4,Football and Music,182,Blue Moon,True
451,Jolie Holland,63,1b7zm,14,This Is That Song,197,Gold and Yellow,True
452,Friendly Fires,11980,ma8d,124,EARMILK,464,Paris (feat. Au Revoir Simone) (Aeroplane Remix),True
453,Calvin Harris,11077,1b5g1,16,JayeL Audio Music,184,Bounce (feat. Kelis),False
454,Body Language,4332,19dre,22,Caveman Sound,319,Social Studies (Plastic Plates Remix),False
455,Bon Iver,6600,d6gc,51,Shelter From the Norm,401,Re: Stacks,False
456,Boy & Bear,4929,w0q8,28,The Dadada Music Blog,187,Mexican Mavis,False
457,The Dean's List,8803,1af10,10,Become Your Drum,153,Dear Professor,False
458,Jason Isbell,6,1ba1p,1,Berkeley Place,367,Into the Mystic (Van Morrison),True
459,Deadmau5,1850,1baxw,1,Vacay Wave,443,Maths,False
460,Avicii ft. Salem Al Fakir,7086,1h189,3,Salacious Sound,358,Silhouettes (Original Mix),False
461,Martin Solveig feat. Dragonette,17915,158kj,19,Audio Drums,282,Hello (Original Mix),False
462,Big Sean,2646,1b93h,5,Avenge the Virgins,217,I Do It,False
463,Ellie Goulding,9973,1b9aq,9,aerial noise,269,Heartbeats (Cosmonaut Grechko edit),False
464,The Catalina Rhyme Mixers,3722,1b8y2,3,Sunset in the Rearview,223,Nasa Drugs (Kanye West // Wale // Ratatat),False
465,Justice,1770,1afzn,3,I Love This Beat,304,Civilization (Neon Stereo Private Bootleg),False
466,Foster The People,13146,1ba33,39,Lautstark,241,Call It What You Want,False
467,Ellie Goulding,7356,x1v7,13,earmilk,282,Under The Sheets (Baby Monster Remix),False
468,e-dubble,3264,1b89w,4,This Bonus Track,320,Changed My Mind,False
469,Afrojack & R3hab,2310,1b6d9,2,Sheena Beaston,360,Aces High Prutata (Original Mix),False
470,Divide & Kreate,7300,18vtm,6,Oh My Rock,201,Crazy in the deep (Adele vs Gnarles Barkley),False
471,Eminem,6641,1b0s0,1,This Bonus Track,217,"A Drop In The Ocean (feat. Kanye West, Wiz Khalifa & Ron Pope)",False
472,Al Bizzare,4290,1b24j,1,Vacay Wave,285,Fresh Scream,False
473,Ayah Marar,1890,1a9z9,2,earmilk,222,Follow You (YOGI REMIX),False
474,Avicii,24371,1b6a2,29,Seattle in High Def,334,Levels (Original Mix),False
475,Band Of Horses,14322,19qx6,15,Et Musique Pour Tous,305,The Funeral (Butch Clancy Remix),False
476,Afrojack,4449,1b4ry,4,gottadancedirty,324,Pop On Acid,False
477,Amadou & Mariam,12320,1789c,31,djnodj,353,Sabali (Miike Snow Remix),False
478,Sleigh Bells,10369,124sg,63,EARMILK,230,Rill Rill,False
479,Ellie Goulding,22544,1753q,21,Silence Nogood,281,Your Song (Blackmill Dubstep Remix),True
480,The Black Keys,22226,10k0q,94,Indie Shuffle,210,Tighten Up,True
481,Arcade Fire,10860,13n5s,74,JP's Blog,326,Sprawl II (Mountains Beyond Mountains),False
482,Lupe Fiasco,23793,15xt6,28,No Genre,240,The Show Goes On,False
483,Bright Eyes,3681,17hp9,64,music is art,236,Shell Games,False
484,Caribou,16603,z73x,192,Le Limonadier,315,Odessa,False
485,Broken Bells,19010,y7dr,124,Delicieuse Musique,232,The High Road,False
486,Skrillex,4557,15wcb,14,I Love This Beat,204,Scary Monsters And Nice Sprites (Noisia Remix),False
487,BRITNEY SPEARS,1818,1ahex,2,Nashville Nights,227,Till the World Ends ( Bloody Beetroots Rmx ),False
488,California Wives,3084,19k2h,34,The Panic Manual,246,Tokyo,False
489,Red Hot Chili Peppers,6520,1aa3b,6,EARMILK,265,Can't Stop (Love & Light Dubstep Remix),False
490,Wolfgang Gartner feat. Will.I.Am,3181,1ahcr,6,The Wet Blog,220,Forever (Radio Edit),False
491,Avicii vs. Morgan Page and Lissie,9164,18cmr,5,EARMILK,431,The Longest Bromance (Iacabone Edit),False
492,Beastie Boys,6692,1aez0,63,The Dadada Music Blog,210,Make Some Noise,False
493,James Vincent McMorrow,13239,1ae4f,35,2 U I Bestow,205,We Don't Eat (Adventure Club Dubstep Remix),False
494,Of Monsters And Men,26215,179kx,71,Meadow Music,246,Little Talks,True
495,Xaphoon Jones,12186,1ab7h,14,Oh My Rock,179,The Jackson Pit,True
496,Foster The People,18433,zwnr,77,Golden Bloggen,253,Pumped Up Kicks,False
497,Dr. Dre,5569,18jdc,3,Music-mashs Blog,284,I Need a Doctor (feat. Eminem),False
498,Afrojack,7499,17pca,3,This Bonus Track,480,Replica (Daft Punk Vs. Yelle Vs. Katy Perry Vs. Bloc Party Vs. Major Lazer),True
499,Toro Y Moi,9767,17610,144,frenchysymphony,270,Still Sound,False
500,Cults,20102,102c2,224,Music For Ants,202,Go Outside,False
501,Wiz Khalifa,880,17pk5,1,the culture of me,221,This Plane (Sound Remedy remix),False
502,Hidetake Takayama,993,17pn7,1,Hilly Dilly,340,Sunset Song,True
503,Röyksopp,2931,pr7d,35,FYaCity,332,Happy Up Here (Boys Noize Remix),False
504,Zeds Dead,7337,12ec5,21,Silence Nogood,271,White Satin,False
505,The Tallest Man On Earth,6738,z7wd,117,Star Maker Machine,206,King of Spain,True
506,Robyn,12395,11aym,60,Listen Before You Buy,291,Dancing On My Own,False
507,Clockwork,1622,10gjx,5,surviving the golden age,241,Office Musik (Dwight K. Schrute vs Weezy F. Baby),False
508,Chiddy Bang,3205,155za,2,Silence Nogood,177,The Good Life (Prod. Pharrell Williams),False
509,The White Panda,7701,1621k,7,Silence Nogood,172,Escape Day 'N' Nite (Kid Cudi // Tiesto),True
510,iSquare,7240,15v9c,10,The World Forgot,324,HEY SEXY LADY (SKRILLEX REMIX),False
511,Gorillaz,2077,17nvy,10,earmilk,206,Revolving Doors,False
512,Cee-Lo Green,17482,1618f,67,Another Dying Art Form,225,Fuck You,False
513,Lady Gaga,2407,11x0p,5,Ants in My Trance,377,Alejandro (Skrillex Club Mix),False
514,Skrillex,8822,162dq,15,Friends From Far,297,Kill Everybody (Original Mix),False
515,Zimmer,1972,2c369,11,umstrum||music,256,Heartbreak Reputation (feat. Polina),False
516,Meek Mill,1437,2c3b0,1,House of Lords,199,R.I.C.O feat. Drake,False
517,flor,2296,2c135,11,Indietronica,246,warm blood,False
518,Atlas Genius,1801,2c0ff,6,Inthejunkyardmusic,249,Molecules,False
519,Robyn,3729,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),False
520,GIBBZmusic,1030,2c12f,15,CLICK AND LISTEN IT,211,I Found You,False
521,KAPTAN,1695,2c05m,16,The Burning Ear,242,Anywhere We Go,False
522,Oh Wonder,5698,2c48m,17,The New LoFi,208,Landslide,False
523,Klyne,6135,2c09d,21,Oh My Rock,187,Paralyzed,True
524,Dillon Francis,2752,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),False
525,The Knocks,13736,15sj5,41,SFCritic,239,Dancing With The Dj,True
526,The Knocks,1942,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),True
527,PHFAT & Al Bairre,210,2c3hh,1,Indie Shuffle,211,Caviar Dreams,False
528,pools,384,2a90h,3,Delicieuse Musique,129,☕ coffee in the morning ☕,False
529,Toro y Moi,463,2c2fa,16,Noonday Tune,93,That Instead of This,False
530,I'lls,685,2c1kb,15,ilovepie,246,Keep,False
531,Doe Paoro,486,2b8vq,8,Northern Transmissions,246,The Wind (feat. Adam Rhodes),False
532,Lawrence Taylor,3505,2bw9n,7,EUPHORIA. Magazine,184,Bang Bang,False
533,One T & Cool T,904,2bxam,5,Silence Nogood,232,The Magic Key (LeMarquis & FAB Remix),False
534,Amen Dunes,871,22ksd,47,Fuzzy Logic,319,Lonely Richard,False
535,Tame Impala,4703,23383,54,Silence Nogood,274,Stranger In Moscow(( MJ cover)),True
536,Crooked Colours,4364,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),True
537,ZEDD feat. Selena Gomez,1315,2bxcb,3,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),False
538,Wolf Alice,2690,2asey,40,Turntable Kitchen,225,Bros,False
539,Panda Bear,704,2c1g8,15,surviving the golden age,211,Crosswords (Pete Rock Remix),False
540,Wavves X Cloud Nothings,299,2c321,12,Noonday Tune,200,No Life For Me,False
541,Michael Calfan,1110,2c14y,6,Inyourspeakers Media,254,Mercy (Original Mix),False
542,BAILE,1429,2c09y,9,CLICK AND LISTEN IT,296,Matter (feat. Felicia Douglass),False
543,Robyn,1420,2c3ac,5,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix),True
544,Toro y Moi,1099,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,True
545,Ty Dolla $ign,1794,2c24a,11,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,False
546,FETTY WAP,1214,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,True
547,A$AP Rocky,3923,2c367,2,Dancing Astronaut,292,LSD (Shemce Remix),False
548,Alesso,3312,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),True
549,Tame Impala,962,2ahss,1,Indie Shuffle,243,Cause I'm A Man,False
550,Black Rebel Motorcycle Club,2666,zjt7,34,Shelter From the Norm,226,Beat The Devil's Tattoo,False
551,The Besnard Lakes,604,yqkf,110,scruffy the yak,282,Albatross,False
552,RL Grime,3547,25hg1,14,buffaBLOG,237,Core,False
553,Gallant,5944,2c3pf,28,Anotherwhiskyformisterbukowski,204,Weight In Gold,True
554,Jack Garratt,4317,2c3mc,25,chillsoundsgoodmusic,225,Weathered,True
555,Zimmer,1972,2c369,11,umstrum||music,256,Heartbreak Reputation (feat. Polina),False
556,Meek Mill,1437,2c3b0,1,House of Lords,199,R.I.C.O feat. Drake,False
557,flor,2296,2c135,11,Indietronica,246,warm blood,False
558,Atlas Genius,1801,2c0ff,6,Inthejunkyardmusic,249,Molecules,False
559,Robyn,3729,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),False
560,GIBBZmusic,1030,2c12f,15,CLICK AND LISTEN IT,211,I Found You,False
561,KAPTAN,1695,2c05m,16,The Burning Ear,242,Anywhere We Go,False
562,Oh Wonder,5698,2c48m,17,The New LoFi,208,Landslide,False
563,Klyne,6135,2c09d,21,Oh My Rock,187,Paralyzed,True
564,Dillon Francis,2752,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),False
565,The Knocks,13736,15sj5,41,SFCritic,239,Dancing With The Dj,True
566,The Knocks,1942,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),True
567,PHFAT & Al Bairre,210,2c3hh,1,Indie Shuffle,211,Caviar Dreams,False
568,pools,384,2a90h,3,Delicieuse Musique,129,☕ coffee in the morning ☕,False
569,Toro y Moi,463,2c2fa,16,Noonday Tune,93,That Instead of This,False
570,I'lls,685,2c1kb,15,ilovepie,246,Keep,False
571,Doe Paoro,486,2b8vq,8,Northern Transmissions,246,The Wind (feat. Adam Rhodes),False
572,Lawrence Taylor,3505,2bw9n,7,EUPHORIA. Magazine,184,Bang Bang,False
573,One T & Cool T,904,2bxam,5,Silence Nogood,232,The Magic Key (LeMarquis & FAB Remix),False
574,Amen Dunes,871,22ksd,47,Fuzzy Logic,319,Lonely Richard,False
575,Tame Impala,4703,23383,54,Silence Nogood,274,Stranger In Moscow(( MJ cover)),True
576,Crooked Colours,4364,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),True
577,ZEDD feat. Selena Gomez,1315,2bxcb,3,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),False
578,Wolf Alice,2690,2asey,40,Turntable Kitchen,225,Bros,False
579,Panda Bear,704,2c1g8,15,surviving the golden age,211,Crosswords (Pete Rock Remix),False
580,Wavves X Cloud Nothings,299,2c321,12,Noonday Tune,200,No Life For Me,False
581,Michael Calfan,1110,2c14y,6,Inyourspeakers Media,254,Mercy (Original Mix),False
582,BAILE,1429,2c09y,9,CLICK AND LISTEN IT,296,Matter (feat. Felicia Douglass),False
583,Robyn,1420,2c3ac,5,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix),True
584,Toro y Moi,1099,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,True
585,Ty Dolla $ign,1794,2c24a,11,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,False
586,FETTY WAP,1214,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,True
587,A$AP Rocky,3923,2c367,2,Dancing Astronaut,292,LSD (Shemce Remix),False
588,Alesso,3312,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),True
589,Tame Impala,962,2ahss,1,Indie Shuffle,243,Cause I'm A Man,False
590,Black Rebel Motorcycle Club,2666,zjt7,34,Shelter From the Norm,226,Beat The Devil's Tattoo,False
591,The Besnard Lakes,604,yqkf,110,scruffy the yak,282,Albatross,False
592,RL Grime,3547,25hg1,14,buffaBLOG,237,Core,False
593,Gallant,5944,2c3pf,28,Anotherwhiskyformisterbukowski,204,Weight In Gold,True
594,Jack Garratt,4317,2c3mc,25,chillsoundsgoodmusic,225,Weathered,True
595,Matrimony,2323,29gay,9,Audio Aquarium,260,Giant (Ghosts Remix),False
596,Real Estate,1060,21rvk,38,Fuzzy Logic,192,Talking Backwards,True
597,Natalie Prass,732,27cmn,24,The Swollen Fox,213,Why Don't You Believe In Me,False
598,Father John Misty,1490,27msa,44,2 U I Bestow,262,Bored In The USA,True
599,Hibou,2006,2bmqa,22,barrygruff,259,Dissolve,True
600,Billy Bragg & Wilco,1093,30xf,27,Across The Kitchen Table,298,California Stars,True
601,Blitzen Trapper,2888,k47r,64,scruffy the yak,209,Black River Killer,False
602,Damien Jurado,2019,20jv6,38,The Swollen Fox,198,Silver Timothy,False
603,Lana Del Rey,4425,2b5c3,3,Oh My Rock,277,Born To Die (Absence Remix),True
604,Metric,2324,v55s,9,i (heart) music,187,Don't Think Twice It's Alright (Bob Dylan Cover),True
605,Tame Impala,700,2atnn,4,barrygruff,247,Cause I'm a Man,False
606,Unknown Mortal Orchestra,518,2aade,8,Cause=Time,192,Multi-Love (20syl Remix),False
607,Sinkane,1891,24y1z,31,JayeL Audio Music,197,Hold Tight,False
608,Unknown Mortal Orchestra,7944,29adb,84,umstrum||music,251,Multi-Love,False
609,Temples,1441,20jvd,49,We All Want Someone To Shout For,222,Mesmerise,False
610,Tame Impala,12229,2a1mf,87,The Swollen Fox,469,Let It Happen,False
611,Unknown Mortal Orchestra,3887,2avcn,65,Too Many Blogs,257,Can't Keep Checking My Phone,False
612,Blue Hawaii,1467,27ams,15,What Else Is There?,264,Get Happy,False
613,Cheers Elephant,5361,2bfxf,10,EUPHORIA. Magazine,212,Airliner,True
614,Major Lazer,10138,227j1,23,Maddecent,182,Aerosol Can (feat. Pharrell Williams),True
615,The Knocks,21782,25xk6,27,SFCritic,249,Classic (feat. Powers),True
616,Oliver,8614,26gx7,13,JayeL Audio Music,344,Light Years Away,False
617,Chet Faker,2614,2bwyg,22,HEY,206,Bend,False
618,Skylar Spence,1316,2bwjt,27,Felinno,246,Can't You See,False
