,artist,loved_count,mediaid,posted_count,sitename,time,title,loved
60,The Knocks,21782,25xk6,27,SFCritic,249,Classic (feat. Powers),True
61,Oliver,8614,26gx7,13,JayeL Audio Music,344,Light Years Away,False
62,Chet Faker,2614,2bwyg,22,HEY,206,Bend,False
63,Skylar Spence,1316,2bwjt,27,Felinno,246,Can't You See,False
64,Toro y Moi,1368,2btxp,8,acid stag,145,room for 1zone,False
65,Cayucas,744,2b1kk,27,Indie is not a genre,218,Moony Eyed Walrus,True
66,Ducktails,1372,2b5et,30,newmusic.cz,214,Headbanging In The Mirror,True
67,Lapalux,3549,29q40,25,music is art,349,Don't Mean A Thing,False
68,Vaults,1538,27nrm,12,Little Indie Blogs,204,Poison,False
69,Toro Y Moi,1801,28ykp,43,KEXP Blog,222,Empty Nesters,False
70,ON AN ON,1463,2bnef,8,The Burning Ear,227,It's Not Over (The Twelves Remix),False
71,Lower Dens,1994,1hcvp,132,MUSIC BETWEEN FRIENDS,302,Brains,False
72,The Knocks,6766,1t7dh,7,aerial noise,276,The Feeling (Dave Edwards Remix),False
73,K-Os,6058,r65a,13,Music For Kids Who Can't Read Good,190,I Wish I Knew Natalie Portman,True
74,The Knocks,4731,29s5a,19,JayeL Audio Music,250,Dancing With Myself,False
75,The Knocks,3975,2aews,10,JayeL Audio Music,197,Collect My Love feat. Alex Newell,False
76,The Knocks,8641,2654z,11,Site of Sound,262,Classic (RAC Mix),True
77,Santigold,1242,trz4,5,Et Musique Pour Tous,112,I'm a Lady (Benny Blanco Remix),False
78,HONNE,1993,2b5tf,14,Musicgeeks,272,Top To Toe,False
79,The Knocks,6380,1696z,20,Berkeley Place,219,Dancing With The DJ (Chiddy Bang Remix),False
80,Flume,10604,2bk4b,20,Stereofox,264,Some Minds feat. Andrew Wyatt,False
81,Flight Facilities,6137,2bzvm,10,NNM,199,Heart Attack feat. Owl Eyes (Snakehips Remix),False
82,Major Lazer,8997,2bzkc,2,Never Radio,194,Too Original (KREAM Remix),False
83,Aayushi & Dillistone,5645,2bz99,6,Musicgeeks,237,Diamond Child,False
84,POWERS,9067,2ba6t,31,blahblahblahscience,205,Beat Of My Drum,False
85,Blackbear,6281,2b9ng,6,Stoney Roads,278,90210 feat. G-Eazy (Matt DiMona Remix),False
86,filous,11555,2bd2b,10,My Old Kentucky Blog,198,How Hard I Try feat. James Hersey,False
87,L'Orange & Jeremiah Jae,4530,2ax54,9,Lautstark,171,All I Need (feat. Gift Of Gab),False
88,kiiara,11727,2bxjv,18,said the gramophone,226,Gold,False
89,Soma,291,2c2et,5,Different Kitchen,198,Uncertain,False
90,Miguel,15868,228mk,23,Site of Sound,205,Simplethings,True
91,Rudimental,14952,21hnn,6,EARMILK,305,Free (Cash Cash X Gazzo Remix),False
92,EMBRZ,9428,1y3jj,12,nialler9,284,Slow Down,False
93,Wale,5818,t8q4,7,The Music Ninja,211,New Soul Feat. Yael Naim,False
94,TEEMID & Daniela Andrade,9479,226ye,8,I Heart Moosiq,263,Crave You (Flight Facilities Cover),True
95,•◊ Hopium ◊•,3795,2b5pr,9,Stereofox,218,Right Now,False
96,The Chainsmokers,5152,2b9jx,6,EDM Girl,253,Let You Go (Steve James Remix),False
97,"Astronauts, etc.",3786,2b54c,22,Indie For Bunnies,230,No Justice,False
98,OutKast,5012,2b6yd,3,Your Music Radar,194,Roses (PLS&TY Remix),True
