mediaid,tags
v1rq,[u'electronic']
1088r,"[u'mashup', u'electronic']"
1077k,"[u'brilliant gibberish', u'epic', u'kick-ass', u'soundscapes', u'sigur ros']"
w2xz,"[u'cover', u'indie', u'downtempo', u'alternative', u'easy', u'mushy', u'sad', u'cool', u'england', u'experimental']"
xprk,"[u'progressive rock', u'rock', u'70s', u'classic rock', u'instrumental', u'psychedelic', u'experimental', u'yodeling', u'dutch', u'progressive']"
tbhd,[]
shb4,"[u'electronic', u'alternative', u'electropop', u'pop', u'beautiful', u'silvia', u'swedish', u'indie', u'synth', u'chill']"
108mg,"[u'hip hop', u'rap', u'chicago', u'alternative rap', u'underground hip hop']"
107z7,[]
v9et,"[u'masterpiece', u'thug-rap']"
5f4j,"[u'canadian', u'k-os', u'top 40', u'hip hop', u'funk', u'k os', u'cant-con', u'pop', u'earworm']"
107nt,"[u'rap', u'hip hop', u'dirty south', u'southern rap']"
107fw,"[u'indie', u'british', u'indie pop', u'electronic', u'indie rock', u'2010s', u'irish', u'alternative indie', u'new british invasion', u'best of 2010s']"
105xk,"[u'drake', u'hip hop', u'rap', u'young money', u'2010s', u'inspirational', u'canadian']"
107a4,"[u'indie', u'indie rock', u'female vocalist', u'alternative', u'rock', u'alternative rock']"
106x7,"[u'folk', u'blues', u'memories', u'beautiful', u'romantic', u'australian', u'acoustic', u'rock', u'herz an ohr', u'dreamy']"
sxxg,"[u'fav', u'electronic', u'party']"
zbjg,"[u'mashup', u'mash up', u'hip hop', u'rap']"
yzsk,"[u'house', u'remix', u'dance', u'electronic', u'electro', u'electro house', u'ost', u'2k11', u'male vocalists', u'nba']"
yzkj,[u'best memories']
v4hg,[u'great cover']
wr53,"[u'house', u'progressive house', u'ohmondieu', u'french house', u'great memories', u'to check out', u'favourite remixes', u'favs4265', u'vertic', u'soulful house']"
n6m3,[]
z40m,"[u'sleeping', u'sleep']"
wtrc,"[u'hip hop', u'chillout', u'downtempo', u'trip-hop', u'electronic', u'instrumental', u'groovy', u'sveglia dolce', u'abstract hip hop', u'turntablism']"
wtrs,[]
wtk5,"[u'zipcodes', u'00s']"
sgnw,"[u'hip hop', u'rap', u'electronic']"
w912,[]
wr2a,"[u'punk', u'australian', u'rock', u'aussie', u'indie', u'punk rock', u'post-punk', u'hardcore']"
wtpm,"[u'wale', u'hip hop', u'flute', u'chill', u'bump this shit', u'rap', u'nice', u'talk', u'new']"
wc2b,"[u'mashup', u'hip house', u'hous', u'rap']"
wbg3,"[u'4', u'radiohead']"
q3ke,"[u'folk', u'singer-songwriter', u'indie', u'alt-country', u'indie rock']"
pe12,"[u'indie', u'singer-songwriter', u'strings', u'best of 2009', u'machinery', u'rock', u'indie rock', u'enigmatic', u'favourites', u'proper songs']"
xqjv,"[u'indie pop', u'acoustic', u'indie', u'hypemachine', u'female vocalist']"
xp2g,"[u'mashup', u'electronic']"
y0rf,"[u'neo-psychedelia', u'alternative rap']"
8smr,"[u'ed banger', u'french touch', u'house', u'french house', u'electronic', u'electro']"
x9q8,"[u'mediocre song-great remix', u'bad piano player', u'redlight', u'skinny', u'female singer', u'redlight remix', u'blonde women']"
w2er,"[u'hardcore', u'gabber', u'techno', u'hardcore techno', u'rave']"
8anb,"[u'indie', u'indie rock', u'canadian', u'alternative', u'rock', u'epic', u'alternative rock', u'beautiful', u'arcade fire', u'awesome']"
c520,[]
e1e5,"[u'indie', u'tiamo', u'indie pop', u'alternative', u'rock', u'moonflowerlikes', u'awesome']"
xfvr,"[u'indie', u'french', u'indie pop', u'electronic', u'rock']"
6ts0,"[u'indie', u'indie rock', u'alternative', u'rock', u'modest mouse', u'alternative rock', u'indie pop', u'happy', u'catchy', u'00s']"
xfwv,"[u'electronic', u'dance', u'house', u'electronica', u'techno']"
p8k5,[]
1cxw,"[u'cool beat', u'partay', u'dance', u'electronic', u'hip hop', u'excelente', u'weed mentioned', u'00s']"
t7ng,"[u'hip hop', u'trip-hop', u'turntablism', u'electronica', u'funky', u'electronic', u'breaks', u'downtempo', u'underground hip hop', u'top quality']"
x834,[]
x3p9,"[u'acoustic', u'gossip girl soundtrack', u'nos3', u'cover', u'take cover', u'chiclete']"
6k70,"[u'hip hop', u'underground hip hop', u'rap', u'aesop rock', u'underground', u'def jux', u'chill', u'definitive jux', u'indie', u'new york']"
s2er,"[u'trumpets', u'hip hop', u'piano']"
1b63h,"[u'death metal', u'hip hop', u""death'n'roll"", u'alternative']"
45vm,"[u'rhymefest', u'underground hip hop', u'sample based', u'summer', u'hip hop', u'ridiculous', u'chicago', u'sampled based', u'chi-town', u'chi towns finest']"
w5r0,"[u'electronic', u'electro', u'electroclash', u'electropop', u'ed banger', u'female vocalist']"
qymc,"[u'audioase', u'cover', u'missy elliot cover']"
qc6a,"[u'indie', u'electropop', u'electronic', u'electronica', u'miike snow', u'pop', u'catchy', u'swedish', u'dance', u'alternative']"
w7d5,"[u'indie rock', u'indie', u'alternative', u'indie pop', u'pop', u'afro pop', u'rock', u'2010s', u'american', u'00s']"
mxq0,"[u'djb glastonbury 2011', u'indie pop', u'folk', u'twee', u'narrative', u'acoustic', u'sweet', u'rock', u'quirky', u'indie rock']"
kjm4,"[u'nick and norah', u'posh', u'gute stimme', u'melody maker']"
