artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Bananarama,1434194472,173,29298,2,Berkeley Place,406,Cruel Summer (Casio Social Club Edit),dance
Pierce Fulton,1434216518,1778,2bqs3,3,EDM Girl,292,In Reality,dance
Kaskade,1434069733,306,2bskv,2,EDM Girl,201,Never Sleep Alone (Louis The Child Remix),dance
PatrickReza,1433928125,40,2bscw,1,D SQUARED,229,BOUNCE! (Feat. Abhi The Nomad),dance
JiKay,1433940547,19,2bsgj,1,BUZZINUNLIMITED,205,Firestone,dance
Shift K3Y,1433886644,41,2bs2p,2,Absolute Bassline,312,Let You Have Me (Shift K3Y VIP),dance
WE'RE NO HEROES,1433894260,18,2bmac,2,Little Indie Blogs,187,Voodoo,dance
Miley Cyrus,1433885729,42,2bs5q,1,PAPERMAG,253,Nightmare,dance
Avicii,1433866473,82,2bry4,1,Exclaim!,171,The Days (New Vocals) Feat Brandon Flowers,dance
Cyclist,1433867365,25,2bryd,1,Y Este Finde Que,290,Incoming Instructions,dance
Utah Saints,1433851319,4,2brsa,1,The Lost Turntable,375,What Can You Do For Me (Hard Mix),dance
Utah Saints,1433851360,2,2brsd,1,The Lost Turntable,318,I Want You (New Orleans Edit),dance
Junior Jack,1434032671,18,2bt9a,1,circle.square.triangle,433,E Samba (Cristoph Remix),dance
Phuture,1433980819,12,2bt07,1,Electrocorp ,741,Acid Tracks,dance
Janet Jackson,1433986946,42,2bs6r,2,ERRANT,381,JJ01 (MANIK Summer Refix),dance
Tiësto,1433966189,103,2bsw0,1,Dancing Astronaut,339,Lethal Industry (De Hofnar & The Techtives Remix),dance
Zak Abel,1433975309,33,2atts,2,D.C. Music Download,212,These Are The Days (Cautious Clay Remix),dance
JANET JACKSON,1433948230,79,25px2,5,Silence Nogood,191,ALRIGHT ( T A I L S R E D O ),dance
Chic,1433958750,57,2b9ac,2,MCL: Musique au Claire de Lune,404,Funky Bones (PDM´s Glitterbox Edit),dance
Moon Taxi,1433942896,18,2bsha,1,GreenGo,231,All Day All Night,dance
MaLuca,1433948251,7,2bskc,1,Silence Nogood,220,The One,dance
Albert,1433873302,4,2bs0s,1,The Deli Magazine,270,It's Not Your Fault,dance
Galantis,1433791701,228,2brf9,1,Data Transmission,221,In My Head,dance
Galantis,1433791707,19605,2avjq,14,Data Transmission,203,Peanut Butter Jelly,dance
Nora En Pure,1433788966,106,2brej,1,Y Este Finde Que,216,U Got My Body (Radio Mix) ,dance
Nora En Pure,1433788962,66,2breh,1,Y Este Finde Que,208,Into the Wild (Radio Mix) ,dance
Aphrohead,1433783234,8,2brcd,1,Dancing Astronaut,180,Lets Prance (Art Department & BLUD remix),dance
FERAL FIVE,1433753773,9,2b30w,4,The VPME,211,Neurotrash,dance
ANIMAL MUSIC,1433767766,47,2ay56,3,Indie is not a genre,180,We Stay Vacant,dance
Michael Jackson,1433618044,10,2bqsg,1,The French Shuffle,36,Baby Be Mine (Unchained Zebra Remix) (PREVIEW),dance
Erol Alkan,1433743659,26,28wxw,5,The Ripe,314,Sub Conscious (Tin Man Remix),dance
Utah Saints,1433851295,2,2brs8,1,The Lost Turntable,383,What Can You Do For Me (Drill Mix),dance
Rihanna,1433832555,42,2brnz,1,Abduction Radiation,256,BBHMM (Dollar Shrines Flip),dance
Eddie Amador,1433831792,15,2brnx,1,MOARRR,121,Underground Girl (Moonwalk Remix),dance
Michael Jackson,1433803345,49,2brj4,1,The House of Coxhead,322,Rock With You (Groovefunkel Take It Slow Remix),dance
Shura,1433807787,3585,25nh7,50,Poetry in an Empty Coke Can,275,Just Once,dance
Galantis,1433791697,114,2brf8,1,Data Transmission,218,Dancin' To The Sound Of A Broken Heart,dance
Galantis,1433791690,260,2brf6,1,Data Transmission,266,Louder Harder Better,dance
Galantis,1433791704,127,2brfa,1,Data Transmission,221,Water,dance
Galantis,1433791694,58,2brf7,1,Data Transmission,222,Kill 'Em With The Love,dance
Danny Daze,1433798473,7,2brgy,1,Groove Magazine,420,Rhythm Box,dance
Sam Smith,1433434475,321,257e8,6,Winnie Cooper,220,Leave Your Lover (esta. remix),dance
DANNY DAZE,1433440591,9,2bpnd,1,Dancing Astronaut,127,RHYTHM BOX,dance
Jack Ü,1433431024,57,2bpgt,1,Dancing Astronaut,302,Where Are Ü Now (AYO ALEX & Ember Island Remix),dance
Russ Chimes,1433433663,18,2bpj8,1,Y Este Finde Que,273,Stay With Me,dance
D-Unity,1433424605,13,2bpee,1,House of Lords,419,Feeling,dance
Glowbug,1433422814,11,2bpdx,1,Insomnia Daily Dose,307,All In (feat. Lourdes Hernández),dance
Jett,1433424589,19,2bnqy,2,House of Lords,343,Jungle,dance
Dino Lenny,1433434869,7,2bpc4,2,MusicDealers,147,Living In A Song (Shall Ocin Remix) - ELL028,dance
Martin Solveig,1433417324,520,2bj55,3,JayeL Audio Music,193,+1 (feat. Sam White),dance
Oliver,1433591793,661,2bqpt,1,Indie Shuffle,133,"Light Years Away"" (Big Wild, Little Remix)",dance
Minnesota,1433601307,29,2bqqp,1,Waxhole,251,Voyager (Secret Panda Society Remix),dance
Galantis,1433532098,1701,2b5g3,9,THUMP,238,Gold Dust (CRNKN & Hotel Garuda Remix),dance
Elizabeth Rose,1433551347,25,2bnm7,6,art felicis,235,Division,dance
Madeon,1433514107,4435,2bne4,4,Audio Aquarium,294,Innocence feat. Aquilo (Daydreamer Remix),dance
Janet Jackson,1433560029,51,2bq8s,2,SoulBounce,262,Got Til It's Gone (Zikomo Remix),dance
Stardust,1433455288,72,2bpyn,1,JayeL Audio Music,233,Music Sounds Better With You (Mozambo Remix),dance
Project 46,1433514939,101,2bq96,1,Dancing Astronaut,195,Beautiful (It Hurts) ,dance
DANNY DAZE,1433440588,16,2bpnc,1,Dancing Astronaut,120,READY2GO,dance
Fake Blood,1433439749,111,2be6n,2,The Burning Ear,293,Music Box,dance
Syn Cole,1433430022,374,2bj99,4,EDM Girl,237,It's You (Panic City Remix),dance
Scissor Sisters,1433296843,7,2bnmm,1,Muros de Absenta,396,Land Of A Thousand Words (High Society Remix),dance
B2,1433319323,2,2bnpw,1,COMO LAS GRECAS,347,Maxime & Remain - Cold Feet (Original Mix),dance
Goldroom,1433276063,1507,2bj6m,5,Audio Aquarium,205,Till Sunrise (Thero Remix),dance
Delora,1433291341,50,2axr8,2,Wonky Sensitive,211,Sober,dance
Owiny Sigoma Band,1433269766,24,2bhm7,4,Twistedsoul,178,Changaa Attack,dance
Minnesota,1433265728,125,25w4k,2,1833 FM,327,GOLD feat. Yuna (Minnesota Remix),dance
Goldroom,1433267346,1656,2bdvw,26,EUPHORIA. Magazine,229,Embrace (feat George Maple),dance
Croatia Squad,1433261796,39,2bn9h,1,Silence Nogood,159,Drop That Skirt (Original Mix) ,dance
Sam Smith,1433261909,9757,2aj67,38,surviving the golden age,270,Lay Me Down (Flume Remix),dance
Dino Lenny,1433434877,9,2bpc3,2,MusicDealers,128,Living In A Song (Rebolledo Remix)- ELL028,dance
Dino Lenny,1433434873,8,2bpc2,2,MusicDealers,150,Living In A Song (original Mix)- ELL028,dance
Janet Jackson,1433360654,163,2bds8,3,Caveman Sound,277,Got Til It's Gone (Dr. MaD REMIX),dance
Dino Lenny,1433412864,15,2bfjb,2,COMO LAS GRECAS,109,Living In A Song (Gardens Of God Remix) - ELL028,dance
Pierce Fulton,1433357024,6562,2bjnh,4,EDM Girl,178,Kuaga (Lost Time),dance
The 2 Bears,1433357792,53,2bnf5,2,Indie Shuffle,294,(Space) Money Man (feat. Stylo G),dance
Fergie,1433348887,4799,2bmr3,4,EDM Girl,236,Glamorous (feat. Ludacris) (PLS&TY Remix),dance
Moon Hooch,1433354464,10,2bp17,1,Burl Veneer's Music Tumblr,231,Something Else!,dance
03,1433337837,2,2bntz,1,Burl Veneer's Music Tumblr,247,Thomas Leer - Generous,dance
Calvin Harris,1433339057,70,2bnve,1,Kick Kick Snare,325,I Need Your Love feat. Ellie Goulding (Autoérotique Remix),dance
Fatboy Slim,1433272070,21,2bnee,1,THUMP,257,Weapon Of Choice (Lazy Rich 2015 Remix),dance
The Knocks,1433011752,21837,25xk6,27,SFCritic,249,Classic (feat. Powers),dance
HINDS,1433029751,318,23nbv,19,Faded Glamour,228,Bamboo,dance
Feder,1432996957,82,2bkve,1,umstrum||music,268,Goodbye (HUGEL Remix),dance
DONNA SUMMER,1433007313,121,2be49,3,Last Gas Station,454,BAD GIRLS (LUXXURY EDIT),dance
