artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title
Lane 8,1433256160,2965,2bmpt,9,Kick Kick Snare,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436902123,951,2c9pg,7,Drums Eat Everything,263,Flame (Roosevelt Remix)
Surfer Blood,1436466117,2528,2c86x,7,Exclaim!,250,'Hey Ya!'
Fareoh,1436934513,889,2c8z5,6,Beautiful Buzzz,323,Fight For You (feat. Ethan Thompson)
Ratatat,1434494529,6276,2bwhp,11,acid stag,254,Abrasive
Keyes,1432069268,3122,2bcvj,23,Scientists of Sound,228,Veins
Trails and Ways,1436425226,542,2c71y,7,Planeta Pop,319,Downright feat. Harriet Brown (Falcon Punch Remix)
filous,1436899915,114,2caey,1,Dancing Astronaut,259,Better Off feat. Josh Roa & Bishøp
Class Actress,1436830950,271,2c9yf,4,Yaqui,276,GFE (SNBRN Remix)
Awon & Phoniks,1436722566,330,1z3v2,2,Indie Shuffle,208,Escaping Youth
Chelsea Wolfe,1436394152,352,2c7ew,16,Northern Transmissions,336,After the Fall
Groove Armada,1436843650,123,2c990,2,Pilerats,195,Paris (andhim Remix) (Little Black Book)
Saint Motel,1436894986,149,2ca8z,2,Kick Kick Snare,226,Cold Cold Man (Lost Kings Remix)
Jamie XX,1436630825,742,2c93r,7,alltomorrowmusic,252,Loud Places (John Talabot Remix)
Drake,1436813420,375,2c9sz,6,DIVE,282,Know Yourself (Jacques Greene intro edit)
Disclosure,1436023701,1191,2c5m5,22,Dancing Astronaut,394,Holding On (Julio Bashmore's Elevated Mix)
Lane 8,1436481964,720,2c7mp,7,acid stag,288,Undercover feat. Matthew Dear
Ought,1436350870,601,2c6pn,31,Sonofmarketing,464,Beautiful Blue Sky
Hermitude,1436846830,313,2c9xp,5,1833 FM,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix)
Little Boots,1430929447,3046,2b5nt,28,Breaking More Waves,203,Better In The Morning
K-OS,1436460557,383,2c856,4,Exclaim!,197,Crucify
Day Wave,1436889044,175,2ca8d,9,Stereofox,272,Headcase
Hot Chip,1436572156,329,2c8za,5,THUMP,375,Need You Now (Moonlight Matters remix)
cln,1432732024,3344,2bhrp,13,Music You Wanna Listen To,226,Left Behind
Elohim,1432165419,3168,2beg0,25,Pigeons and Planes,224,She Talks Too Much
CocoRosie,1436700489,263,2c8qa,9,Cast the Dice,214,heartache city (live)
Maribou State,1432036283,316,2bct5,16,Lautstark,223,Wallflower
Roy Wood$,1436664065,368,2c96b,6,The Fader,240,Drama Feat. Drake
Public Service Broadcasting,1423387266,230,298j8,16,Record Rewind Play,380,The Other Side
Mabel,1436954436,103,2ca1j,16,Going Solo,230,Know Me Better
Jasmine Thompson,1436824609,120,2c9tw,3,Kick Kick Snare,242,Adore (Addal Remix)
Modjo,1367253777,4367,1rf0g,17,COMO LAS GRECAS,283,Lady (Kaytranada Remix)
G-EAZY,1436835611,77,2c9z6,1,The Smoking Section,243,Running feat. Gabriel Garzón-Montano
Flamingosis,1435631712,285,2c3c4,2,Pilerats,163,Finesse (Hey Baby)
