artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title
Thundercat,1436454504,4038,2by09,60,The Swollen Fox,187,Them Changes
Drake,1436658972,1589,2c964,3,The Fader,245,Sweeterman (Remix)
Toro y Moi,1436805354,1534,2c7nh,24,Sonofmarketing,170,Pitch Black feat. Rome Fortune
cln,1436440464,1111,2c73k,9,PASSIØN PARTY,210,Found
Tame Impala,1426085110,12899,2a1mf,89,Recommended Listen,469,Let It Happen
Holy Holy,1436955251,691,2c8dr,7,Muzyczne Wędrowanie,256,Sentimental And Monday
fine print,1436454498,652,2c6nn,8,DIY,212,About You
BECOME X XYLO,1436469296,660,2c88g,8,ilovepie,168,Between The Devil & The Deep Blue Sea
Jabberwocky,1436826930,612,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
kiiara,1436477982,4756,2c8bm,4,robot dance music,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436869883,4272,2c8y2,10,MCL: Musique au Claire de Lune,216,Impression Of You (feat. Patrick Baker)
Laurel,1436305746,3045,2c718,17,Noisey,236,Blue Blood
Majid Jordan,1436565852,3174,2c8tv,15,Asian Dan,249,My Love feat. Drake
Gordi,1436309937,1805,2c6s3,16,UNCANNY,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436628491,1953,2c8mh,16,Oh Fancy!,371,LET IT GROW
Robyn,1435624932,2823,2c3ac,6,Kick Kick Snare,271,Dancing On My Own (Templeton Remix)
Lane 8,1433261669,2965,2bmpt,9,Minneapolis Fucking Rocks,287,Hot As You Want feat. Solomon Grey
Sundara Karma,1436909288,951,2c9pg,7,Abduction Radiation,263,Flame (Roosevelt Remix)
Surfer Blood,1436537679,2528,2c86x,7,DIY,250,'Hey Ya!'
Fareoh,1436934513,889,2c8z5,6,Beautiful Buzzz,323,Fight For You (feat. Ethan Thompson)
Thundercat,1434874460,4038,2by09,60,Sonofmarketing,187,Them Changes
Drake,1436721667,1589,2c964,3,stereogum,245,Sweeterman (Remix)
Toro y Moi,1436445727,1534,2c7nh,24,FACT,170,Pitch Black feat. Rome Fortune
cln,1436340486,1111,2c73k,9,Pilerats,210,Found
Tame Impala,1426021087,12899,2a1mf,89,stereogum,469,Let It Happen
Holy Holy,1436898102,691,2c8dr,7,Slow Show,256,Sentimental And Monday
fine print,1436281637,652,2c6nn,8,Cruel Rhythm,212,About You
BECOME X XYLO,1436622545,660,2c88g,8,chillsoundsgoodmusic,168,Between The Devil & The Deep Blue Sea
Jabberwocky,1436826930,612,29q4n,2,Indie Shuffle,198,Pola (The Geek X Vrv Remix)
kiiara,1436539069,4756,2c8bm,4,Waxhole,225,Gold (Hippie Sabotage Remix)
Giraffage & Viceroy,1436815273,4272,2c8y2,10,Abduction Radiation,216,Impression Of You (feat. Patrick Baker)
Laurel,1436379275,3045,2c718,17,The 405,236,Blue Blood
Majid Jordan,1436607753,3174,2c8tv,15,Indie Shuffle,249,My Love feat. Drake
Gordi,1436309937,1805,2c6s3,16,UNCANNY,261,Can We Work It Out
Maximum Balloon feat Karen O & Tunde Adebimpe,1436546553,1953,2c8mh,16,Revista Metrónomo,371,LET IT GROW
Robyn,1435617774,2823,2c3ac,6,Lipstick Disco,271,Dancing On My Own (Templeton Remix)
